t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,1118.9
9.0,0.0,0.0,,,,,0.0,0.0,1118.9
10.0,0.0,0.0,,,,,0.0,0.0,1118.9
11.0,0.0,0.0,,,,,0.0,0.0,1118.9
12.0,0.0,0.0,,,,,0.0,0.0,1118.9
13.0,0.0,0.0,,,,,0.0,0.0,1118.9
14.0,0.0,0.0,,,,,0.0,0.0,1118.9
15.0,0.0,1.7,,,,,0.0,0.0,1417.2
16.0,0.0,97.7,,,,,0.0,0.0,2325.1
17.0,0.0,771.5,,,,,0.0,0.0,2705.1
18.0,0.0,771.5,,,,,0.0,0.0,2705.1
19.0,0.0,771.5,,,,,0.0,0.0,2718.0
20.0,12.22,1748.1,,,,,24.43,0.0,2731.6
21.0,14.19,1748.1,,,,,28.38,0.0,2724.6
22.0,8.82,1748.1,,,,,17.64,0.0,2720.1
23.0,11.63,1748.1,,,,,23.25,0.0,2728.4
24.0,10.57,1748.1,,,,,21.14,0.0,2720.1
25.01,10.69,1748.1,,,,,21.38,0.0,2764.5
26.01,10.64,1748.1,,,,,21.28,0.0,2753.5
27.01,9.42,1748.1,,,,,18.83,0.0,2720.2
28.01,11.86,1748.1,,,,,23.71,0.0,2736.2
29.01,10.57,1748.1,,,,,21.15,0.0,2737.9
30.01,10.58,1748.1,,,,,21.16,0.0,2737.6
31.01,10.39,1748.1,,,,,20.79,0.0,2720.2
32.01,10.64,1748.1,,,,,21.27,0.0,2757.3
33.01,10.4,1748.1,,,,,20.79,0.0,2746.2
34.01,10.65,1748.1,,,,,21.3,0.0,2732.7
35.01,10.32,1748.1,,,,,20.65,0.0,2726.8
36.01,10.72,1748.1,,,,,21.43,0.0,2764.6
37.01,10.64,1748.1,,,,,21.29,0.0,2761.5
38.01,10.71,1748.1,,,,,21.43,0.0,2750.9
39.01,10.64,1748.1,,,,,21.28,0.0,2743.8
40.01,10.58,1748.1,,,,,21.15,0.0,2738.3
41.01,10.64,1748.1,,,,,21.28,0.0,2722.3
42.01,10.38,1748.1,,,,,20.77,0.0,2720.3
43.01,10.58,1748.1,,,,,21.15,0.0,2750.4
44.01,10.72,1748.1,,,,,21.44,0.0,2743.5
45.01,10.32,1748.1,,,,,20.63,0.0,2720.4
46.01,10.39,1748.1,,,,,20.79,0.0,2720.4
47.01,10.88,1748.1,,,,,21.77,0.0,2727.1
48.01,10.33,1748.1,,,,,20.65,0.0,2730.4
49.01,10.57,1748.1,,,,,21.15,0.0,2751.4
50.01,10.31,1748.1,,,,,20.61,0.0,2720.4
51.01,10.65,1748.1,,,,,21.3,0.0,2756.3
52.01,10.57,1748.1,,,,,21.14,0.0,2732.7
53.01,10.31,1748.1,,,,,20.63,0.0,2727.0
54.01,10.64,1748.1,,,,,21.28,0.0,2720.5
55.01,10.64,1748.1,,,,,21.29,0.0,2764.8
56.01,10.72,1748.1,,,,,21.43,0.0,2722.5
57.01,10.25,1748.1,,,,,20.49,0.0,2720.5
58.01,10.57,1748.1,,,,,21.14,0.0,2720.5
59.01,10.32,1748.1,,,,,20.64,0.0,2720.5
60.01,10.89,1748.1,,,,,21.79,0.0,2749.5
61.01,9.67,1748.1,,,,,19.34,0.0,2720.5
62.01,11.29,1748.1,,,,,22.59,0.0,2730.6
63.01,10.72,1748.1,,,,,21.43,0.0,2743.8
64.01,10.64,1748.1,,,,,21.29,0.0,2730.6
65.01,10.56,1748.1,,,,,21.12,0.0,2726.4
66.01,10.39,1748.1,,,,,20.79,0.0,2761.7
67.01,10.57,1748.1,,,,,21.14,0.0,2751.7
68.01,10.32,1748.1,,,,,20.64,0.0,2720.6
69.01,10.63,1748.1,,,,,21.27,0.0,2751.6
70.01,10.4,1748.1,,,,,20.81,0.0,2765.0
71.01,10.64,1748.1,,,,,21.28,0.0,2732.9
72.02,9.34,1748.1,,,,,18.68,0.0,2720.7
73.02,11.86,1748.1,,,,,23.72,0.0,2732.7
74.02,10.58,1748.1,,,,,21.15,0.0,2741.0
75.02,10.64,1748.1,,,,,21.29,0.0,2721.0
76.02,9.66,1748.1,,,,,19.33,0.0,2720.7
77.02,11.22,1748.1,,,,,22.44,0.0,2720.7
78.02,10.72,1748.1,,,,,21.44,0.0,2740.7
79.02,10.24,1748.1,,,,,20.48,0.0,2720.7
80.02,10.56,1748.1,,,,,21.13,0.0,2765.1
81.02,9.75,1748.1,,,,,19.5,0.0,2720.8
82.02,11.29,1748.1,,,,,22.57,0.0,2757.7
