t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,0.0
23.0,0.0,0.0,,,,,0.0,0.0,0.0
24.01,0.0,0.0,,,,,0.0,0.0,0.0
25.01,0.0,0.0,,,,,0.0,0.0,0.0
26.01,0.0,0.0,,,,,0.0,0.0,0.0
27.01,0.0,0.0,,,,,0.0,0.0,0.0
28.01,0.0,0.0,,,,,0.0,0.0,0.0
29.01,0.0,0.0,,,,,0.0,0.0,0.0
30.01,0.0,0.0,,,,,0.0,0.0,0.0
31.01,0.0,0.0,,,,,0.0,0.0,0.0
32.01,0.0,0.0,,,,,0.0,0.0,0.0
33.01,0.0,0.0,,,,,0.0,0.0,0.0
34.01,0.0,0.0,,,,,0.0,0.0,0.0
35.01,0.0,0.0,,,,,0.0,0.0,0.0
36.01,0.0,0.0,,,,,0.0,0.0,0.0
37.01,0.0,0.0,,,,,0.0,0.0,0.0
38.01,0.0,0.0,,,,,0.0,0.0,0.0
39.01,0.0,0.0,,,,,0.0,0.0,0.0
40.01,0.0,0.0,,,,,0.0,0.0,0.0
41.01,0.0,0.0,,,,,0.0,0.0,0.0
42.01,0.0,0.0,,,,,0.0,0.0,0.0
43.01,0.0,0.0,,,,,0.0,0.0,0.0
44.01,0.0,0.0,,,,,0.0,0.0,0.0
45.01,0.0,0.0,,,,,0.0,0.0,0.0
46.01,0.0,0.0,,,,,0.0,0.0,0.0
47.01,0.0,0.0,,,,,0.0,0.0,0.0
48.01,0.0,0.0,,,,,0.0,0.0,0.0
49.01,0.0,0.0,,,,,0.0,0.0,0.0
50.01,0.0,0.0,,,,,0.0,0.0,0.0
51.01,0.0,0.0,,,,,0.0,0.0,0.0
52.01,0.0,0.0,,,,,0.0,0.0,0.0
53.01,0.0,0.0,,,,,0.0,0.0,0.0
54.01,0.0,0.0,,,,,0.0,0.0,0.0
55.01,0.0,0.0,,,,,0.0,0.0,0.0
56.01,0.0,0.0,,,,,0.0,0.0,0.0
57.01,0.0,0.0,,,,,0.0,0.0,0.0
58.01,0.0,0.0,,,,,0.0,0.0,0.0
59.01,0.0,0.0,,,,,0.0,0.0,0.0
60.01,0.0,0.0,,,,,0.0,0.0,0.0
61.01,0.0,0.0,,,,,0.0,0.0,0.0
62.01,0.0,0.0,,,,,0.0,0.0,0.0
63.01,0.0,0.0,,,,,0.0,0.0,0.0
64.01,0.0,0.0,,,,,0.0,0.0,0.0
65.01,0.0,0.0,,,,,0.0,0.0,0.0
66.01,0.0,0.0,,,,,0.0,0.0,0.0
67.01,0.0,0.0,,,,,0.0,0.0,0.0
68.01,0.0,0.0,,,,,0.0,0.0,0.0
69.01,0.0,0.0,,,,,0.0,0.0,0.0
70.02,0.0,0.0,,,,,0.0,0.0,0.0
71.02,0.0,0.0,,,,,0.0,0.0,0.0
72.02,0.0,0.0,,,,,0.0,0.0,0.0
73.02,0.0,0.0,,,,,0.0,0.0,0.0
74.02,0.0,0.0,,,,,0.0,0.0,0.0
75.02,0.0,0.0,,,,,0.0,0.0,0.0
76.02,0.0,0.0,,,,,0.0,0.0,0.0
77.02,0.0,0.0,,,,,0.0,0.0,0.0
78.02,0.0,0.0,,,,,0.0,0.0,0.0
79.02,0.0,0.0,,,,,0.0,0.0,0.0
80.02,0.0,0.0,,,,,0.0,0.0,0.0
81.02,0.0,0.0,,,,,0.0,0.0,0.0
82.02,0.0,0.0,,,,,0.0,0.0,0.0
83.02,0.0,0.0,,,,,0.0,0.0,0.0
84.02,0.0,0.0,,,,,0.0,0.0,0.0
85.02,0.0,0.0,,,,,0.0,0.0,0.0
86.02,0.0,0.0,,,,,0.0,0.0,0.0
87.02,0.0,0.0,,,,,0.0,0.0,0.0
