t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,24763.8,,,,,0.0,0.0,6124.8
3.0,18.71,24763.9,,,,,18.71,18.71,6130.4
4.0,95.59,24763.8,,,,,95.59,95.6,6131.2
5.0,93.01,24763.9,,,,,93.01,93.01,6131.5
6.0,92.77,24763.9,,,,,92.78,92.75,6132.1
7.0,96.99,24763.9,,,,,96.98,96.99,6132.5
8.0,97.64,24763.9,,,,,97.62,97.66,6132.9
9.0,92.07,24763.9,,,,,92.06,92.07,6133.2
10.0,97.73,24763.9,,,,,97.73,97.74,6133.6
11.0,92.93,24763.9,,,,,92.93,92.93,6133.9
12.0,97.66,24763.9,,,,,97.66,97.66,6134.2
13.0,92.15,24763.9,,,,,92.15,92.15,6134.4
14.0,100.0,24763.9,,,,,100.0,100.0,6134.6
15.0,95.55,24763.9,,,,,95.55,95.55,6134.6
16.0,97.96,24763.9,,,,,97.94,97.98,6134.7
17.0,95.55,24763.9,,,,,95.54,95.57,6135.1
18.0,93.03,24763.9,,,,,93.03,93.02,6135.4
19.0,96.97,24763.9,,,,,96.96,96.97,6135.8
20.0,92.81,24763.9,,,,,92.82,92.8,6136.0
21.0,96.49,24763.9,,,,,96.49,96.5,6136.2
22.0,97.9,24763.9,,,,,97.88,97.93,6136.4
23.0,97.11,24763.9,,,,,97.11,97.11,6136.6
24.0,92.91,24763.9,,,,,92.9,92.92,6136.8
25.0,97.72,24763.9,,,,,97.73,97.71,6137.1
26.0,97.01,24763.9,,,,,97.02,97.0,6137.2
27.0,97.06,24763.9,,,,,97.07,97.06,6137.5
28.0,92.78,24763.9,,,,,92.78,92.77,6137.6
29.0,97.73,24763.9,,,,,97.71,97.74,6137.8
30.0,96.97,24763.9,,,,,96.96,96.98,6137.9
31.0,92.79,24763.9,,,,,92.79,92.8,6138.3
32.0,97.22,24763.9,,,,,97.2,97.23,6138.3
33.01,100.0,24763.8,,,,,100.0,100.0,6138.3
34.01,92.83,24763.9,,,,,92.81,92.84,6138.4
35.01,97.68,24763.9,,,,,97.68,97.69,6138.5
36.01,92.77,24763.9,,,,,92.76,92.79,6138.5
37.01,97.66,24763.9,,,,,97.66,97.67,6138.5
38.01,97.66,24763.9,,,,,97.66,97.65,6138.5
39.01,92.86,24763.9,,,,,92.85,92.87,6138.6
40.01,96.61,24763.9,,,,,96.61,96.61,6138.7
41.01,100.0,24763.9,,,,,100.0,100.0,6138.7
42.01,97.7,24763.9,,,,,97.68,97.72,6138.7
43.01,93.04,24763.9,,,,,93.04,93.05,6138.9
44.01,92.8,24763.9,,,,,92.79,92.8,6139.0
45.01,100.0,24763.8,,,,,100.0,100.0,6139.2
46.01,92.08,24763.9,,,,,92.08,92.09,6139.2
47.01,97.71,24763.9,,,,,97.7,97.72,6139.2
48.01,97.69,24763.9,,,,,97.68,97.7,6139.3
49.01,97.7,24763.9,,,,,97.69,97.7,6139.3
50.01,97.22,24763.9,,,,,97.22,97.21,6139.3
51.01,92.84,24763.9,,,,,92.84,92.83,6139.3
52.01,97.08,24763.9,,,,,97.06,97.09,6139.3
53.01,97.69,24763.9,,,,,97.69,97.69,6139.3
54.01,97.2,24763.9,,,,,97.2,97.2,6139.3
55.01,97.66,24763.9,,,,,97.66,97.66,6139.3
56.01,97.63,24763.9,,,,,97.63,97.63,6139.4
57.01,92.86,24763.9,,,,,92.86,92.86,6139.4
58.01,97.67,24763.9,,,,,97.67,97.67,6139.4
59.01,97.67,24763.9,,,,,97.67,97.67,6139.4
60.01,83.21,24763.8,,,,,83.21,83.2,6139.4
61.01,53.09,24763.9,,,,,53.1,53.08,6139.4
62.01,97.13,24763.9,,,,,97.13,97.13,6139.4
63.01,97.68,24763.9,,,,,97.68,97.68,6139.5
64.01,97.07,24763.9,,,,,97.06,97.07,6139.9
65.01,93.17,24763.9,,,,,93.17,93.18,6140.0
66.01,97.67,24763.9,,,,,97.67,97.68,6140.0
67.01,97.12,24763.9,,,,,97.12,97.12,6140.0
68.01,92.79,24763.9,,,,,92.79,92.79,6140.0
69.01,97.36,24763.9,,,,,97.34,97.37,6140.0
