t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,24763.9,,,,,0.0,0.0,6148.8
2.0,100.0,24763.9,,,,,100.0,100.0,6148.8
3.0,95.9,24763.9,,,,,95.89,95.91,6148.8
4.0,95.88,24763.9,,,,,95.87,95.88,6148.8
5.0,95.89,24763.9,,,,,95.89,95.89,6148.9
6.0,96.03,24763.9,,,,,96.03,96.03,6148.9
7.0,100.0,24763.9,,,,,100.0,100.0,6148.9
8.0,97.76,24763.9,,,,,97.77,97.75,6148.9
9.0,92.82,24763.9,,,,,92.83,92.8,6148.9
10.0,97.78,24763.9,,,,,97.8,97.75,6148.9
11.0,97.8,24763.9,,,,,97.75,97.85,6148.9
12.0,92.82,24763.9,,,,,92.85,92.8,6148.9
13.0,97.79,24763.9,,,,,97.85,97.72,6148.9
14.0,91.28,24763.9,,,,,91.27,91.29,6148.9
15.0,96.11,24763.9,,,,,96.11,96.11,6148.9
16.0,95.92,24763.9,,,,,95.93,95.91,6148.9
17.0,95.99,24763.9,,,,,95.99,95.98,6148.9
18.0,100.0,24763.9,,,,,100.0,100.0,6148.9
19.0,96.01,24763.9,,,,,96.01,96.0,6148.9
20.0,97.08,24763.9,,,,,97.11,97.04,6148.9
21.0,97.63,24763.9,,,,,97.66,97.6,6149.0
22.0,92.87,24763.9,,,,,92.8,92.94,6149.0
23.0,97.61,24763.9,,,,,97.55,97.67,6149.0
24.0,92.9,24763.9,,,,,92.85,92.94,6149.0
25.0,97.7,24763.9,,,,,97.64,97.76,6149.0
26.0,83.07,24763.9,,,,,83.01,83.12,6149.0
27.0,95.88,24763.9,,,,,95.88,95.88,6149.0
28.0,100.0,24763.9,,,,,100.0,100.0,6149.0
29.0,96.06,24763.9,,,,,96.08,96.05,6149.0
30.0,96.06,24763.9,,,,,96.06,96.07,6149.0
31.01,96.03,24763.9,,,,,96.03,96.04,6149.0
32.01,96.05,24763.9,,,,,96.05,96.05,6149.0
33.01,100.0,24763.9,,,,,100.0,100.0,6149.0
34.01,97.65,24763.9,,,,,97.58,97.72,6149.0
35.01,92.88,24763.9,,,,,92.82,92.94,6149.0
36.01,97.73,24763.9,,,,,97.83,97.64,6149.0
37.01,92.84,24763.9,,,,,92.79,92.88,6149.0
38.01,97.74,24763.9,,,,,97.78,97.69,6149.0
39.01,92.13,24763.9,,,,,92.17,92.09,6149.0
40.01,96.01,24763.9,,,,,96.0,96.01,6149.0
41.01,95.99,24763.9,,,,,95.99,95.99,6149.0
42.01,96.07,24763.9,,,,,96.07,96.08,6149.0
43.01,100.0,24763.9,,,,,100.0,100.0,6149.0
44.01,96.09,24763.9,,,,,96.08,96.1,6149.0
45.01,96.34,24763.9,,,,,96.34,96.34,6149.0
46.01,97.87,24763.9,,,,,97.82,97.91,6149.0
47.01,93.17,24763.9,,,,,93.15,93.19,6149.0
48.01,97.67,24763.9,,,,,97.62,97.73,6149.0
49.01,97.72,24763.9,,,,,97.64,97.8,6149.0
50.01,92.79,24763.9,,,,,92.71,92.87,6149.0
51.01,97.68,24763.9,,,,,97.65,97.71,6149.0
52.01,82.35,24763.9,,,,,82.35,82.34,6149.0
53.01,100.0,24763.9,,,,,100.0,100.0,6149.0
54.01,96.32,24763.9,,,,,96.33,96.31,6149.0
55.01,95.85,24763.9,,,,,95.85,95.85,6149.0
56.01,96.25,24763.9,,,,,96.25,96.24,6149.0
57.01,96.03,24763.9,,,,,96.04,96.03,6149.0
58.01,100.0,24763.9,,,,,100.0,100.0,6149.0
59.01,97.83,24763.9,,,,,97.81,97.85,6149.0
60.01,92.81,24763.9,,,,,92.74,92.87,6149.0
61.01,97.73,24763.9,,,,,97.7,97.76,6149.0
62.01,92.81,24763.9,,,,,92.85,92.76,6149.0
63.01,97.76,24763.9,,,,,97.78,97.75,6149.0
64.01,93.12,24763.9,,,,,93.11,93.12,6149.0
65.01,96.28,24763.9,,,,,96.28,96.28,6149.0
66.01,96.0,24763.9,,,,,95.99,96.0,6149.0
67.01,96.0,24763.9,,,,,96.0,96.01,6149.0
68.01,95.92,24763.9,,,,,95.92,95.93,6149.0
69.01,96.01,24763.9,,,,,96.01,96.02,6149.0
70.01,100.0,24763.9,,,,,100.0,100.0,6149.0
71.01,97.38,24763.9,,,,,97.41,97.35,6149.0
72.01,92.76,24763.9,,,,,92.8,92.72,6149.0
73.01,97.6,24763.9,,,,,97.65,97.55,6149.0
74.01,93.02,24763.9,,,,,92.99,93.05,6149.0
75.01,97.68,24763.9,,,,,97.64,97.73,6149.0
76.01,92.81,24763.9,,,,,92.78,92.83,6149.0
77.01,87.52,24763.9,,,,,87.54,87.49,6149.0
78.01,95.98,24763.9,,,,,95.98,95.97,6149.0
79.01,95.97,24763.9,,,,,95.97,95.96,6149.0
80.01,100.0,24763.9,,,,,100.0,100.0,6149.0
81.01,96.02,24763.9,,,,,96.03,96.02,6149.0
82.01,95.94,24763.9,,,,,95.94,95.95,6149.0
83.01,100.0,24763.9,,,,,100.0,100.0,6149.0
84.01,92.84,24763.9,,,,,92.91,92.77,6149.0
85.01,97.77,24763.9,,,,,97.84,97.71,6149.0
86.01,97.67,24763.9,,,,,97.73,97.6,6149.0
87.01,92.79,24763.9,,,,,92.83,92.75,6149.0
88.01,97.66,24763.9,,,,,97.72,97.61,6149.0
89.01,92.78,24763.9,,,,,92.84,92.73,6149.1
90.01,96.62,24763.9,,,,,96.65,96.59,6149.1
91.02,95.95,24763.9,,,,,95.96,95.95,6149.1
92.02,96.09,24763.9,,,,,96.09,96.08,6149.1
93.02,95.99,24763.9,,,,,95.99,95.98,6149.1
94.02,96.11,24763.9,,,,,96.12,96.1,6149.1
95.02,100.0,24763.9,,,,,100.0,100.0,6149.1
96.02,96.75,24763.9,,,,,96.75,96.76,6149.1
97.02,92.83,24763.9,,,,,92.75,92.9,6149.1
98.02,97.64,24763.9,,,,,97.67,97.6,6149.1
99.02,97.73,24763.9,,,,,97.8,97.67,6149.1
100.02,92.72,24763.9,,,,,92.69,92.76,6149.1
101.02,97.84,24763.9,,,,,97.78,97.9,6149.1
102.02,92.8,24763.9,,,,,92.79,92.81,6149.1
103.02,86.48,24763.9,,,,,86.49,86.46,6149.1
104.02,95.95,24763.9,,,,,95.96,95.94,6149.1
105.02,100.0,24763.9,,,,,100.0,100.0,6149.1
106.02,95.95,24763.9,,,,,95.96,95.95,6149.1
107.02,95.95,24763.9,,,,,95.95,95.95,6149.1
108.02,95.95,24763.9,,,,,95.95,95.94,6149.1
109.02,100.0,24763.9,,,,,100.0,100.0,6149.1
110.02,92.86,24763.9,,,,,92.83,92.9,6149.1
111.02,97.75,24763.9,,,,,97.75,97.76,6149.1
112.02,92.91,24763.9,,,,,92.86,92.96,6149.1
113.02,97.84,24763.9,,,,,97.83,97.84,6149.1
114.02,92.96,24763.9,,,,,92.95,92.96,6149.1
115.02,97.39,24763.9,,,,,97.39,97.39,6149.1
116.02,95.77,24763.9,,,,,95.77,95.77,6149.1
117.02,95.93,24763.9,,,,,95.93,95.92,6149.1
118.02,95.88,24763.9,,,,,95.88,95.88,6149.1
119.02,95.97,24763.9,,,,,95.97,95.97,6149.1
120.02,96.07,24763.9,,,,,96.07,96.07,6149.1
121.02,100.0,24763.9,,,,,100.0,100.0,6149.1
122.02,92.78,24763.9,,,,,92.81,92.74,6149.1
123.02,97.82,24763.9,,,,,97.85,97.8,6149.1
124.02,92.89,24763.9,,,,,92.9,92.89,6149.1
125.02,97.97,24763.9,,,,,97.98,97.97,6149.1
126.02,92.9,24763.9,,,,,92.95,92.84,6149.1
127.02,97.75,24763.9,,,,,97.74,97.77,6149.1
128.02,87.09,24763.9,,,,,87.05,87.13,6149.1
129.02,95.68,24763.9,,,,,95.68,95.67,6149.1
130.02,95.82,24763.9,,,,,95.82,95.82,6149.1
131.02,100.0,24763.9,,,,,100.0,100.0,6149.1
132.02,95.8,24763.9,,,,,95.8,95.8,6149.1
133.02,95.76,24763.9,,,,,95.75,95.76,6149.1
134.02,100.0,24763.9,,,,,100.0,100.0,6149.1
135.02,92.86,24763.9,,,,,92.91,92.82,6149.1
136.02,97.66,24763.9,,,,,97.73,97.6,6149.1
137.02,92.76,24763.9,,,,,92.82,92.7,6149.1
138.02,97.99,24763.9,,,,,98.08,97.9,6149.1
139.02,97.76,24763.8,,,,,97.82,97.69,6149.1
140.02,92.83,24763.9,,,,,92.76,92.9,6149.1
141.02,96.05,24763.9,,,,,96.03,96.06,6149.1
142.02,96.13,24763.9,,,,,96.14,96.13,6149.1
143.02,95.73,24763.9,,,,,95.72,95.73,6149.1
144.02,95.88,24763.9,,,,,95.88,95.88,6149.2
145.02,95.69,24763.9,,,,,95.69,95.69,6149.2
146.02,100.0,24763.9,,,,,100.0,100.0,6149.2
147.02,96.91,24763.9,,,,,96.93,96.9,6149.2
148.02,92.8,24763.9,,,,,92.85,92.74,6149.2
149.02,97.76,24763.9,,,,,97.83,97.69,6149.2
150.02,97.62,24763.9,,,,,97.59,97.65,6149.2
151.03,92.93,24763.9,,,,,92.89,92.97,6149.2
152.03,97.65,24763.9,,,,,97.71,97.6,6149.2
153.03,83.04,24763.9,,,,,83.06,83.01,6149.2
154.03,95.68,24763.9,,,,,95.68,95.67,6149.2
155.03,100.0,24763.9,,,,,100.0,100.0,6149.2
156.03,95.8,24763.9,,,,,95.81,95.8,6149.2
157.03,95.79,24763.9,,,,,95.78,95.79,6149.2
158.03,95.86,24763.9,,,,,95.85,95.86,6149.2
159.03,96.06,24763.9,,,,,96.06,96.06,6149.2
160.03,100.0,24763.9,,,,,100.0,100.0,6149.2
161.03,92.86,24763.9,,,,,92.88,92.85,6149.2
162.03,97.62,24763.9,,,,,97.61,97.63,6149.2
163.03,97.66,24763.9,,,,,97.69,97.63,6149.2
164.03,93.0,24763.9,,,,,93.05,92.95,6149.2
165.03,97.83,24763.9,,,,,97.91,97.75,6149.2
166.03,92.13,24763.9,,,,,92.15,92.1,6149.2
167.03,95.88,24763.9,,,,,95.88,95.88,6149.2
168.03,96.3,24763.9,,,,,96.29,96.3,6149.2
169.03,95.91,24763.9,,,,,95.91,95.91,6149.2
170.03,95.91,24763.9,,,,,95.91,95.91,6149.2
171.03,100.0,24763.9,,,,,100.0,100.0,6149.2
172.03,96.36,24763.9,,,,,96.26,96.46,6149.2
173.03,97.79,24763.9,,,,,97.8,97.77,6149.2
174.03,92.85,24763.9,,,,,92.9,92.8,6149.2
175.03,97.79,24763.9,,,,,97.74,97.85,6149.2
176.03,92.85,24763.9,,,,,92.84,92.86,6149.2
177.03,97.68,24763.9,,,,,97.7,97.65,6149.2
178.03,97.6,24763.9,,,,,97.65,97.54,6149.2
179.03,81.96,24763.9,,,,,81.98,81.94,6149.2
180.03,100.0,24763.9,,,,,100.0,100.0,6149.2
181.03,95.96,24763.9,,,,,95.97,95.95,6149.2
182.03,95.9,24763.9,,,,,95.91,95.9,6149.2
183.03,96.01,24763.9,,,,,96.01,96.01,6149.2
184.03,95.9,24763.9,,,,,95.9,95.89,6149.2
185.03,100.0,24763.9,,,,,100.0,100.0,6149.2
186.03,97.69,24763.9,,,,,97.75,97.63,6149.2
187.03,93.02,24763.9,,,,,93.07,92.96,6149.2
188.03,97.7,24763.9,,,,,97.63,97.77,6149.2
189.03,92.73,24763.9,,,,,92.67,92.79,6149.2
190.03,97.67,24763.9,,,,,97.61,97.72,6149.2
191.03,92.81,24763.9,,,,,92.74,92.88,6149.2
192.03,95.98,24763.9,,,,,95.97,95.98,6149.2
193.03,95.99,24763.9,,,,,96.0,95.99,6149.2
194.03,95.96,24763.9,,,,,95.96,95.95,6149.2
195.03,95.96,24763.9,,,,,95.96,95.95,6149.2
196.03,100.0,24763.9,,,,,100.0,100.0,6149.2
197.03,96.04,24763.9,,,,,96.04,96.03,6149.2
198.03,97.67,24763.9,,,,,97.68,97.67,6149.2
199.03,92.75,24763.8,,,,,92.8,92.7,6149.2
200.03,97.66,24763.9,,,,,97.6,97.72,6149.2
201.03,97.89,24763.9,,,,,97.83,97.94,6149.2
202.03,93.22,24763.9,,,,,93.17,93.27,6149.2
203.03,92.95,24763.9,,,,,92.95,92.95,6149.2
204.03,87.53,24763.9,,,,,87.53,87.54,6149.2
205.03,95.98,24763.9,,,,,95.98,95.98,6149.2
206.03,96.04,24763.9,,,,,96.04,96.04,6149.2
207.03,100.0,24763.9,,,,,100.0,100.0,6149.2
208.03,95.96,24763.9,,,,,95.95,95.96,6149.2
209.03,96.14,24763.9,,,,,96.13,96.14,6149.2
210.04,100.0,24763.9,,,,,100.0,100.0,6149.2
211.04,93.11,24763.9,,,,,93.08,93.14,6149.2
212.04,97.67,24763.9,,,,,97.61,97.73,6149.2
213.04,93.25,24763.9,,,,,93.26,93.24,6149.2
214.04,93.21,24763.9,,,,,93.2,93.22,6149.2
215.04,97.83,24763.9,,,,,97.81,97.85,6149.2
216.04,97.74,24763.8,,,,,97.67,97.81,6149.2
217.04,96.83,24763.9,,,,,96.83,96.83,6149.2
218.04,96.02,24763.9,,,,,96.02,96.01,6149.2
219.04,96.18,24763.9,,,,,96.19,96.18,6149.2
220.04,96.04,24763.9,,,,,96.04,96.03,6149.2
221.04,96.09,24763.9,,,,,96.1,96.09,6149.2
222.04,96.15,24763.9,,,,,96.16,96.14,6149.2
223.04,100.0,24763.9,,,,,100.0,100.0,6149.2
224.04,97.44,24763.8,,,,,97.37,97.51,6149.2
225.04,93.07,24763.9,,,,,92.96,93.18,6149.2
226.04,97.67,24763.9,,,,,97.7,97.64,6149.2
227.04,92.83,24763.9,,,,,92.87,92.79,6149.2
228.04,97.8,24763.9,,,,,97.75,97.84,6149.2
229.04,92.73,24763.9,,,,,92.66,92.8,6149.2
230.04,91.28,24763.9,,,,,91.27,91.29,6149.2
231.04,96.46,24763.9,,,,,96.48,96.45,6149.2
232.04,96.01,24763.9,,,,,96.0,96.02,6149.2
233.04,100.0,24763.9,,,,,100.0,100.0,6149.2
234.04,96.11,24763.9,,,,,96.1,96.11,6149.2
235.04,96.08,24763.9,,,,,96.07,96.08,6149.2
236.04,100.0,24763.9,,,,,100.0,100.0,6149.2
237.04,92.97,24763.9,,,,,92.98,92.96,6149.2
238.04,97.89,24763.9,,,,,97.88,97.9,6149.2
239.04,93.14,24763.9,,,,,93.12,93.17,6149.2
240.04,97.69,24763.9,,,,,97.64,97.73,6149.2
241.04,92.82,24763.9,,,,,92.76,92.87,6149.2
242.04,83.01,24763.9,,,,,82.96,83.06,6149.2
243.04,100.0,24763.9,,,,,100.0,100.0,6149.2
244.04,96.22,24763.9,,,,,96.22,96.22,6149.2
245.04,96.07,24763.9,,,,,96.06,96.07,6149.2
246.04,96.07,24763.9,,,,,96.07,96.07,6149.3
247.04,96.06,24763.9,,,,,96.06,96.06,6149.3
248.04,96.2,24763.9,,,,,96.21,96.2,6149.3
249.04,100.0,24763.9,,,,,100.0,100.0,6149.3
250.04,92.88,24763.9,,,,,92.88,92.89,6149.3
251.04,97.75,24763.9,,,,,97.72,97.78,6149.3
252.04,92.77,24763.9,,,,,92.74,92.8,6149.3
253.04,97.69,24763.9,,,,,97.62,97.76,6149.3
254.04,93.09,24763.9,,,,,93.07,93.11,6149.3
255.04,96.91,24763.9,,,,,96.91,96.92,6149.3
256.04,96.04,24763.9,,,,,96.04,96.04,6149.3
257.04,96.06,24763.9,,,,,96.07,96.05,6149.3
258.04,96.16,24763.9,,,,,96.17,96.15,6149.3
259.04,96.04,24763.9,,,,,96.04,96.04,6149.3
260.04,96.0,24763.9,,,,,96.0,95.99,6149.3
261.04,100.0,24763.9,,,,,100.0,100.0,6149.3
262.04,92.96,24763.9,,,,,93.01,92.91,6149.3
263.04,97.91,24763.9,,,,,97.97,97.86,6149.3
264.04,93.07,24763.9,,,,,93.13,93.02,6149.3
265.04,97.73,24763.9,,,,,97.76,97.7,6149.3
266.04,92.79,24763.9,,,,,92.76,92.82,6149.3
267.04,97.83,24763.9,,,,,97.83,97.82,6149.3
268.04,86.96,24763.9,,,,,86.98,86.95,6149.3
269.04,96.05,24763.9,,,,,96.05,96.05,6149.3
270.05,96.18,24763.9,,,,,96.18,96.18,6149.3
271.05,100.0,24763.9,,,,,100.0,100.0,6149.3
272.05,96.13,24763.9,,,,,96.13,96.12,6149.3
273.05,96.12,24763.9,,,,,96.12,96.12,6149.3
274.05,100.0,24763.9,,,,,100.0,100.0,6149.3
275.05,98.01,24763.9,,,,,97.99,98.02,6149.3
276.05,93.94,24763.9,,,,,93.87,94.0,6149.3
277.05,97.78,24763.9,,,,,97.78,97.78,6149.3
