t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,,,,,,,,,
3.0,0.0,24763.9,,,,,0.0,0.0,5695.4
4.0,100.0,24763.9,,,,,100.0,100.0,5695.5
5.0,95.22,24763.9,,,,,95.22,95.21,5696.3
6.0,97.08,24763.9,,,,,97.16,96.99,5696.4
7.0,91.05,24763.9,,,,,91.35,90.75,5696.5
8.0,97.02,24763.9,,,,,96.98,97.06,5696.7
9.0,97.35,24763.9,,,,,97.46,97.23,5696.9
10.0,96.79,24763.9,,,,,96.82,96.76,5697.0
11.0,90.88,24763.9,,,,,90.86,90.9,5697.1
12.0,97.22,24763.9,,,,,97.09,97.34,5697.4
13.0,97.06,24763.9,,,,,97.05,97.08,5697.5
14.0,97.54,24763.9,,,,,97.32,97.75,5697.7
15.0,91.01,24763.9,,,,,90.66,91.35,5697.9
16.0,96.86,24763.9,,,,,96.74,96.98,5698.1
17.0,96.77,24763.9,,,,,96.71,96.82,5698.3
18.0,96.89,24763.9,,,,,97.05,96.73,5698.4
19.0,97.07,24763.9,,,,,97.1,97.03,5698.6
20.0,91.0,24763.9,,,,,91.15,90.85,5698.7
21.0,96.92,24763.9,,,,,96.87,96.97,5698.8
22.0,97.4,24763.9,,,,,97.34,97.46,5699.0
23.0,97.55,24763.9,,,,,97.43,97.67,5699.2
24.0,91.2,24763.9,,,,,91.04,91.36,5699.4
25.0,97.37,24763.9,,,,,97.44,97.29,5699.7
26.0,97.38,24763.9,,,,,97.46,97.29,5699.9
27.0,91.12,24763.9,,,,,91.31,90.94,5700.1
28.0,96.97,24763.9,,,,,97.02,96.92,5700.3
29.0,97.05,24763.9,,,,,97.06,97.03,5700.4
30.01,97.05,24763.9,,,,,96.89,97.21,5700.6
31.01,96.83,24763.9,,,,,96.79,96.88,5700.7
32.01,90.9,24763.9,,,,,90.92,90.88,5700.8
33.01,97.08,24763.9,,,,,97.06,97.1,5700.9
34.01,97.6,24763.9,,,,,97.26,97.94,5701.1
35.01,96.92,24763.9,,,,,96.9,96.95,5701.3
36.01,97.23,24763.9,,,,,97.32,97.13,5701.5
37.01,91.39,24763.9,,,,,91.02,91.76,5701.7
38.01,96.88,24763.9,,,,,96.96,96.8,5701.8
39.01,97.04,24763.9,,,,,96.92,97.16,5701.9
40.01,97.11,24763.9,,,,,96.71,97.5,5702.2
41.01,96.99,24763.9,,,,,97.08,96.9,5702.3
42.01,97.09,24763.9,,,,,97.09,97.09,5702.4
43.01,90.87,24763.9,,,,,90.75,90.99,5702.5
44.01,97.04,24763.9,,,,,97.04,97.05,5702.6
45.01,97.07,24763.9,,,,,97.11,97.03,5702.7
46.01,96.83,24763.9,,,,,96.72,96.93,5702.8
47.01,96.84,24763.9,,,,,96.77,96.9,5703.0
48.01,97.03,24763.8,,,,,97.02,97.04,5703.3
49.01,90.97,24763.9,,,,,90.98,90.96,5703.5
50.01,96.98,24763.9,,,,,97.02,96.94,5703.6
51.01,96.83,24763.9,,,,,96.92,96.74,5703.7
52.01,97.4,24763.9,,,,,97.74,97.06,5703.9
53.01,97.06,24763.9,,,,,97.19,96.93,5704.0
54.01,90.89,24763.9,,,,,90.88,90.9,5704.2
55.01,97.34,24763.9,,,,,97.73,96.95,5704.2
56.01,97.23,24763.9,,,,,97.35,97.11,5704.4
57.01,96.89,24763.9,,,,,96.97,96.82,5704.5
58.01,97.01,24763.9,,,,,97.07,96.94,5704.6
59.01,97.2,24763.9,,,,,97.13,97.27,5704.7
60.01,90.85,24763.9,,,,,90.8,90.9,5705.2
61.01,96.87,24763.9,,,,,96.93,96.81,5705.4
62.01,96.95,24763.9,,,,,97.05,96.84,5705.6
63.01,96.75,24763.9,,,,,96.75,96.74,5705.7
64.01,96.94,24763.9,,,,,97.0,96.88,5705.8
65.01,91.14,24763.9,,,,,91.14,91.14,5705.9
66.01,97.1,24763.9,,,,,97.33,96.87,5706.1
67.01,97.34,24763.9,,,,,97.41,97.27,5706.3
68.01,96.88,24763.9,,,,,96.84,96.91,5706.3
69.01,96.81,24763.9,,,,,96.75,96.88,5706.4
