t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,23237.5,,,,,0.0,0.0,6230.6
3.0,96.89,23237.5,,,,,96.9,96.89,6230.7
4.0,96.78,23237.5,,,,,96.78,96.79,6230.7
5.0,96.7,23237.5,,,,,96.7,96.7,6230.8
6.0,100.0,23237.5,,,,,100.0,100.0,6230.8
7.0,96.81,23237.5,,,,,96.81,96.82,6230.9
8.0,95.55,23237.5,,,,,95.88,95.22,6231.2
9.0,94.03,23237.5,,,,,93.79,94.27,6231.2
10.0,94.34,23237.5,,,,,94.25,94.42,6231.2
11.0,93.87,23237.5,,,,,93.24,94.5,6231.2
12.0,94.37,23237.5,,,,,94.29,94.45,6231.2
13.0,99.28,23237.5,,,,,99.19,99.38,6231.3
14.0,93.95,23237.5,,,,,93.59,94.31,6231.3
15.0,93.77,23237.5,,,,,93.45,94.09,6231.4
16.0,94.21,23237.5,,,,,94.03,94.39,6231.5
17.0,94.06,23237.5,,,,,93.73,94.39,6231.5
18.0,99.26,23237.5,,,,,98.86,99.66,6231.5
19.0,93.35,23237.5,,,,,93.6,93.1,6231.6
20.0,93.79,23237.5,,,,,93.53,94.05,6231.9
21.0,93.64,23237.5,,,,,93.88,93.39,6232.0
22.0,94.18,23237.5,,,,,93.67,94.69,6232.0
23.0,99.04,23237.5,,,,,98.45,99.63,6232.0
24.0,93.52,23237.5,,,,,93.31,93.73,6232.1
25.0,94.01,23237.5,,,,,94.15,93.87,6232.1
26.0,93.9,23237.5,,,,,94.09,93.71,6232.2
27.0,93.5,23237.5,,,,,93.42,93.57,6232.9
28.0,94.38,23237.5,,,,,94.0,94.76,6233.0
29.01,93.78,23237.5,,,,,93.52,94.05,6233.0
30.01,93.46,23237.5,,,,,92.91,94.01,6233.0
31.01,94.14,23237.5,,,,,93.64,94.64,6233.2
32.01,93.6,23237.5,,,,,93.28,93.92,6233.2
33.01,99.02,23237.5,,,,,98.8,99.23,6233.3
34.01,93.87,23237.5,,,,,93.26,94.47,6233.4
35.01,93.81,23237.5,,,,,93.15,94.47,6233.4
36.01,93.83,23237.5,,,,,93.23,94.44,6233.4
37.01,93.95,23237.5,,,,,93.18,94.72,6233.4
38.01,93.69,23237.5,,,,,93.02,94.36,6233.6
39.01,93.69,23237.5,,,,,93.59,93.78,6233.6
40.01,94.0,23237.5,,,,,93.24,94.77,6233.6
41.01,93.98,23237.5,,,,,94.03,93.92,6233.7
42.01,93.64,23237.5,,,,,93.45,93.84,6234.4
43.01,93.55,23237.5,,,,,93.35,93.75,6234.4
44.01,99.15,23237.5,,,,,98.69,99.62,6234.4
45.01,94.34,23237.5,,,,,94.15,94.54,6234.5
46.01,93.46,23237.5,,,,,93.15,93.76,6234.5
47.01,93.54,23237.5,,,,,93.22,93.86,6234.7
48.01,93.52,23237.5,,,,,93.13,93.9,6234.8
49.01,99.57,23237.5,,,,,99.56,99.57,6234.8
50.01,93.81,23237.5,,,,,93.05,94.56,6234.8
51.01,93.67,23237.5,,,,,93.79,93.55,6234.8
52.01,93.72,23237.5,,,,,93.54,93.9,6235.1
53.01,93.73,23237.5,,,,,93.63,93.84,6235.1
54.01,93.68,23237.5,,,,,94.07,93.29,6235.1
55.01,98.96,23237.5,,,,,98.45,99.48,6235.1
56.01,93.66,23237.5,,,,,93.6,93.73,6235.1
57.01,93.44,23237.5,,,,,93.27,93.6,6235.2
58.01,93.66,23237.5,,,,,92.97,94.36,6235.4
59.01,94.43,23237.5,,,,,93.96,94.9,6235.4
60.01,94.39,23237.5,,,,,93.62,95.17,6235.4
61.01,93.88,23237.5,,,,,94.07,93.7,6235.9
62.01,93.8,23237.5,,,,,93.84,93.77,6235.9
63.01,99.28,23237.5,,,,,99.35,99.21,6235.9
64.01,88.55,23237.5,,,,,88.28,88.82,6236.1
65.01,100.0,23237.5,,,,,100.0,100.0,6236.1
66.01,93.73,23237.5,,,,,93.56,93.9,6236.1
67.01,82.35,23237.5,,,,,82.43,82.28,6236.2
68.01,96.49,23237.5,,,,,96.5,96.49,6236.2
69.01,96.6,23237.5,,,,,96.6,96.59,6236.2
