t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,,,,,,,,,
3.0,0.0,24763.9,,,,,0.0,0.0,6367.8
4.0,95.21,24763.9,,,,,95.18,95.24,6367.8
5.0,95.33,24763.9,,,,,95.3,95.35,6367.8
6.0,95.08,24763.9,,,,,95.04,95.11,6367.8
7.0,95.43,24763.9,,,,,95.41,95.46,6367.9
8.0,94.35,24763.9,,,,,94.34,94.35,6367.9
9.0,95.51,24763.9,,,,,95.5,95.52,6367.9
10.0,95.6,24763.9,,,,,95.59,95.61,6367.9
11.0,95.55,24763.9,,,,,95.56,95.53,6367.9
12.0,95.87,24763.9,,,,,95.86,95.87,6367.9
13.0,95.55,24763.9,,,,,95.53,95.57,6367.9
14.0,95.78,24763.9,,,,,95.77,95.79,6368.0
15.0,95.31,24763.9,,,,,95.31,95.31,6368.0
16.0,96.06,24763.9,,,,,96.06,96.07,6368.0
17.0,95.67,24763.9,,,,,95.67,95.67,6368.0
18.0,95.52,24763.9,,,,,95.52,95.52,6368.0
19.0,96.76,24763.9,,,,,96.75,96.76,6368.2
20.0,97.7,24763.8,,,,,97.69,97.71,6368.2
21.0,92.84,24763.9,,,,,92.83,92.85,6368.2
22.0,97.68,24763.9,,,,,97.67,97.68,6368.2
23.01,92.82,24763.9,,,,,92.81,92.82,6368.2
24.01,97.67,24763.9,,,,,97.66,97.68,6368.2
25.01,97.68,24763.9,,,,,97.66,97.7,6368.2
26.01,93.11,24763.9,,,,,93.1,93.13,6368.2
27.01,97.69,24763.9,,,,,97.68,97.7,6368.3
28.01,97.7,24763.9,,,,,97.69,97.7,6368.3
29.01,92.78,24763.9,,,,,92.76,92.79,6368.3
30.01,97.76,24763.9,,,,,97.75,97.77,6368.3
31.01,97.64,24763.9,,,,,97.64,97.65,6368.3
32.01,92.77,24763.9,,,,,92.76,92.77,6368.3
33.01,97.75,24763.9,,,,,97.74,97.76,6368.3
34.01,97.77,24763.9,,,,,97.76,97.77,6368.5
35.01,93.03,24763.9,,,,,93.01,93.04,6368.7
36.01,97.76,24763.8,,,,,97.76,97.77,6368.8
37.01,92.8,24763.9,,,,,92.79,92.82,6369.0
38.01,97.63,24763.9,,,,,97.62,97.63,6369.2
39.01,92.77,24763.9,,,,,92.76,92.78,6369.3
40.01,97.93,24763.9,,,,,97.91,97.95,6369.5
41.01,92.83,24763.9,,,,,92.83,92.83,6369.7
42.01,97.91,24763.9,,,,,97.91,97.9,6369.9
43.01,92.89,24763.9,,,,,92.88,92.9,6370.0
44.01,92.83,24763.9,,,,,92.82,92.84,6370.2
45.01,97.73,24763.9,,,,,97.71,97.74,6370.4
46.01,95.57,24763.9,,,,,95.55,95.6,6370.7
47.01,96.71,24763.9,,,,,96.68,96.73,6370.8
48.01,96.64,24763.9,,,,,96.61,96.67,6370.9
49.01,90.74,24763.9,,,,,90.72,90.76,6371.1
50.01,97.05,24763.9,,,,,96.98,97.12,6371.4
51.01,96.71,24763.9,,,,,96.69,96.73,6371.5
52.01,96.77,24763.9,,,,,96.82,96.72,6371.6
53.01,97.01,24763.9,,,,,97.03,97.0,6371.8
54.01,90.59,24763.9,,,,,90.6,90.58,6371.9
55.01,97.17,24763.9,,,,,97.18,97.15,6372.1
56.01,96.7,24763.9,,,,,96.67,96.74,6372.3
57.01,96.71,24763.9,,,,,96.67,96.74,6372.5
58.01,96.75,24763.9,,,,,96.71,96.78,6372.7
59.01,90.44,24763.9,,,,,90.41,90.47,6372.9
60.01,97.63,24763.9,,,,,97.75,97.51,6373.1
61.01,96.78,24763.9,,,,,96.83,96.72,6373.3
62.01,96.82,24763.9,,,,,96.82,96.82,6373.5
63.01,96.71,24763.9,,,,,96.71,96.71,6373.6
64.01,90.8,24763.9,,,,,90.67,90.93,6373.8
65.01,96.74,24763.9,,,,,96.74,96.73,6373.9
66.01,96.72,24763.9,,,,,96.74,96.7,6374.0
67.01,97.03,24763.9,,,,,97.02,97.03,6374.2
68.01,96.72,24763.9,,,,,96.73,96.72,6374.4
69.01,90.78,24763.9,,,,,90.86,90.69,6374.5
