t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,24763.9,,,,,0.0,0.0,6282.5
2.0,100.0,24763.9,,,,,100.0,100.0,6282.5
3.0,77.01,24763.9,,,,,77.01,77.01,6282.5
4.0,100.0,24763.9,,,,,100.0,100.0,6282.6
5.0,91.1,24763.9,,,,,91.22,90.98,6282.6
6.0,97.64,24763.9,,,,,97.91,97.37,6282.6
7.0,91.27,24763.9,,,,,91.63,90.92,6282.6
8.0,97.52,24763.9,,,,,97.5,97.55,6282.6
9.0,97.06,24763.8,,,,,97.13,96.99,6282.6
10.0,90.94,24763.9,,,,,90.72,91.16,6282.6
11.0,97.28,24763.9,,,,,97.22,97.33,6282.6
12.0,90.8,24763.9,,,,,90.83,90.76,6282.6
13.0,97.03,24763.9,,,,,97.08,96.99,6282.6
14.0,91.08,24763.9,,,,,91.0,91.15,6282.6
15.0,97.42,24763.9,,,,,97.23,97.62,6282.6
16.0,91.25,24763.9,,,,,91.16,91.35,6282.7
17.0,96.98,24763.9,,,,,97.0,96.95,6282.7
18.0,97.12,24763.9,,,,,97.32,96.92,6282.8
19.0,90.98,24763.9,,,,,91.04,90.92,6282.8
20.0,97.1,24763.9,,,,,97.26,96.94,6282.8
21.0,96.96,24763.9,,,,,96.89,97.03,6282.9
22.0,90.86,24763.9,,,,,90.78,90.94,6283.0
23.0,97.15,24763.9,,,,,97.47,96.83,6283.1
24.0,91.2,24763.9,,,,,91.41,90.99,6283.1
25.0,97.2,24763.9,,,,,97.17,97.22,6283.1
26.01,91.35,24763.9,,,,,91.27,91.44,6283.1
27.01,97.28,24763.9,,,,,97.32,97.24,6283.1
28.01,97.13,24763.9,,,,,97.4,96.85,6283.1
29.01,90.78,24763.9,,,,,90.78,90.78,6283.2
30.01,97.16,24763.9,,,,,97.59,96.74,6283.4
31.01,90.94,24763.9,,,,,91.01,90.86,6283.5
32.01,96.87,24763.9,,,,,96.89,96.85,6283.5
33.01,90.9,24763.9,,,,,90.89,90.91,6283.5
34.01,97.18,24763.9,,,,,97.25,97.11,6283.5
35.01,97.17,24763.9,,,,,97.34,96.99,6283.5
36.01,91.09,24763.9,,,,,91.18,91.0,6283.6
37.01,97.0,24763.9,,,,,97.11,96.88,6283.8
38.01,91.12,24763.9,,,,,91.53,90.7,6283.8
39.01,97.01,24763.9,,,,,97.11,96.9,6283.9
40.01,97.2,24763.8,,,,,97.36,97.04,6283.9
41.01,90.85,24763.9,,,,,91.14,90.55,6283.9
