t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,,,,,,,,,
3.0,0.0,24763.9,,,,,0.0,0.0,5376.1
4.0,96.95,24763.8,,,,,96.95,96.95,5376.1
5.0,90.75,24763.9,,,,,90.7,90.8,5376.1
6.0,96.74,24763.9,,,,,96.76,96.72,5376.1
7.0,96.76,24763.9,,,,,96.79,96.74,5376.2
8.0,96.68,24763.9,,,,,96.71,96.66,5376.2
9.0,96.86,24763.9,,,,,96.89,96.84,5376.2
10.0,97.37,24763.9,,,,,97.36,97.38,5376.2
11.0,97.93,24763.9,,,,,97.93,97.93,5376.2
12.0,97.96,24763.9,,,,,97.96,97.97,5376.2
13.0,96.8,24763.9,,,,,96.81,96.78,5376.2
14.0,96.88,24763.8,,,,,96.89,96.88,5376.2
15.0,90.8,24763.9,,,,,90.92,90.67,5376.2
16.0,97.05,24763.9,,,,,97.05,97.05,5376.2
17.0,96.71,24763.9,,,,,96.71,96.7,5376.3
18.0,97.14,24763.9,,,,,97.14,97.13,5376.3
19.0,97.53,24763.9,,,,,97.51,97.54,5376.3
20.0,96.74,24763.9,,,,,96.73,96.76,5376.3
21.0,96.76,24763.9,,,,,96.75,96.77,5376.3
22.0,96.8,24763.9,,,,,96.73,96.87,5376.3
23.0,97.68,24763.9,,,,,97.68,97.68,5376.3
24.0,96.86,24763.9,,,,,96.85,96.87,5376.3
25.0,96.77,24763.9,,,,,96.78,96.76,5376.4
26.0,96.71,24763.9,,,,,96.72,96.7,5376.4
27.0,96.8,24763.9,,,,,96.81,96.79,5376.4
28.01,97.07,24763.9,,,,,97.07,97.07,5376.4
29.01,97.19,24763.9,,,,,97.04,97.34,5376.4
30.01,96.72,24763.9,,,,,96.7,96.73,5376.4
31.01,96.83,24763.9,,,,,96.81,96.84,5376.4
32.01,96.8,24763.9,,,,,96.79,96.81,5376.4
33.01,97.15,24763.9,,,,,97.22,97.08,5376.4
34.01,97.03,24763.9,,,,,97.31,96.75,5376.4
35.01,96.8,24763.9,,,,,96.79,96.8,5376.5
36.01,96.74,24763.9,,,,,96.73,96.76,5376.5
37.01,97.28,24763.9,,,,,97.28,97.28,5376.5
38.01,96.83,24763.9,,,,,96.73,96.92,5376.5
39.01,96.59,24763.9,,,,,96.57,96.62,5376.5
40.01,90.86,24763.9,,,,,90.86,90.86,5376.5
41.01,97.42,24763.9,,,,,97.42,97.42,5376.5
42.01,96.78,24763.9,,,,,96.78,96.78,5376.5
43.01,97.46,24763.9,,,,,97.45,97.46,5376.5
44.01,96.79,24763.9,,,,,96.79,96.8,5376.5
45.01,96.74,24763.9,,,,,96.73,96.74,5376.6
46.01,96.89,24763.9,,,,,97.02,96.75,5376.6
47.01,96.8,24763.9,,,,,96.82,96.78,5376.6
48.01,97.27,24763.9,,,,,96.98,97.57,5376.6
49.01,96.77,24763.9,,,,,96.76,96.78,5376.6
50.01,96.78,24763.9,,,,,96.78,96.77,5376.6
51.01,96.7,24763.9,,,,,96.7,96.71,5376.6
52.01,96.96,24763.9,,,,,97.02,96.89,5376.6
53.01,97.12,24763.9,,,,,97.15,97.09,5376.6
54.01,97.12,24763.9,,,,,97.2,97.04,5376.6
55.01,96.74,24763.9,,,,,96.75,96.74,5376.7
56.01,96.85,24763.9,,,,,96.86,96.84,5376.7
57.01,91.12,24763.9,,,,,91.27,90.97,5376.7
58.01,97.78,24763.9,,,,,97.98,97.59,5376.7
59.01,96.92,24763.9,,,,,96.96,96.88,5376.7
60.01,97.14,24763.9,,,,,97.0,97.27,5376.7
61.01,96.79,24763.9,,,,,96.79,96.8,5376.7
62.01,97.45,24763.9,,,,,97.44,97.45,5376.7
63.01,97.4,24763.9,,,,,97.54,97.27,5376.7
64.01,97.03,24763.8,,,,,97.13,96.92,5376.7
65.01,96.8,24763.8,,,,,96.77,96.83,5376.8
66.01,91.0,24763.9,,,,,90.98,91.02,5376.8
67.01,98.84,24763.9,,,,,98.82,98.86,5376.8
68.01,96.78,24763.9,,,,,96.77,96.79,5376.8
69.01,96.83,24763.9,,,,,96.87,96.79,5376.8
