t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,24763.9,,,,,0.0,0.0,5314.3
2.0,100.0,24763.9,,,,,100.0,100.0,5314.4
3.0,100.0,24763.9,,,,,100.0,100.0,5314.4
4.0,94.08,24763.9,,,,,94.51,93.65,5314.4
5.0,96.99,24763.9,,,,,97.34,96.65,5314.4
6.0,97.09,24763.9,,,,,97.22,96.95,5314.4
7.0,97.03,24763.9,,,,,97.37,96.7,5314.5
8.0,91.15,24763.9,,,,,91.35,90.94,5314.5
9.0,97.32,24763.9,,,,,97.92,96.72,5314.5
10.0,96.99,24763.9,,,,,96.73,97.25,5314.5
11.0,96.99,24763.8,,,,,96.77,97.22,5314.5
12.0,90.85,24763.9,,,,,91.01,90.69,5314.5
13.0,97.4,24763.9,,,,,97.32,97.49,5314.6
14.0,97.16,24763.9,,,,,97.33,97.0,5314.6
15.0,97.07,24763.9,,,,,97.04,97.1,5314.6
16.0,91.53,24763.9,,,,,91.37,91.7,5314.6
17.0,96.83,24763.9,,,,,96.94,96.73,5314.6
18.0,97.55,24763.9,,,,,97.74,97.36,5314.6
19.0,91.29,24763.9,,,,,91.65,90.93,5314.6
20.0,96.94,24763.9,,,,,96.76,97.12,5314.6
21.0,97.07,24763.9,,,,,97.04,97.09,5314.6
22.0,97.18,24763.9,,,,,97.17,97.19,5314.7
23.0,91.27,24763.9,,,,,91.08,91.47,5314.7
24.0,97.3,24763.9,,,,,97.51,97.1,5314.7
25.0,97.25,24763.9,,,,,97.74,96.75,5314.7
26.01,96.91,24763.9,,,,,96.75,97.07,5314.7
27.01,90.9,24763.9,,,,,91.01,90.78,5314.7
28.01,97.26,24763.9,,,,,96.89,97.62,5314.7
29.01,97.3,24763.9,,,,,97.25,97.35,5314.7
30.01,96.91,24763.9,,,,,96.92,96.9,5314.8
31.01,91.09,24763.9,,,,,90.76,91.42,5314.8
32.01,96.8,24763.9,,,,,96.78,96.83,5314.8
33.01,97.22,24763.9,,,,,97.09,97.35,5314.8
34.01,97.03,24763.9,,,,,97.15,96.91,5314.8
35.01,91.12,24763.9,,,,,90.98,91.25,5314.8
36.01,96.8,24763.9,,,,,96.7,96.9,5314.9
37.01,96.91,24763.9,,,,,96.86,96.97,5314.9
38.01,96.99,24763.9,,,,,97.24,96.73,5314.9
39.01,91.11,24763.9,,,,,90.91,91.32,5315.0
40.01,97.14,24763.9,,,,,96.98,97.29,5315.0
41.01,97.21,24763.9,,,,,97.06,97.37,5315.0
42.01,96.94,24763.9,,,,,96.79,97.1,5315.0
43.01,90.71,24763.9,,,,,90.72,90.69,5315.0
44.01,97.02,24763.9,,,,,97.19,96.85,5315.0
45.01,97.0,24763.9,,,,,97.2,96.81,5315.0
46.01,96.86,24763.9,,,,,97.0,96.72,5315.1
47.01,91.27,24763.9,,,,,91.57,90.98,5315.1
48.01,97.11,24763.9,,,,,97.26,96.95,5315.1
49.01,96.69,24763.9,,,,,96.66,96.72,5315.1
50.01,96.76,24763.9,,,,,96.89,96.62,5315.1
51.01,91.19,24763.9,,,,,90.86,91.53,5315.1
52.01,96.9,24763.9,,,,,96.67,97.12,5315.1
53.01,96.96,24763.9,,,,,96.75,97.18,5315.1
54.01,90.9,24763.9,,,,,91.04,90.77,5315.1
55.01,96.69,24763.9,,,,,96.66,96.71,5315.2
56.01,96.97,24763.9,,,,,96.71,97.23,5315.2
57.01,97.16,24763.9,,,,,97.13,97.2,5315.2
58.01,91.05,24763.9,,,,,90.94,91.15,5315.2
59.01,96.99,24763.9,,,,,97.21,96.77,5315.2
60.01,97.19,24763.9,,,,,96.99,97.4,5315.2
61.01,91.08,24763.9,,,,,91.21,90.95,5315.3
62.01,97.05,24763.9,,,,,96.94,97.15,5315.3
63.01,96.99,24763.9,,,,,96.93,97.06,5315.3
64.01,97.25,24763.9,,,,,97.36,97.13,5315.3
65.01,91.17,24763.9,,,,,91.16,91.17,5315.3
66.01,97.2,24763.9,,,,,97.18,97.22,5315.3
67.01,96.85,24763.9,,,,,97.02,96.69,5315.3
68.01,97.34,24763.9,,,,,96.98,97.7,5315.3
69.01,75.45,24763.9,,,,,75.35,75.54,5315.4
70.01,100.0,24763.9,,,,,100.0,100.0,5315.4
71.01,78.02,24763.9,,,,,78.02,78.03,5315.4
72.01,100.0,24763.9,,,,,100.0,100.0,5315.4
73.01,97.18,24763.8,,,,,97.41,96.95,5315.4
