t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,24763.9,,,,,0.0,0.0,5946.1
2.0,76.98,24763.9,,,,,76.98,76.98,5946.1
3.0,100.0,24763.9,,,,,100.0,100.0,5946.1
4.0,100.0,24763.9,,,,,100.0,100.0,5946.1
5.0,97.01,24763.9,,,,,97.17,96.86,5946.1
6.0,97.04,24763.9,,,,,97.02,97.06,5946.1
7.0,91.35,24763.9,,,,,91.99,90.71,5946.1
8.0,97.03,24763.9,,,,,96.82,97.23,5946.1
9.0,97.28,24763.8,,,,,97.29,97.28,5946.1
10.0,91.23,24763.9,,,,,91.51,90.95,5946.1
11.0,97.07,24763.9,,,,,97.37,96.78,5946.1
12.0,90.94,24763.9,,,,,90.79,91.09,5946.1
13.0,97.12,24763.9,,,,,97.15,97.1,5946.1
14.0,97.3,24763.8,,,,,97.1,97.5,5946.1
15.0,91.0,24763.9,,,,,91.08,90.92,5946.1
16.0,97.2,24763.9,,,,,97.62,96.78,5946.1
17.0,91.24,24763.9,,,,,91.17,91.31,5946.1
18.0,97.21,24763.9,,,,,97.09,97.33,5946.1
19.0,97.34,24763.9,,,,,97.27,97.42,5946.1
20.0,90.95,24763.9,,,,,91.18,90.72,5946.1
21.0,97.04,24763.9,,,,,97.11,96.98,5946.1
22.0,96.87,24763.9,,,,,96.9,96.84,5946.1
23.0,91.22,24763.9,,,,,91.47,90.97,5946.1
24.0,97.43,24763.9,,,,,97.49,97.38,5946.1
25.01,91.1,24763.9,,,,,90.98,91.23,5946.1
26.01,97.0,24763.9,,,,,97.13,96.86,5946.1
27.01,90.83,24763.8,,,,,90.84,90.82,5946.1
28.01,97.38,24763.9,,,,,96.86,97.9,5946.1
29.01,97.03,24763.9,,,,,97.33,96.72,5946.1
30.01,91.35,24763.9,,,,,91.65,91.05,5946.1
31.01,97.33,24763.9,,,,,97.54,97.13,5946.1
32.01,91.33,24763.9,,,,,91.69,90.97,5946.1
33.01,97.5,24763.9,,,,,97.37,97.64,5946.1
34.01,91.11,24763.9,,,,,91.16,91.05,5946.1
35.01,96.95,24763.9,,,,,96.91,96.99,5946.1
36.01,96.91,24763.9,,,,,96.72,97.09,5946.1
37.01,91.31,24763.9,,,,,91.24,91.37,5946.1
38.01,97.02,24763.9,,,,,97.02,97.02,5946.1
39.01,90.86,24763.9,,,,,90.76,90.96,5946.1
40.01,97.35,24763.9,,,,,97.27,97.44,5946.1
41.01,97.12,24763.9,,,,,97.48,96.77,5946.1
42.01,91.05,24763.9,,,,,91.23,90.88,5946.1
43.01,97.06,24763.9,,,,,97.25,96.87,5946.1
44.01,91.31,24763.9,,,,,91.26,91.35,5946.1
45.01,96.96,24763.9,,,,,97.13,96.8,5946.1
46.01,97.14,24763.9,,,,,97.26,97.01,5946.1
47.01,91.15,24763.9,,,,,91.31,91.0,5946.1
48.01,96.83,24763.9,,,,,96.8,96.86,5946.2
49.01,96.94,24763.8,,,,,97.08,96.81,5946.2
50.01,90.97,24763.9,,,,,90.92,91.01,5946.2
51.01,97.18,24763.9,,,,,97.55,96.82,5946.2
52.01,91.05,24763.9,,,,,91.04,91.06,5946.2
53.01,97.18,24763.9,,,,,97.55,96.8,5946.2
54.01,90.81,24763.9,,,,,90.78,90.84,5946.2
55.01,96.89,24763.9,,,,,96.99,96.78,5946.2
56.01,97.07,24763.9,,,,,97.06,97.08,5946.2
57.01,91.1,24763.9,,,,,90.93,91.28,5946.2
58.01,97.34,24763.9,,,,,97.75,96.93,5946.2
59.01,91.13,24763.9,,,,,91.55,90.71,5946.2
60.01,97.54,24763.9,,,,,98.05,97.04,5946.2
61.01,97.03,24763.8,,,,,97.32,96.74,5946.2
62.01,91.35,24763.9,,,,,91.81,90.89,5946.2
63.01,97.02,24763.9,,,,,97.15,96.9,5946.2
64.01,90.97,24763.9,,,,,90.94,91.0,5946.2
65.01,97.0,24763.9,,,,,97.13,96.88,5946.2
66.01,97.03,24763.9,,,,,97.09,96.98,5946.2
67.01,90.97,24763.9,,,,,91.1,90.84,5946.2
68.01,96.85,24763.9,,,,,96.86,96.84,5946.3
69.01,78.93,24763.9,,,,,78.87,78.98,5946.3
70.01,77.06,24763.9,,,,,77.06,77.06,5946.3
71.01,100.0,24763.9,,,,,100.0,100.0,5946.3
72.01,100.0,24763.9,,,,,100.0,100.0,5946.3
73.01,97.04,24763.9,,,,,96.8,97.29,5946.3
74.01,97.02,24763.8,,,,,96.75,97.28,5946.3
75.01,90.98,24763.9,,,,,90.81,91.15,5946.3
76.01,96.97,24763.9,,,,,97.18,96.75,5946.3
77.01,91.02,24763.9,,,,,90.8,91.24,5946.3
78.01,97.01,24763.9,,,,,97.08,96.95,5946.3
79.01,97.16,24763.9,,,,,97.13,97.18,5946.3
80.02,90.88,24763.9,,,,,90.97,90.78,5946.3
81.02,97.29,24763.9,,,,,97.41,97.18,5946.3
82.02,97.18,24763.9,,,,,97.44,96.92,5946.3
83.02,90.94,24763.9,,,,,90.8,91.08,5946.4
84.02,97.04,24763.9,,,,,96.85,97.24,5946.4
85.02,97.17,24763.9,,,,,96.79,97.55,5946.4
86.02,91.05,24763.9,,,,,91.04,91.06,5946.4
87.02,97.24,24763.9,,,,,97.33,97.14,5946.4
88.02,91.35,24763.9,,,,,91.42,91.29,5946.4
89.02,97.17,24763.9,,,,,96.97,97.36,5946.4
90.02,97.12,24763.9,,,,,97.31,96.93,5946.4
91.02,91.07,24763.9,,,,,91.28,90.86,5946.4
92.02,96.91,24763.9,,,,,96.71,97.11,5946.4
93.02,97.07,24763.9,,,,,97.37,96.77,5946.4
94.02,91.2,24763.9,,,,,91.41,90.99,5946.4
