t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,951.4
6.0,0.0,0.0,,,,,0.0,0.0,951.4
7.0,0.0,0.0,,,,,0.0,0.0,951.4
8.0,0.0,0.0,,,,,0.0,0.0,951.4
9.0,0.0,0.0,,,,,0.0,0.0,951.4
10.0,0.0,3.3,,,,,0.0,0.0,1018.2
11.0,0.0,3.7,,,,,0.0,0.0,1033.5
12.0,0.0,3.7,,,,,0.0,0.0,1033.5
13.0,0.0,3.7,,,,,0.0,0.0,1033.5
14.0,0.0,3.7,,,,,0.0,0.0,1033.5
15.0,0.0,3.7,,,,,0.0,0.0,1033.5
16.0,0.0,3.7,,,,,0.0,0.0,1033.5
17.0,0.0,3.7,,,,,0.0,0.0,1033.5
18.0,0.0,3.7,,,,,0.0,0.0,1033.5
19.0,0.0,3.7,,,,,0.0,0.0,1033.5
20.0,0.0,3.7,,,,,0.0,0.0,1033.5
21.0,0.0,3.7,,,,,0.0,0.0,1033.5
22.0,0.32,200.2,,,,,0.64,0.0,1088.4
23.0,0.0,200.2,,,,,0.0,0.0,1088.4
24.0,0.0,200.2,,,,,0.0,0.0,1088.4
25.0,0.0,200.2,,,,,0.0,0.0,1088.4
26.0,0.0,200.2,,,,,0.0,0.0,1088.4
27.0,0.0,200.2,,,,,0.0,0.0,1088.4
28.01,0.0,200.2,,,,,0.0,0.0,1088.4
29.01,0.0,200.2,,,,,0.0,0.0,1088.4
30.01,0.0,200.2,,,,,0.0,0.0,1088.4
31.01,0.0,200.2,,,,,0.0,0.0,1088.4
32.01,0.0,200.2,,,,,0.0,0.0,1088.4
33.01,0.0,200.2,,,,,0.0,0.0,1088.4
34.01,11.51,235.2,,,,,23.01,0.0,1113.2
35.01,26.91,235.2,,,,,53.83,0.0,1113.5
36.01,26.7,233.6,,,,,53.4,0.0,1113.7
37.01,26.49,235.2,,,,,52.98,0.0,1113.9
38.01,9.76,237.8,,,,,19.52,0.0,1116.8
39.01,0.0,237.8,,,,,0.0,0.0,1116.8
40.01,0.0,237.8,,,,,0.0,0.0,1116.8
41.01,0.0,237.8,,,,,0.0,0.0,1116.8
42.01,0.0,237.8,,,,,0.0,0.0,1116.8
43.01,0.0,237.8,,,,,0.0,0.0,1116.8
44.01,8.02,237.8,,,,,16.03,0.0,1125.2
45.01,26.92,237.8,,,,,53.85,0.0,1125.4
46.01,27.35,237.8,,,,,54.69,0.0,1125.6
47.01,26.05,239.4,,,,,52.09,0.0,1125.9
48.01,18.7,242.0,,,,,37.4,0.0,1126.0
49.01,25.56,239.4,,,,,51.13,0.0,1126.2
50.01,27.14,239.4,,,,,54.28,0.0,1126.4
51.01,26.9,239.4,,,,,53.8,0.0,1126.6
52.01,23.17,242.0,,,,,46.34,0.0,1126.8
53.01,21.97,239.1,,,,,43.93,0.0,1127.0
54.01,26.27,239.4,,,,,52.54,0.0,1127.2
55.01,26.47,239.4,,,,,52.95,0.0,1127.4
56.01,26.26,239.4,,,,,52.52,0.0,1127.6
57.01,17.99,237.8,,,,,35.99,0.0,1127.7
58.01,26.49,239.4,,,,,52.99,0.0,1127.9
59.01,26.9,237.8,,,,,53.81,0.0,1128.1
60.01,26.48,237.8,,,,,52.95,0.0,1128.3
61.01,12.79,232.6,,,,,25.58,0.0,1076.0
