t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,935.1
16.0,0.0,0.0,,,,,0.0,0.0,935.1
17.0,0.0,0.0,,,,,0.0,0.0,935.1
18.0,0.0,0.0,,,,,0.0,0.0,935.1
19.0,0.0,0.0,,,,,0.0,0.0,935.1
20.0,0.0,1.7,,,,,0.0,0.0,938.6
21.0,0.0,1.7,,,,,0.0,0.0,960.2
22.0,0.0,1.7,,,,,0.0,0.0,938.8
23.0,0.0,1.7,,,,,0.0,0.0,1003.3
24.0,0.0,3.1,,,,,0.0,0.0,1020.8
25.0,0.0,3.1,,,,,0.0,0.0,1020.8
26.0,0.0,3.1,,,,,0.0,0.0,1020.8
27.0,0.0,3.1,,,,,0.0,0.0,1020.8
28.0,0.0,3.1,,,,,0.0,0.0,1020.8
29.0,0.11,101.6,,,,,0.22,0.0,1029.2
30.0,0.0,101.6,,,,,0.0,0.0,1029.2
31.0,0.0,101.6,,,,,0.0,0.0,1029.2
32.0,0.0,101.6,,,,,0.0,0.0,1029.2
33.0,0.67,103.4,,,,,1.34,0.0,1032.8
34.0,1.22,103.4,,,,,2.44,0.0,1033.3
35.0,0.74,105.6,,,,,1.49,0.0,1036.4
36.0,0.0,105.6,,,,,0.0,0.0,1036.4
37.0,0.2,102.9,,,,,0.4,0.0,1037.3
38.0,1.29,103.3,,,,,2.57,0.0,1037.8
39.0,1.19,103.7,,,,,2.38,0.0,1038.3
40.01,0.9,102.9,,,,,1.81,0.0,1038.6
41.01,1.23,102.9,,,,,2.46,0.0,1039.4
42.01,0.77,103.7,,,,,1.53,0.0,1039.3
43.01,1.28,102.9,,,,,2.55,0.0,1040.1
44.01,1.19,105.9,,,,,2.38,0.0,1040.3
45.01,1.0,102.3,,,,,2.0,0.0,1040.6
46.01,1.43,103.7,,,,,2.86,0.0,1041.2
47.01,0.27,98.8,,,,,0.54,0.0,996.4
48.01,0.0,98.8,,,,,0.0,0.0,1006.5
49.01,0.0,98.8,,,,,0.0,0.0,1040.2
