t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,951.9
6.0,0.0,0.0,,,,,0.0,0.0,951.9
7.0,0.0,0.0,,,,,0.0,0.0,951.9
8.0,0.0,0.0,,,,,0.0,0.0,951.9
9.0,0.0,0.0,,,,,0.0,0.0,951.9
10.0,0.0,1.7,,,,,0.0,0.0,955.2
11.0,0.0,2.6,,,,,0.0,0.0,1059.4
12.0,0.0,2.6,,,,,0.0,0.0,1059.4
13.0,0.0,2.6,,,,,0.0,0.0,1059.4
14.0,0.0,2.6,,,,,0.0,0.0,1059.4
15.0,0.0,2.6,,,,,0.0,0.0,1059.4
16.0,0.0,2.6,,,,,0.0,0.0,1059.4
17.0,0.0,2.6,,,,,0.0,0.0,1059.4
18.0,0.0,2.6,,,,,0.0,0.0,1059.4
19.0,0.0,2.6,,,,,0.0,0.0,1059.4
20.0,0.0,2.6,,,,,0.0,0.0,1059.4
21.0,0.0,2.6,,,,,0.0,0.0,1059.4
22.0,0.0,2.6,,,,,0.0,0.0,1059.4
23.0,0.0,2.6,,,,,0.0,0.0,1059.4
24.0,0.0,2.6,,,,,0.0,0.0,1059.4
25.0,0.0,2.6,,,,,0.0,0.0,1059.4
26.0,0.0,2.6,,,,,0.0,0.0,1059.4
27.0,0.0,2.6,,,,,0.0,0.0,1059.4
28.0,0.0,2.6,,,,,0.0,0.0,1059.4
29.0,0.0,2.6,,,,,0.0,0.0,1059.4
30.0,0.0,2.6,,,,,0.0,0.0,1059.4
31.0,0.0,2.6,,,,,0.0,0.0,1059.4
32.0,0.0,2.6,,,,,0.0,0.0,1059.4
33.0,0.0,2.6,,,,,0.0,0.0,1059.4
34.0,0.0,2.6,,,,,0.0,0.0,1059.4
35.0,0.0,2.6,,,,,0.0,0.0,1059.4
36.0,0.0,2.6,,,,,0.0,0.0,1059.4
37.0,0.0,2.6,,,,,0.0,0.0,1059.4
38.0,0.0,2.6,,,,,0.0,0.0,1059.4
39.0,0.0,2.6,,,,,0.0,0.0,1059.4
40.0,0.0,2.6,,,,,0.0,0.0,1059.4
41.01,0.0,2.6,,,,,0.0,0.0,1059.4
42.01,0.0,2.6,,,,,0.0,0.0,1059.4
43.01,0.0,2.6,,,,,0.0,0.0,1059.4
44.01,0.0,2.6,,,,,0.0,0.0,1059.4
45.01,0.0,2.6,,,,,0.0,0.0,1059.4
46.01,0.0,2.6,,,,,0.0,0.0,1059.4
47.01,0.0,2.6,,,,,0.0,0.0,1059.4
48.01,0.0,2.6,,,,,0.0,0.0,1059.4
49.01,0.0,2.6,,,,,0.0,0.0,1059.4
50.01,0.0,2.6,,,,,0.0,0.0,1059.4
51.01,0.0,2.6,,,,,0.0,0.0,1059.4
52.01,0.33,171.9,,,,,0.66,0.0,1193.4
53.01,0.0,171.9,,,,,0.0,0.0,1193.4
54.01,0.0,171.9,,,,,0.0,0.0,1193.4
55.01,0.0,171.9,,,,,0.0,0.0,1193.4
56.01,0.0,171.9,,,,,0.0,0.0,1193.4
57.01,0.0,171.9,,,,,0.0,0.0,1193.4
58.01,0.0,171.9,,,,,0.0,0.0,1193.4
59.01,0.0,171.9,,,,,0.0,0.0,1193.4
60.01,0.0,171.9,,,,,0.0,0.0,1193.4
61.01,0.0,171.9,,,,,0.0,0.0,1193.4
62.01,0.0,171.9,,,,,0.0,0.0,1193.4
63.01,0.0,171.9,,,,,0.0,0.0,1193.4
64.01,0.0,171.9,,,,,0.0,0.0,1193.4
65.01,0.0,171.9,,,,,0.0,0.0,1193.4
66.01,0.0,171.9,,,,,0.0,0.0,1193.4
67.01,0.0,171.9,,,,,0.0,0.0,1193.4
68.01,0.0,171.9,,,,,0.0,0.0,1193.4
69.01,0.0,171.9,,,,,0.0,0.0,1193.4
70.01,0.0,171.9,,,,,0.0,0.0,1193.4
71.01,0.0,171.9,,,,,0.0,0.0,1193.4
72.01,0.0,171.9,,,,,0.0,0.0,1193.4
73.01,0.0,171.9,,,,,0.0,0.0,1193.4
74.01,0.0,171.9,,,,,0.0,0.0,1193.4
75.01,0.0,171.9,,,,,0.0,0.0,1193.4
76.01,0.0,171.9,,,,,0.0,0.0,1193.4
77.01,0.0,171.9,,,,,0.0,0.0,1193.4
78.01,0.0,171.9,,,,,0.0,0.0,1193.4
79.01,0.0,171.9,,,,,0.0,0.0,1193.4
80.01,0.0,171.9,,,,,0.0,0.0,1193.4
81.01,0.0,171.9,,,,,0.0,0.0,1193.4
82.01,0.0,171.9,,,,,0.0,0.0,1193.4
83.01,0.0,171.9,,,,,0.0,0.0,1193.4
84.01,0.0,171.9,,,,,0.0,0.0,1193.4
