t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,1149.9
9.0,0.0,0.0,,,,,0.0,0.0,1149.9
10.0,0.0,0.0,,,,,0.0,0.0,1149.9
11.0,0.0,0.0,,,,,0.0,0.0,1149.9
12.0,0.0,1.7,,,,,0.0,0.0,1167.1
13.0,0.0,97.7,,,,,0.0,0.0,2224.4
14.0,0.0,179.5,,,,,0.0,0.0,2873.0
15.0,0.0,771.5,,,,,0.0,0.0,2730.0
16.0,0.0,771.5,,,,,0.0,0.0,2730.7
17.0,2.86,1748.1,,,,,5.73,0.0,2755.9
18.0,14.04,1748.1,,,,,28.08,0.0,2743.2
19.0,8.19,1748.1,,,,,16.39,0.0,2743.8
20.0,13.29,1748.1,,,,,26.58,0.0,2785.3
21.0,12.98,1748.1,,,,,25.96,0.0,2785.9
22.0,13.29,1748.1,,,,,26.58,0.0,2758.0
23.0,12.97,1748.1,,,,,25.93,0.0,2743.9
24.0,12.34,1748.1,,,,,24.68,0.0,2743.9
25.0,11.79,1748.1,,,,,23.58,0.0,2743.9
26.0,13.61,1748.1,,,,,27.22,0.0,2743.9
27.0,13.3,1748.1,,,,,26.6,0.0,2755.8
28.0,14.04,1748.1,,,,,28.08,0.0,2788.2
29.0,11.38,1748.1,,,,,22.77,0.0,2743.9
30.0,14.57,1748.1,,,,,29.13,0.0,2744.0
31.0,12.98,1748.1,,,,,25.96,0.0,2744.0
32.0,13.29,1748.1,,,,,26.58,0.0,2788.3
33.0,13.29,1748.1,,,,,26.58,0.0,2780.7
34.01,12.23,1748.1,,,,,24.46,0.0,2750.5
35.01,14.36,1748.1,,,,,28.73,0.0,2745.3
36.01,12.22,1748.1,,,,,24.44,0.0,2759.5
37.01,12.97,1748.1,,,,,25.94,0.0,2744.1
38.01,13.3,1748.1,,,,,26.6,0.0,2744.1
39.01,13.3,1748.1,,,,,26.59,0.0,2744.1
40.01,11.58,1748.1,,,,,23.17,0.0,2788.4
41.01,11.58,1748.1,,,,,23.16,0.0,2744.1
42.01,12.97,1748.1,,,,,25.93,0.0,2744.1
43.01,11.27,1748.1,,,,,22.55,0.0,2744.1
44.01,14.25,1748.1,,,,,28.5,0.0,2778.2
45.01,12.96,1748.1,,,,,25.92,0.0,2788.5
46.01,13.3,1748.1,,,,,26.6,0.0,2754.1
47.01,11.27,1748.1,,,,,22.54,0.0,2744.2
48.01,13.18,1748.1,,,,,26.35,0.0,2762.2
49.01,11.59,1748.1,,,,,23.17,0.0,2744.2
50.01,12.86,1748.1,,,,,25.71,0.0,2744.2
51.01,13.61,1748.1,,,,,27.22,0.0,2750.1
52.01,14.05,1748.1,,,,,28.11,0.0,2744.3
53.01,11.58,1748.1,,,,,23.17,0.0,2744.3
54.01,13.94,1748.1,,,,,27.87,0.0,2780.5
55.01,11.9,1748.1,,,,,23.81,0.0,2744.3
56.01,12.98,1748.1,,,,,25.96,0.0,2772.8
57.01,12.65,1748.1,,,,,25.31,0.0,2744.3
58.01,12.98,1748.1,,,,,25.95,0.0,2788.7
59.01,11.38,1748.1,,,,,22.75,0.0,2744.3
60.01,11.9,1748.1,,,,,23.8,0.0,2744.4
61.01,13.51,1748.1,,,,,27.01,0.0,2744.4
62.01,12.22,1748.1,,,,,24.44,0.0,2745.6
63.01,12.66,1748.1,,,,,25.32,0.0,2744.4
64.01,12.97,1748.1,,,,,25.94,0.0,2771.2
65.01,11.91,1748.1,,,,,23.83,0.0,2776.3
66.01,11.9,1748.1,,,,,23.8,0.0,2781.3
67.01,12.65,1748.1,,,,,25.3,0.0,2762.5
68.01,12.66,1748.1,,,,,25.33,0.0,2744.5
69.01,12.65,1748.1,,,,,25.3,0.0,2782.1
70.01,12.77,1748.1,,,,,25.54,0.0,2744.5
71.01,12.65,1748.1,,,,,25.3,0.0,2773.7
72.01,12.97,1748.1,,,,,25.95,0.0,2745.8
73.01,12.66,1748.1,,,,,25.31,0.0,2744.5
74.01,12.97,1748.1,,,,,25.94,0.0,2780.0
75.01,12.66,1748.1,,,,,25.32,0.0,2744.6
76.01,12.97,1748.1,,,,,25.94,0.0,2744.6
77.01,12.66,1748.1,,,,,25.32,0.0,2751.1
78.01,11.9,1748.1,,,,,23.8,0.0,2769.4
79.01,13.74,1748.1,,,,,27.48,0.0,2784.0
80.01,11.15,1748.1,,,,,22.3,0.0,2744.6
81.01,13.72,1748.1,,,,,27.45,0.0,2744.6
82.01,13.3,1748.1,,,,,26.59,0.0,2744.7
