t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,2192.3
16.0,0.0,0.0,,,,,0.0,0.0,2192.3
17.0,0.0,0.0,,,,,0.0,0.0,2192.3
18.0,0.0,0.0,,,,,0.0,0.0,2192.3
19.0,0.0,0.0,,,,,0.0,0.0,2192.3
20.0,0.23,356.0,,,,,0.24,0.21,2333.6
21.0,0.0,356.0,,,,,0.0,0.0,4842.2
22.0,0.0,356.0,,,,,0.0,0.0,4288.2
23.0,0.0,356.0,,,,,0.0,0.0,5423.7
24.0,0.0,356.0,,,,,0.0,0.0,6380.4
25.0,0.0,356.0,,,,,0.0,0.0,7445.7
26.0,0.0,356.0,,,,,0.0,0.0,8428.9
27.0,0.0,356.0,,,,,0.0,0.0,9526.9
28.0,0.0,356.0,,,,,0.0,0.0,10514.1
29.0,0.0,356.0,,,,,0.0,0.0,11617.0
30.0,0.0,356.0,,,,,0.0,0.0,12630.4
31.0,0.0,356.0,,,,,0.0,0.0,13729.5
32.0,0.0,356.0,,,,,0.0,0.0,14668.6
33.0,0.0,356.0,,,,,0.0,0.0,15851.1
34.0,0.0,356.0,,,,,0.0,0.0,16773.8
35.0,0.0,356.0,,,,,0.0,0.0,18690.2
36.01,0.0,356.0,,,,,0.0,0.0,17618.8
37.01,0.0,356.0,,,,,0.0,0.0,17982.5
38.01,0.0,356.0,,,,,0.0,0.0,18336.1
39.01,0.0,356.0,,,,,0.0,0.0,18654.6
40.01,0.0,356.0,,,,,0.0,0.0,17576.6
41.01,0.0,356.0,,,,,0.0,0.0,17921.3
42.01,0.0,356.0,,,,,0.0,0.0,18267.7
43.01,0.0,356.0,,,,,0.0,0.0,18496.3
44.01,0.0,356.0,,,,,0.0,0.0,17502.0
45.01,0.0,356.0,,,,,0.0,0.0,17854.3
46.01,0.0,356.0,,,,,0.0,0.0,18204.4
47.01,0.0,356.0,,,,,0.0,0.0,18371.8
48.01,0.0,356.0,,,,,0.0,0.0,18221.8
49.01,0.0,356.0,,,,,0.0,0.0,17782.0
50.01,0.0,356.0,,,,,0.0,0.0,18127.6
51.01,0.0,356.0,,,,,0.0,0.0,18364.7
52.01,0.0,356.0,,,,,0.0,0.0,18937.7
53.01,0.0,356.0,,,,,0.0,0.0,17710.2
54.01,0.0,356.0,,,,,0.0,0.0,18058.5
55.01,0.0,356.0,,,,,0.0,0.0,18364.7
56.01,0.0,356.0,,,,,0.0,0.0,18772.3
57.01,0.0,356.0,,,,,0.0,0.0,17626.0
58.01,0.0,356.0,,,,,0.0,0.0,17975.0
59.01,0.0,356.0,,,,,0.0,0.0,18325.9
60.01,0.0,356.0,,,,,0.0,0.0,18612.0
61.01,0.0,356.0,,,,,0.0,0.0,17737.6
62.01,0.0,356.0,,,,,0.0,0.0,18752.1
63.01,0.0,356.0,,,,,0.0,0.0,19668.6
64.01,0.0,356.0,,,,,0.0,0.0,20446.1
65.01,0.0,356.0,,,,,0.0,0.0,21008.5
66.01,0.0,356.0,,,,,0.0,0.0,21580.3
67.01,0.0,356.0,,,,,0.0,0.0,22137.3
68.01,0.0,356.0,,,,,0.0,0.0,22676.8
69.01,0.0,356.0,,,,,0.0,0.0,23287.3
70.01,0.0,356.0,,,,,0.0,0.0,23774.3
71.01,0.0,356.0,,,,,0.0,0.0,24459.5
72.01,0.0,356.0,,,,,0.0,0.0,25165.9
73.01,0.0,356.0,,,,,0.0,0.0,25855.2
74.01,0.0,356.0,,,,,0.0,0.0,26528.0
75.01,0.0,356.0,,,,,0.0,0.0,27231.0
76.01,0.0,356.0,,,,,0.0,0.0,27908.9
77.01,0.0,356.0,,,,,0.0,0.0,28424.5
78.01,0.0,356.0,,,,,0.0,0.0,28697.4
79.01,0.0,356.0,,,,,0.0,0.0,29821.2
80.01,0.0,356.0,,,,,0.0,0.0,30497.2
81.01,0.0,356.0,,,,,0.0,0.0,31199.6
82.01,0.0,356.0,,,,,0.0,0.0,31615.2
83.01,0.0,356.0,,,,,0.0,0.0,31488.8
84.01,0.0,356.0,,,,,0.0,0.0,30818.6
