t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2208.5
15.0,0.0,0.0,,,,,0.0,0.0,2208.5
16.0,0.0,0.0,,,,,0.0,0.0,2208.5
17.0,0.0,0.0,,,,,0.0,0.0,2208.5
18.0,0.0,0.0,,,,,0.0,0.0,2208.5
19.0,0.0,0.0,,,,,0.0,0.0,2208.5
20.0,0.0,3.4,,,,,0.0,0.0,2239.2
21.0,0.0,3.4,,,,,0.0,0.0,2239.2
22.0,0.0,163.6,,,,,0.0,0.0,2288.9
23.0,0.0,163.6,,,,,0.0,0.0,3299.8
24.0,0.0,163.6,,,,,0.0,0.0,3163.1
25.0,0.24,356.0,,,,,0.26,0.21,3876.4
26.0,0.0,356.0,,,,,0.0,0.0,4807.0
27.0,0.0,356.0,,,,,0.0,0.0,6022.4
28.0,0.0,356.0,,,,,0.0,0.0,6914.8
29.0,0.0,356.0,,,,,0.0,0.0,8106.3
30.0,0.0,356.0,,,,,0.0,0.0,8979.1
31.0,0.0,356.0,,,,,0.0,0.0,10221.9
32.0,0.0,356.0,,,,,0.0,0.0,11095.1
33.0,0.0,356.0,,,,,0.0,0.0,12348.4
34.0,0.0,356.0,,,,,0.0,0.0,13229.6
35.01,0.0,356.0,,,,,0.0,0.0,14494.2
36.01,0.0,356.0,,,,,0.0,0.0,15371.4
37.01,0.0,356.0,,,,,0.0,0.0,17138.9
38.01,0.0,356.0,,,,,0.0,0.0,16808.5
39.01,0.0,356.0,,,,,0.0,0.0,17762.2
40.01,0.0,356.0,,,,,0.0,0.0,18098.6
41.01,0.0,356.0,,,,,0.0,0.0,18494.5
42.01,0.0,356.0,,,,,0.0,0.0,18032.8
43.01,0.0,356.0,,,,,0.0,0.0,18172.5
44.01,0.0,356.0,,,,,0.0,0.0,18102.1
45.01,0.0,356.0,,,,,0.0,0.0,18515.7
46.01,0.0,356.0,,,,,0.0,0.0,18043.9
47.01,0.0,356.0,,,,,0.0,0.0,18339.9
48.01,0.0,356.0,,,,,0.0,0.0,18098.0
49.01,0.0,356.0,,,,,0.0,0.0,18541.0
50.01,0.0,356.0,,,,,0.0,0.0,18059.6
51.01,0.0,356.0,,,,,0.0,0.0,18368.1
52.01,0.0,356.0,,,,,0.0,0.0,18096.6
53.01,0.0,356.0,,,,,0.0,0.0,18575.3
54.01,0.0,356.0,,,,,0.0,0.0,18078.3
55.01,0.0,356.0,,,,,0.0,0.0,18376.3
56.01,0.0,356.0,,,,,0.0,0.0,18098.1
57.01,0.0,356.0,,,,,0.0,0.0,18465.7
58.01,0.0,356.0,,,,,0.0,0.0,18098.5
59.01,0.0,356.0,,,,,0.0,0.0,18396.4
60.01,0.0,356.0,,,,,0.0,0.0,18099.7
61.01,0.0,356.0,,,,,0.0,0.0,17944.8
62.01,0.0,356.0,,,,,0.0,0.0,18122.5
63.01,0.0,356.0,,,,,0.0,0.0,18214.1
64.01,0.0,356.0,,,,,0.0,0.0,18420.6
65.01,0.0,356.0,,,,,0.0,0.0,19063.6
66.01,0.0,356.0,,,,,0.0,0.0,19698.7
67.01,0.0,356.0,,,,,0.0,0.0,20608.7
68.01,0.0,356.0,,,,,0.0,0.0,21460.9
69.01,0.0,356.0,,,,,0.0,0.0,22126.6
70.01,0.0,356.0,,,,,0.0,0.0,23077.5
71.01,0.0,356.0,,,,,0.0,0.0,23699.7
72.01,0.0,356.0,,,,,0.0,0.0,24356.8
73.01,0.0,356.0,,,,,0.0,0.0,24798.6
74.01,0.0,356.0,,,,,0.0,0.0,25194.0
75.01,0.0,356.0,,,,,0.0,0.0,26161.7
76.01,0.0,356.0,,,,,0.0,0.0,27606.0
77.01,0.0,356.0,,,,,0.0,0.0,28119.8
78.01,0.0,356.0,,,,,0.0,0.0,27998.7
79.01,0.0,356.0,,,,,0.0,0.0,29132.4
80.01,0.0,356.0,,,,,0.0,0.0,29748.7
81.01,0.0,356.0,,,,,0.0,0.0,30200.1
82.01,0.0,356.0,,,,,0.0,0.0,30419.6
83.01,0.0,356.0,,,,,0.0,0.0,30922.2
84.01,0.0,356.0,,,,,0.0,0.0,31218.8
