t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,2226.6
20.0,0.0,0.0,,,,,0.0,0.0,2226.6
21.0,0.0,0.0,,,,,0.0,0.0,2226.6
22.0,0.0,0.0,,,,,0.0,0.0,2226.6
23.0,0.0,0.0,,,,,0.0,0.0,2226.6
24.0,0.0,3.4,,,,,0.0,0.0,2228.3
25.0,0.23,356.0,,,,,0.21,0.24,3324.0
26.0,0.0,356.0,,,,,0.0,0.0,3938.0
27.0,0.0,356.0,,,,,0.0,0.0,4798.0
28.0,0.0,356.0,,,,,0.0,0.0,5950.1
29.0,0.0,356.0,,,,,0.0,0.0,6853.3
30.0,0.0,356.0,,,,,0.0,0.0,8017.9
31.0,0.0,356.0,,,,,0.0,0.0,8936.1
32.01,0.0,356.0,,,,,0.0,0.0,10117.0
33.01,0.0,356.0,,,,,0.0,0.0,11040.5
34.01,0.0,356.0,,,,,0.0,0.0,12238.6
35.01,0.0,356.0,,,,,0.0,0.0,13164.8
36.01,0.0,356.0,,,,,0.0,0.0,14366.7
37.01,0.0,356.0,,,,,0.0,0.0,15251.9
38.01,0.0,356.0,,,,,0.0,0.0,16455.6
39.01,0.0,356.0,,,,,0.0,0.0,18189.1
40.01,0.0,356.0,,,,,0.0,0.0,18250.0
41.01,0.0,356.0,,,,,0.0,0.0,18470.3
42.01,0.0,356.0,,,,,0.0,0.0,17675.7
43.01,0.0,356.0,,,,,0.0,0.0,17887.7
44.01,0.0,356.0,,,,,0.0,0.0,18247.3
45.01,0.0,356.0,,,,,0.0,0.0,18430.2
46.01,0.0,356.0,,,,,0.0,0.0,17726.4
47.01,0.0,356.0,,,,,0.0,0.0,17849.4
48.01,0.0,356.0,,,,,0.0,0.0,18204.0
49.01,0.0,356.0,,,,,0.0,0.0,18398.3
50.01,0.0,356.0,,,,,0.0,0.0,18793.1
51.01,0.0,356.0,,,,,0.0,0.0,17804.1
52.01,0.0,356.0,,,,,0.0,0.0,18158.6
53.01,0.0,356.0,,,,,0.0,0.0,18398.3
54.01,0.0,356.0,,,,,0.0,0.0,18983.6
55.01,0.0,356.0,,,,,0.0,0.0,17756.0
56.01,0.0,356.0,,,,,0.0,0.0,18109.4
57.01,0.0,356.0,,,,,0.0,0.0,18398.3
58.01,0.0,356.0,,,,,0.0,0.0,18870.9
59.01,0.0,356.0,,,,,0.0,0.0,17706.5
60.01,0.0,356.0,,,,,0.0,0.0,18062.9
61.01,0.0,356.0,,,,,0.0,0.0,18398.3
62.01,0.0,356.0,,,,,0.0,0.0,18788.7
63.01,0.0,356.0,,,,,0.0,0.0,17672.5
64.01,0.0,356.0,,,,,0.0,0.0,18032.7
65.01,0.0,356.0,,,,,0.0,0.0,18378.2
66.01,0.0,356.0,,,,,0.0,0.0,18443.8
67.01,0.0,356.0,,,,,0.0,0.0,19050.7
68.01,0.0,356.0,,,,,0.0,0.0,19629.7
69.01,0.0,356.0,,,,,0.0,0.0,20053.6
70.01,0.0,356.0,,,,,0.0,0.0,20554.6
71.01,0.0,356.0,,,,,0.0,0.0,21056.0
72.01,0.0,356.0,,,,,0.0,0.0,21558.0
73.01,0.0,356.0,,,,,0.0,0.0,22058.0
74.01,0.0,356.0,,,,,0.0,0.0,22558.1
75.01,0.0,356.0,,,,,0.0,0.0,23058.5
76.01,0.0,356.0,,,,,0.0,0.0,23559.0
77.01,0.0,356.0,,,,,0.0,0.0,24143.1
78.01,0.0,356.0,,,,,0.0,0.0,24836.5
79.01,0.0,356.0,,,,,0.0,0.0,25511.1
80.01,0.0,356.0,,,,,0.0,0.0,26217.2
81.01,0.0,356.0,,,,,0.0,0.0,26923.7
82.01,0.0,356.0,,,,,0.0,0.0,27583.4
83.01,0.0,356.0,,,,,0.0,0.0,28291.8
84.02,0.0,356.0,,,,,0.0,0.0,28503.7
