t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,2213.3
22.0,0.0,0.0,,,,,0.0,0.0,2213.3
23.0,0.0,0.0,,,,,0.0,0.0,2213.3
24.0,0.0,0.0,,,,,0.0,0.0,2213.3
25.0,0.0,0.0,,,,,0.0,0.0,2213.3
26.0,0.0,3.4,,,,,0.0,0.0,2222.4
27.0,0.21,356.0,,,,,0.21,0.21,2587.7
28.0,0.0,356.0,,,,,0.0,0.0,3911.8
29.0,0.0,356.0,,,,,0.0,0.0,4804.4
30.0,0.0,356.0,,,,,0.0,0.0,4933.8
31.0,0.0,356.0,,,,,0.0,0.0,5287.8
32.0,0.0,356.0,,,,,0.0,0.0,5459.1
33.0,0.0,356.0,,,,,0.0,0.0,6360.8
34.0,0.0,356.0,,,,,0.0,0.0,6877.6
35.0,0.0,356.0,,,,,0.0,0.0,7385.4
36.01,0.0,356.0,,,,,0.0,0.0,7872.2
37.01,0.0,356.0,,,,,0.0,0.0,8330.2
38.01,0.0,356.0,,,,,0.0,0.0,8777.1
39.01,0.0,356.0,,,,,0.0,0.0,9240.3
40.01,0.0,356.0,,,,,0.0,0.0,6426.9
41.01,0.02,356.7,,,,,0.02,0.02,5524.5
42.01,0.0,356.7,,,,,0.0,0.0,5528.1
43.01,6.26,2547.9,,,,,4.94,7.58,5287.0
44.01,0.0,2548.7,,,,,0.0,0.0,5354.6
45.01,0.0,2548.7,,,,,0.0,0.0,5357.0
46.01,0.0,2548.7,,,,,0.0,0.0,5357.0
47.01,0.0,2548.7,,,,,0.0,0.0,5357.1
48.01,0.0,2548.7,,,,,0.0,0.0,5357.2
49.01,0.0,2548.7,,,,,0.0,0.0,4798.0
50.01,0.0,3709.9,,,,,0.0,0.0,5488.1
51.01,0.0,3838.1,,,,,0.0,0.0,5488.4
52.01,0.0,4145.9,,,,,0.0,0.0,5830.8
53.01,36.78,4128.8,,,,,36.78,36.77,4731.5
54.01,0.0,4128.8,,,,,0.0,0.0,4732.6
55.01,0.0,4128.8,,,,,0.0,0.0,4736.0
56.01,0.0,4128.8,,,,,0.0,0.0,4917.0
57.01,0.0,4128.8,,,,,0.0,0.0,5243.2
58.01,0.0,4128.8,,,,,0.0,0.0,6703.0
59.01,0.0,4237.3,,,,,0.0,0.0,6722.9
60.01,0.0,4402.6,,,,,0.0,0.0,7208.8
61.01,74.46,4402.6,,,,,72.75,76.17,5724.0
62.01,76.09,4402.6,,,,,72.8,79.37,5724.2
63.01,73.92,4402.6,,,,,75.12,72.72,5830.8
64.01,39.01,4382.0,,,,,41.61,36.4,6284.7
65.01,0.38,4537.0,,,,,0.38,0.38,6338.5
66.01,100.0,4537.0,,,,,100.0,100.0,6337.7
67.01,80.63,4537.0,,,,,88.51,72.74,6338.6
68.01,79.76,4537.0,,,,,86.72,72.8,6400.4
69.01,39.84,4519.7,,,,,43.32,36.35,6816.8
70.01,0.53,4555.0,,,,,0.53,0.53,6809.5
71.01,100.0,4555.0,,,,,100.0,100.0,6807.1
