t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,1174.1
13.0,0.0,0.0,,,,,0.0,0.0,1174.1
14.0,0.0,0.0,,,,,0.0,0.0,1174.1
15.0,0.0,0.0,,,,,0.0,0.0,1174.1
16.0,0.0,0.0,,,,,0.0,0.0,1174.1
17.0,0.0,0.0,,,,,0.0,0.0,1174.1
18.0,0.0,3.4,,,,,0.0,0.0,1779.2
19.0,0.0,3.4,,,,,0.0,0.0,1779.2
20.0,0.0,3.4,,,,,0.0,0.0,1779.2
21.0,0.0,3.4,,,,,0.0,0.0,1779.2
22.0,0.0,3.4,,,,,0.0,0.0,1779.2
23.0,0.0,3.4,,,,,0.0,0.0,1779.2
24.0,0.0,3.4,,,,,0.0,0.0,1779.2
25.0,0.0,3.4,,,,,0.0,0.0,1779.2
26.0,0.0,3.4,,,,,0.0,0.0,1779.2
27.0,0.0,3.4,,,,,0.0,0.0,1779.2
28.0,0.0,3.4,,,,,0.0,0.0,1779.2
29.0,0.0,3.4,,,,,0.0,0.0,1779.2
30.0,0.0,3.4,,,,,0.0,0.0,1779.2
31.0,0.0,3.4,,,,,0.0,0.0,1779.2
32.0,0.0,3.4,,,,,0.0,0.0,1779.2
33.0,0.0,3.4,,,,,0.0,0.0,1779.2
34.0,0.0,3.4,,,,,0.0,0.0,1779.2
35.0,0.0,3.4,,,,,0.0,0.0,1779.2
36.0,0.0,3.4,,,,,0.0,0.0,1779.2
37.01,0.0,3.4,,,,,0.0,0.0,1779.2
38.01,0.0,3.4,,,,,0.0,0.0,1779.2
39.01,0.0,3.4,,,,,0.0,0.0,1779.2
40.01,0.0,3.4,,,,,0.0,0.0,1779.2
41.01,0.0,3.4,,,,,0.0,0.0,1779.2
42.01,0.0,3.4,,,,,0.0,0.0,1779.2
43.01,0.0,3.4,,,,,0.0,0.0,1779.2
44.01,0.0,3.4,,,,,0.0,0.0,1779.2
45.01,0.0,3.4,,,,,0.0,0.0,1779.2
46.01,0.0,3.4,,,,,0.0,0.0,1779.2
47.01,0.0,3.4,,,,,0.0,0.0,1779.2
48.01,0.0,3.4,,,,,0.0,0.0,1779.2
49.01,0.0,3.4,,,,,0.0,0.0,1779.2
50.01,0.0,3.4,,,,,0.0,0.0,1779.2
51.01,0.0,3.4,,,,,0.0,0.0,1779.2
52.01,0.0,3.4,,,,,0.0,0.0,1779.2
53.01,0.0,3.4,,,,,0.0,0.0,1779.2
54.01,0.0,3.4,,,,,0.0,0.0,1779.2
55.01,0.0,3.4,,,,,0.0,0.0,1779.2
56.01,0.0,3.4,,,,,0.0,0.0,1779.2
57.01,0.0,3.4,,,,,0.0,0.0,1779.2
58.01,0.0,3.4,,,,,0.0,0.0,1779.2
59.01,0.0,3.4,,,,,0.0,0.0,1779.2
60.01,0.0,3.4,,,,,0.0,0.0,1779.2
61.01,0.0,3.4,,,,,0.0,0.0,1779.2
62.01,0.0,3.4,,,,,0.0,0.0,1779.2
63.01,0.0,3.4,,,,,0.0,0.0,1779.2
64.01,0.0,3.4,,,,,0.0,0.0,1779.2
65.01,0.0,3.4,,,,,0.0,0.0,1779.2
66.01,0.0,3.4,,,,,0.0,0.0,1779.2
67.01,0.0,3.4,,,,,0.0,0.0,1779.2
68.01,0.0,3.4,,,,,0.0,0.0,1779.2
69.01,0.0,3.4,,,,,0.0,0.0,1779.2
70.01,0.0,3.4,,,,,0.0,0.0,1779.2
71.01,0.0,3.4,,,,,0.0,0.0,1779.2
72.01,0.0,3.4,,,,,0.0,0.0,1779.2
73.01,0.0,3.4,,,,,0.0,0.0,1779.2
74.01,0.0,3.4,,,,,0.0,0.0,1779.2
75.01,0.0,3.4,,,,,0.0,0.0,2041.1
76.01,0.0,3.4,,,,,0.0,0.0,2350.0
77.01,0.0,3.4,,,,,0.0,0.0,2932.5
78.01,0.0,3.4,,,,,0.0,0.0,2932.5
79.01,0.0,3.4,,,,,0.0,0.0,2932.5
80.01,0.0,3.4,,,,,0.0,0.0,2932.5
81.01,0.0,3.4,,,,,0.0,0.0,2932.5
82.01,0.0,3.4,,,,,0.0,0.0,2932.5
83.01,0.0,3.4,,,,,0.0,0.0,2932.5
84.01,0.0,3.4,,,,,0.0,0.0,2932.5
