t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,2207.3
23.0,0.0,0.0,,,,,0.0,0.0,2207.3
24.0,0.0,0.0,,,,,0.0,0.0,2207.3
25.0,0.0,0.0,,,,,0.0,0.0,2207.3
26.0,0.0,0.0,,,,,0.0,0.0,2207.3
27.0,0.22,356.0,,,,,0.21,0.22,2344.2
28.0,0.0,356.0,,,,,0.0,0.0,4148.0
29.0,0.0,356.0,,,,,0.0,0.0,4266.8
30.0,0.0,356.0,,,,,0.0,0.0,5077.0
31.0,0.0,356.0,,,,,0.0,0.0,6436.8
32.0,0.0,356.0,,,,,0.0,0.0,7215.2
33.0,0.0,356.0,,,,,0.0,0.0,8641.2
34.0,0.0,356.0,,,,,0.0,0.0,9317.6
35.0,0.0,356.0,,,,,0.0,0.0,10412.3
36.0,0.0,356.0,,,,,0.0,0.0,11477.2
37.0,0.0,356.0,,,,,0.0,0.0,12499.9
38.0,0.0,356.0,,,,,0.0,0.0,13640.9
39.01,0.0,356.0,,,,,0.0,0.0,14668.0
40.01,0.0,356.0,,,,,0.0,0.0,15804.7
41.01,0.0,356.0,,,,,0.0,0.0,16859.7
42.01,0.0,356.0,,,,,0.0,0.0,19701.2
43.01,0.0,356.0,,,,,0.0,0.0,17583.2
44.01,0.0,356.0,,,,,0.0,0.0,17970.1
45.01,0.0,356.0,,,,,0.0,0.0,18360.6
46.01,0.0,356.0,,,,,0.0,0.0,18757.0
47.01,0.0,356.0,,,,,0.0,0.0,17685.4
48.01,0.0,356.0,,,,,0.0,0.0,18076.4
49.01,0.0,356.0,,,,,0.0,0.0,18374.6
50.01,0.0,356.0,,,,,0.0,0.0,18991.7
51.01,0.0,356.0,,,,,0.0,0.0,17798.3
52.01,0.0,356.0,,,,,0.0,0.0,18191.4
53.01,0.0,356.0,,,,,0.0,0.0,18411.4
54.01,0.0,356.0,,,,,0.0,0.0,17520.5
55.01,0.0,356.0,,,,,0.0,0.0,17912.8
56.01,0.0,356.0,,,,,0.0,0.0,18304.3
57.01,0.0,356.0,,,,,0.0,0.0,18635.9
58.01,0.0,356.0,,,,,0.0,0.0,17633.3
59.01,0.0,356.0,,,,,0.0,0.0,18025.9
60.01,0.0,356.0,,,,,0.0,0.0,18374.6
61.01,0.0,356.0,,,,,0.0,0.0,18881.9
62.01,0.0,356.0,,,,,0.0,0.0,17751.9
63.01,0.0,356.0,,,,,0.0,0.0,18147.6
64.01,0.0,356.0,,,,,0.0,0.0,18397.3
65.01,0.0,356.0,,,,,0.0,0.0,18287.9
66.01,0.0,356.0,,,,,0.0,0.0,17875.6
67.01,0.0,356.0,,,,,0.0,0.0,18272.8
68.01,0.0,356.0,,,,,0.0,0.0,18361.9
69.01,0.0,356.0,,,,,0.0,0.0,19005.3
70.01,0.0,356.0,,,,,0.0,0.0,19562.2
71.01,0.0,356.0,,,,,0.0,0.0,20008.6
72.01,0.0,356.0,,,,,0.0,0.0,20507.7
