t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2220.2
15.0,0.0,0.0,,,,,0.0,0.0,2220.2
16.0,0.0,0.0,,,,,0.0,0.0,2220.2
17.0,0.0,0.0,,,,,0.0,0.0,2220.2
18.0,0.0,0.0,,,,,0.0,0.0,2220.2
19.0,0.0,0.0,,,,,0.0,0.0,2220.2
20.0,0.0,0.0,,,,,0.0,0.0,2220.2
21.0,0.21,356.0,,,,,0.21,0.21,2361.6
22.0,0.0,356.0,,,,,0.0,0.0,5279.7
23.0,0.0,356.0,,,,,0.0,0.0,4360.7
24.0,0.0,356.0,,,,,0.0,0.0,5758.9
25.0,0.0,356.0,,,,,0.0,0.0,6406.8
26.0,0.0,356.0,,,,,0.0,0.0,7718.9
27.0,0.0,356.0,,,,,0.0,0.0,8401.4
28.0,0.0,356.0,,,,,0.0,0.0,9736.8
29.0,0.0,356.0,,,,,0.0,0.0,10504.2
30.0,0.0,356.0,,,,,0.0,0.0,11765.6
31.0,0.0,356.0,,,,,0.0,0.0,12551.2
32.0,0.0,356.0,,,,,0.0,0.0,13826.0
33.0,0.0,356.0,,,,,0.0,0.0,14687.6
34.0,0.0,356.0,,,,,0.0,0.0,15905.4
35.0,0.0,356.0,,,,,0.0,0.0,16705.6
36.0,0.0,356.0,,,,,0.0,0.0,19557.5
37.01,0.0,356.0,,,,,0.0,0.0,18310.1
38.01,0.0,356.0,,,,,0.0,0.0,17826.0
39.01,0.0,356.0,,,,,0.0,0.0,18182.4
40.01,0.0,356.0,,,,,0.0,0.0,18388.6
41.01,0.0,356.0,,,,,0.0,0.0,18999.3
42.01,0.0,356.0,,,,,0.0,0.0,17746.2
43.01,0.0,356.0,,,,,0.0,0.0,18090.5
44.01,0.0,356.0,,,,,0.0,0.0,18388.6
45.01,0.0,356.0,,,,,0.0,0.0,18817.8
46.01,0.0,356.0,,,,,0.0,0.0,17663.7
47.01,0.0,356.0,,,,,0.0,0.0,18020.1
48.01,0.0,356.0,,,,,0.0,0.0,18363.5
49.01,0.0,356.0,,,,,0.0,0.0,18686.7
50.01,0.0,356.0,,,,,0.0,0.0,17605.3
51.01,0.0,356.0,,,,,0.0,0.0,17963.1
52.01,0.0,356.0,,,,,0.0,0.0,18319.4
53.01,0.0,356.0,,,,,0.0,0.0,18584.5
54.01,0.0,356.0,,,,,0.0,0.0,17568.7
55.01,0.0,356.0,,,,,0.0,0.0,17933.3
56.01,0.0,356.0,,,,,0.0,0.0,18290.9
57.01,0.0,356.0,,,,,0.0,0.0,18523.6
58.01,0.0,356.0,,,,,0.0,0.0,17544.1
59.01,0.0,356.0,,,,,0.0,0.0,17908.9
60.01,0.0,356.0,,,,,0.0,0.0,18268.6
61.01,0.0,356.0,,,,,0.0,0.0,18485.5
62.01,0.0,356.0,,,,,0.0,0.0,17739.9
63.01,0.0,356.0,,,,,0.0,0.0,18767.0
64.01,0.0,356.0,,,,,0.0,0.0,19694.6
65.01,0.0,356.0,,,,,0.0,0.0,20365.6
66.01,0.0,356.0,,,,,0.0,0.0,21017.0
67.01,0.0,356.0,,,,,0.0,0.0,21686.7
68.01,0.0,356.0,,,,,0.0,0.0,22355.4
69.01,0.0,356.0,,,,,0.0,0.0,23021.4
70.01,0.0,356.0,,,,,0.0,0.0,23672.4
71.01,0.0,356.0,,,,,0.0,0.0,26745.2
72.01,0.0,356.0,,,,,0.0,0.0,27892.5
73.01,0.0,356.0,,,,,0.0,0.0,28227.6
74.01,0.0,356.0,,,,,0.0,0.0,29200.7
75.01,0.0,356.0,,,,,0.0,0.0,29349.8
76.01,0.0,356.0,,,,,0.0,0.0,29294.5
77.01,0.0,356.0,,,,,0.0,0.0,29187.4
78.01,0.0,356.0,,,,,0.0,0.0,29414.2
79.01,0.0,356.0,,,,,0.0,0.0,29580.8
80.01,0.0,356.0,,,,,0.0,0.0,29867.5
81.01,0.0,356.0,,,,,0.0,0.0,30876.1
82.01,0.0,356.0,,,,,0.0,0.0,31377.2
83.01,0.0,356.0,,,,,0.0,0.0,32056.2
84.01,0.0,356.0,,,,,0.0,0.0,32552.4
