t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,2201.4
16.0,0.0,0.0,,,,,0.0,0.0,2201.4
17.0,0.0,0.0,,,,,0.0,0.0,2201.4
18.0,0.0,0.0,,,,,0.0,0.0,2201.4
19.0,0.0,0.0,,,,,0.0,0.0,2201.4
20.0,0.22,356.0,,,,,0.21,0.22,2339.2
21.0,0.0,356.0,,,,,0.0,0.0,4277.0
22.0,0.0,356.0,,,,,0.0,0.0,4381.9
23.0,0.0,356.0,,,,,0.0,0.0,5058.7
24.0,0.0,356.0,,,,,0.0,0.0,6399.7
25.0,0.0,356.0,,,,,0.0,0.0,7176.8
26.0,0.0,356.0,,,,,0.0,0.0,8468.3
27.0,0.0,356.0,,,,,0.0,0.0,9271.1
28.0,0.0,356.0,,,,,0.0,0.0,10561.9
29.0,0.0,356.0,,,,,0.0,0.0,11303.1
30.0,0.0,356.0,,,,,0.0,0.0,12676.1
31.0,0.0,356.0,,,,,0.0,0.0,13427.5
32.01,0.0,356.0,,,,,0.0,0.0,14814.2
33.01,0.0,356.0,,,,,0.0,0.0,15554.7
34.01,0.0,356.0,,,,,0.0,0.0,16959.5
35.01,0.0,356.0,,,,,0.0,0.0,19345.7
36.01,0.0,356.0,,,,,0.0,0.0,18849.5
37.01,0.0,356.0,,,,,0.0,0.0,17700.2
38.01,0.0,356.0,,,,,0.0,0.0,18068.6
39.01,0.0,356.0,,,,,0.0,0.0,18372.8
40.01,0.0,356.0,,,,,0.0,0.0,18864.8
41.01,0.0,356.0,,,,,0.0,0.0,17697.6
42.01,0.0,356.0,,,,,0.0,0.0,18061.5
43.01,0.0,356.0,,,,,0.0,0.0,18372.8
44.01,0.0,356.0,,,,,0.0,0.0,18845.5
45.01,0.0,356.0,,,,,0.0,0.0,17692.5
46.01,0.0,356.0,,,,,0.0,0.0,18057.3
47.01,0.0,356.0,,,,,0.0,0.0,18372.8
48.01,0.0,356.0,,,,,0.0,0.0,18840.7
49.01,0.0,356.0,,,,,0.0,0.0,17688.4
50.01,0.0,356.0,,,,,0.0,0.0,18054.9
51.01,0.0,356.0,,,,,0.0,0.0,18372.8
52.01,0.0,356.0,,,,,0.0,0.0,18839.9
53.01,0.0,356.0,,,,,0.0,0.0,17687.6
54.01,0.0,356.0,,,,,0.0,0.0,18053.8
55.01,0.0,356.0,,,,,0.0,0.0,18372.8
56.01,0.0,356.0,,,,,0.0,0.0,18831.8
57.01,0.0,356.0,,,,,0.0,0.0,17681.8
58.01,0.0,356.0,,,,,0.0,0.0,18048.0
59.01,0.0,356.0,,,,,0.0,0.0,18372.8
60.01,0.0,356.0,,,,,0.0,0.0,18810.8
61.01,0.0,356.0,,,,,0.0,0.0,17817.0
62.01,0.0,356.0,,,,,0.0,0.0,18788.1
63.01,0.0,356.0,,,,,0.0,0.0,19753.0
64.01,0.0,356.0,,,,,0.0,0.0,20717.2
65.01,0.0,356.0,,,,,0.0,0.0,21688.8
66.01,0.0,356.0,,,,,0.0,0.0,22510.1
67.01,0.0,356.0,,,,,0.0,0.0,23090.3
68.01,0.0,356.0,,,,,0.0,0.0,23633.6
69.01,0.0,356.0,,,,,0.0,0.0,24418.7
70.01,0.0,356.0,,,,,0.0,0.0,25451.9
71.01,0.0,356.0,,,,,0.0,0.0,26399.8
72.01,0.0,356.0,,,,,0.0,0.0,27449.2
73.01,0.0,356.0,,,,,0.0,0.0,28472.9
74.01,0.0,356.0,,,,,0.0,0.0,28637.6
75.01,0.0,356.0,,,,,0.0,0.0,29600.6
76.01,0.0,356.0,,,,,0.0,0.0,30405.5
77.01,0.0,356.0,,,,,0.0,0.0,30757.5
78.01,0.0,356.0,,,,,0.0,0.0,31161.5
79.01,0.0,356.0,,,,,0.0,0.0,31544.2
80.01,0.0,356.0,,,,,0.0,0.0,29680.0
81.01,0.0,356.0,,,,,0.0,0.0,29898.1
82.01,0.0,356.0,,,,,0.0,0.0,30319.3
83.01,0.0,356.0,,,,,0.0,0.0,30850.4
84.01,0.0,356.0,,,,,0.0,0.0,31263.3
