t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2207.9
15.0,0.0,0.0,,,,,0.0,0.0,2207.9
16.0,0.0,0.0,,,,,0.0,0.0,2207.9
17.0,0.0,0.0,,,,,0.0,0.0,2207.9
18.0,0.0,0.0,,,,,0.0,0.0,2207.9
19.0,0.0,3.4,,,,,0.0,0.0,2209.7
20.0,0.21,356.0,,,,,0.21,0.22,3365.1
21.0,0.0,356.0,,,,,0.0,0.0,3743.7
22.0,0.0,356.0,,,,,0.0,0.0,4790.4
23.0,0.0,356.0,,,,,0.0,0.0,5971.3
24.0,0.0,356.0,,,,,0.0,0.0,6804.2
25.0,0.0,356.0,,,,,0.0,0.0,8224.5
26.0,0.0,356.0,,,,,0.0,0.0,8909.1
27.0,0.0,356.0,,,,,0.0,0.0,10286.8
28.0,0.0,356.0,,,,,0.0,0.0,10962.9
29.0,0.0,356.0,,,,,0.0,0.0,12386.1
30.0,0.0,356.0,,,,,0.0,0.0,13072.9
31.0,0.0,356.0,,,,,0.0,0.0,14275.1
32.0,0.0,356.0,,,,,0.0,0.0,15163.2
33.0,0.0,356.0,,,,,0.0,0.0,16401.0
34.0,0.0,356.0,,,,,0.0,0.0,18121.8
35.0,0.0,356.0,,,,,0.0,0.0,18139.6
36.01,0.0,356.0,,,,,0.0,0.0,18375.7
37.01,0.0,356.0,,,,,0.0,0.0,18537.5
38.01,0.0,356.0,,,,,0.0,0.0,17764.3
39.01,0.0,356.0,,,,,0.0,0.0,18121.0
40.01,0.0,356.0,,,,,0.0,0.0,18375.7
41.01,0.0,356.0,,,,,0.0,0.0,18911.5
42.01,0.0,356.0,,,,,0.0,0.0,17699.8
43.01,0.0,356.0,,,,,0.0,0.0,18054.1
44.01,0.0,356.0,,,,,0.0,0.0,18374.8
45.01,0.0,356.0,,,,,0.0,0.0,18791.5
46.01,0.0,356.0,,,,,0.0,0.0,17654.8
47.01,0.0,356.0,,,,,0.0,0.0,18020.0
48.01,0.0,356.0,,,,,0.0,0.0,18354.7
49.01,0.0,356.0,,,,,0.0,0.0,18730.8
50.01,0.0,356.0,,,,,0.0,0.0,17634.4
51.01,0.0,356.0,,,,,0.0,0.0,18002.1
52.01,0.0,356.0,,,,,0.0,0.0,18343.5
53.01,0.0,356.0,,,,,0.0,0.0,18725.9
54.01,0.0,356.0,,,,,0.0,0.0,17645.1
55.01,0.0,356.0,,,,,0.0,0.0,18024.1
56.01,0.0,356.0,,,,,0.0,0.0,18349.3
57.01,0.0,356.0,,,,,0.0,0.0,18816.1
58.01,0.0,356.0,,,,,0.0,0.0,17699.9
59.01,0.0,356.0,,,,,0.0,0.0,18078.8
60.01,0.0,356.0,,,,,0.0,0.0,18366.8
61.01,0.0,356.0,,,,,0.0,0.0,18460.5
62.01,0.0,356.0,,,,,0.0,0.0,19497.7
63.01,0.0,356.0,,,,,0.0,0.0,20328.8
64.01,0.0,356.0,,,,,0.0,0.0,21272.9
65.01,0.0,356.0,,,,,0.0,0.0,22276.8
66.01,0.0,356.0,,,,,0.0,0.0,23370.5
67.02,0.0,356.0,,,,,0.0,0.0,25204.6
68.02,0.0,356.0,,,,,0.0,0.0,25541.9
69.02,0.0,356.0,,,,,0.0,0.0,25562.9
70.02,0.0,356.0,,,,,0.0,0.0,25801.5
71.02,0.0,356.0,,,,,0.0,0.0,26417.0
72.02,0.0,356.0,,,,,0.0,0.0,26674.6
73.02,0.0,356.0,,,,,0.0,0.0,26568.8
74.02,0.0,356.0,,,,,0.0,0.0,26733.4
75.02,0.0,356.0,,,,,0.0,0.0,26971.8
76.02,0.0,356.0,,,,,0.0,0.0,26997.1
77.02,0.0,356.0,,,,,0.0,0.0,26995.6
78.02,0.0,356.0,,,,,0.0,0.0,27079.6
79.02,0.0,356.0,,,,,0.0,0.0,27292.8
80.02,0.0,356.0,,,,,0.0,0.0,27527.7
81.02,0.0,356.0,,,,,0.0,0.0,27727.3
82.02,0.0,356.0,,,,,0.0,0.0,28024.7
83.02,0.0,356.0,,,,,0.0,0.0,28165.6
84.02,0.0,356.0,,,,,0.0,0.0,28720.3
