t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2247.0
10.0,0.0,0.0,,,,,0.0,0.0,2247.0
11.0,0.0,0.0,,,,,0.0,0.0,2247.0
12.0,0.0,0.0,,,,,0.0,0.0,2247.0
13.0,0.0,0.0,,,,,0.0,0.0,2247.0
14.0,0.0,1.7,,,,,0.0,0.0,2247.8
15.0,0.0,1.7,,,,,0.0,0.0,2247.8
16.0,0.0,1.7,,,,,0.0,0.0,2247.8
17.0,0.0,1.7,,,,,0.0,0.0,2247.8
18.0,0.0,1.7,,,,,0.0,0.0,2247.8
19.0,0.0,1.7,,,,,0.0,0.0,2247.8
20.0,0.0,1.7,,,,,0.0,0.0,2247.8
21.0,0.0,1.7,,,,,0.0,0.0,2247.8
22.0,0.22,356.0,,,,,0.22,0.21,2388.7
23.0,0.0,356.0,,,,,0.0,0.0,4885.6
24.0,0.0,356.0,,,,,0.0,0.0,4536.1
25.0,0.0,356.0,,,,,0.0,0.0,5313.6
26.0,0.0,356.0,,,,,0.0,0.0,6565.9
27.0,0.0,356.0,,,,,0.0,0.0,7393.4
28.0,0.0,356.0,,,,,0.0,0.0,8633.1
29.0,0.0,356.0,,,,,0.0,0.0,9494.6
30.0,0.0,356.0,,,,,0.0,0.0,10748.3
31.0,0.0,356.0,,,,,0.0,0.0,11625.3
32.0,0.0,356.0,,,,,0.0,0.0,12895.0
33.0,0.0,356.0,,,,,0.0,0.0,13745.4
34.0,0.0,356.0,,,,,0.0,0.0,14890.4
35.0,0.0,356.0,,,,,0.0,0.0,15792.5
36.01,0.0,356.0,,,,,0.0,0.0,17012.9
37.01,0.0,356.0,,,,,0.0,0.0,18621.1
38.01,0.0,356.0,,,,,0.0,0.0,17817.7
39.01,0.0,356.0,,,,,0.0,0.0,18156.9
40.01,0.0,356.0,,,,,0.0,0.0,18586.2
41.01,0.0,356.0,,,,,0.0,0.0,18085.9
42.01,0.0,356.0,,,,,0.0,0.0,17997.8
43.01,0.0,356.0,,,,,0.0,0.0,18143.9
44.01,0.0,356.0,,,,,0.0,0.0,18553.5
45.01,0.0,356.0,,,,,0.0,0.0,18073.4
46.01,0.0,356.0,,,,,0.0,0.0,18087.0
47.01,0.0,356.0,,,,,0.0,0.0,18142.9
48.01,0.0,356.0,,,,,0.0,0.0,18531.8
49.01,0.0,356.0,,,,,0.0,0.0,18063.3
50.01,0.0,356.0,,,,,0.0,0.0,18056.2
51.01,0.0,356.0,,,,,0.0,0.0,18142.2
52.01,0.0,356.0,,,,,0.0,0.0,18519.6
53.01,0.0,356.0,,,,,0.0,0.0,18060.0
54.01,0.0,356.0,,,,,0.0,0.0,17978.6
55.01,0.0,356.0,,,,,0.0,0.0,18145.6
56.01,0.0,356.0,,,,,0.0,0.0,18522.2
57.01,0.0,356.0,,,,,0.0,0.0,18059.8
58.01,0.0,356.0,,,,,0.0,0.0,17792.6
59.01,0.0,356.0,,,,,0.0,0.0,18153.6
60.01,0.0,356.0,,,,,0.0,0.0,18527.4
61.01,0.0,356.0,,,,,0.0,0.0,18065.5
62.01,0.0,356.0,,,,,0.0,0.0,17792.6
63.01,0.0,356.0,,,,,0.0,0.0,18191.0
64.01,0.0,356.0,,,,,0.0,0.0,19191.1
65.01,0.0,356.0,,,,,0.0,0.0,20073.6
66.01,0.0,356.0,,,,,0.0,0.0,20638.2
67.01,0.0,356.0,,,,,0.0,0.0,21157.6
68.01,0.0,356.0,,,,,0.0,0.0,21674.0
69.01,0.0,356.0,,,,,0.0,0.0,22192.8
70.01,0.0,356.0,,,,,0.0,0.0,22730.3
71.01,0.0,356.0,,,,,0.0,0.0,23250.8
72.01,0.0,356.0,,,,,0.0,0.0,23752.2
73.01,0.0,356.0,,,,,0.0,0.0,24434.3
74.01,0.0,356.0,,,,,0.0,0.0,25161.4
75.01,0.0,356.0,,,,,0.0,0.0,25876.9
76.01,0.0,356.0,,,,,0.0,0.0,26592.2
77.01,0.0,356.0,,,,,0.0,0.0,27298.5
78.01,0.0,356.0,,,,,0.0,0.0,27997.1
79.01,0.0,356.0,,,,,0.0,0.0,28511.9
80.01,0.0,356.0,,,,,0.0,0.0,28752.8
81.01,0.0,356.0,,,,,0.0,0.0,29443.7
82.01,0.0,356.0,,,,,0.0,0.0,29943.2
83.01,0.0,356.0,,,,,0.0,0.0,30316.8
84.01,0.0,356.0,,,,,0.0,0.0,30633.0
