t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,2235.2
19.0,0.0,0.0,,,,,0.0,0.0,2235.2
20.0,0.0,0.0,,,,,0.0,0.0,2235.2
21.0,0.0,0.0,,,,,0.0,0.0,2235.2
22.0,0.0,0.0,,,,,0.0,0.0,2235.2
23.0,0.0,0.0,,,,,0.0,0.0,2235.2
24.0,0.22,356.0,,,,,0.22,0.21,2390.0
25.0,0.0,356.0,,,,,0.0,0.0,4137.5
26.0,0.0,356.0,,,,,0.0,0.0,4569.9
27.0,0.0,356.0,,,,,0.0,0.0,5524.9
28.0,0.0,356.0,,,,,0.0,0.0,6604.0
29.0,0.0,356.0,,,,,0.0,0.0,7593.5
30.0,0.0,356.0,,,,,0.0,0.0,8691.3
31.0,0.0,356.0,,,,,0.0,0.0,9686.5
32.0,0.0,356.0,,,,,0.0,0.0,10795.2
33.0,0.0,356.0,,,,,0.0,0.0,11802.2
34.0,0.0,356.0,,,,,0.0,0.0,12915.0
35.01,0.0,356.0,,,,,0.0,0.0,13951.9
36.01,0.0,356.0,,,,,0.0,0.0,15053.0
37.01,0.0,356.0,,,,,0.0,0.0,15978.5
38.01,0.0,356.0,,,,,0.0,0.0,17297.7
39.01,0.0,356.0,,,,,0.0,0.0,17682.3
40.01,0.0,356.0,,,,,0.0,0.0,18057.5
41.01,0.0,356.0,,,,,0.0,0.0,18404.3
42.01,0.0,356.0,,,,,0.0,0.0,18818.2
43.01,0.0,356.0,,,,,0.0,0.0,17684.2
44.01,0.0,356.0,,,,,0.0,0.0,18051.2
45.01,0.0,356.0,,,,,0.0,0.0,18398.1
46.01,0.0,356.0,,,,,0.0,0.0,18767.9
47.01,0.0,356.0,,,,,0.0,0.0,17663.0
48.01,0.0,356.0,,,,,0.0,0.0,18021.7
49.01,0.0,356.0,,,,,0.0,0.0,18381.8
50.01,0.0,356.0,,,,,0.0,0.0,18707.4
51.01,0.0,356.0,,,,,0.0,0.0,17634.4
52.01,0.0,356.0,,,,,0.0,0.0,17995.6
53.01,0.0,356.0,,,,,0.0,0.0,18365.4
54.01,0.0,356.0,,,,,0.0,0.0,18667.3
55.01,0.0,356.0,,,,,0.0,0.0,17625.7
56.01,0.0,356.0,,,,,0.0,0.0,17988.1
57.01,0.0,356.0,,,,,0.0,0.0,18350.3
58.01,0.0,356.0,,,,,0.0,0.0,18634.1
59.01,0.0,356.0,,,,,0.0,0.0,17609.3
60.01,0.0,356.0,,,,,0.0,0.0,17971.5
61.01,0.0,356.0,,,,,0.0,0.0,18331.8
62.01,0.0,356.0,,,,,0.0,0.0,18621.7
63.01,0.0,356.0,,,,,0.0,0.0,17604.8
64.01,0.0,356.0,,,,,0.0,0.0,17970.3
65.01,0.0,356.0,,,,,0.0,0.0,18192.7
66.01,0.0,356.0,,,,,0.0,0.0,18956.9
67.01,0.0,356.0,,,,,0.0,0.0,19457.4
68.01,0.0,356.0,,,,,0.0,0.0,19967.1
69.01,0.0,356.0,,,,,0.0,0.0,20562.7
70.01,0.0,356.0,,,,,0.0,0.0,20960.0
71.01,0.0,356.0,,,,,0.0,0.0,21438.9
72.01,0.0,356.0,,,,,0.0,0.0,21939.8
73.01,0.0,356.0,,,,,0.0,0.0,22439.9
74.01,0.0,356.0,,,,,0.0,0.0,22940.4
75.01,0.0,356.0,,,,,0.0,0.0,23475.1
76.01,0.0,356.0,,,,,0.0,0.0,24481.2
77.01,0.0,356.0,,,,,0.0,0.0,26070.1
78.01,0.0,356.0,,,,,0.0,0.0,27401.7
79.01,0.0,356.0,,,,,0.0,0.0,28485.6
80.01,0.0,356.0,,,,,0.0,0.0,28594.0
81.01,0.0,356.0,,,,,0.0,0.0,29046.6
82.01,0.0,356.0,,,,,0.0,0.0,29702.3
83.01,0.0,356.0,,,,,0.0,0.0,30269.7
84.01,0.0,356.0,,,,,0.0,0.0,30771.8
