t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2235.2
10.0,0.0,0.0,,,,,0.0,0.0,2235.2
11.0,0.0,0.0,,,,,0.0,0.0,2235.2
12.0,0.0,0.0,,,,,0.0,0.0,2235.2
13.0,0.0,0.0,,,,,0.0,0.0,2235.2
14.0,0.0,1.7,,,,,0.0,0.0,2236.0
15.0,0.0,1.7,,,,,0.0,0.0,2236.0
16.0,0.0,1.7,,,,,0.0,0.0,2236.0
17.0,0.0,1.7,,,,,0.0,0.0,2236.0
18.0,0.0,1.7,,,,,0.0,0.0,2236.0
19.0,0.0,1.7,,,,,0.0,0.0,2236.0
20.0,0.0,1.7,,,,,0.0,0.0,2236.0
21.0,0.0,1.7,,,,,0.0,0.0,2236.0
22.0,0.0,1.7,,,,,0.0,0.0,2236.0
23.0,0.0,3.4,,,,,0.0,0.0,2266.7
24.0,0.0,3.4,,,,,0.0,0.0,2266.7
25.0,0.0,163.6,,,,,0.0,0.0,2314.3
26.0,0.0,163.6,,,,,0.0,0.0,2690.7
27.0,0.0,163.6,,,,,0.0,0.0,3394.3
28.0,0.22,356.0,,,,,0.21,0.22,3626.9
29.0,0.0,356.0,,,,,0.0,0.0,4271.6
30.0,0.0,356.0,,,,,0.0,0.0,5060.5
31.0,0.0,356.0,,,,,0.0,0.0,5263.7
32.0,0.0,356.0,,,,,0.0,0.0,5999.6
33.0,0.0,356.0,,,,,0.0,0.0,6596.2
34.0,0.0,356.0,,,,,0.0,0.0,7222.4
35.0,0.0,356.0,,,,,0.0,0.0,7609.2
36.0,0.0,356.0,,,,,0.0,0.0,7973.5
37.01,0.0,356.0,,,,,0.0,0.0,8363.5
38.01,0.0,356.0,,,,,0.0,0.0,9417.8
39.01,0.01,356.3,,,,,0.01,0.01,5459.6
40.01,0.0,356.4,,,,,0.0,0.0,5496.4
41.01,0.0,356.4,,,,,0.0,0.0,5496.4
42.01,0.0,356.4,,,,,0.0,0.0,5497.0
43.01,0.0,356.4,,,,,0.0,0.0,5497.0
44.01,0.02,356.6,,,,,0.01,0.03,5541.0
45.01,0.0,356.7,,,,,0.0,0.0,5541.1
46.01,0.0,356.7,,,,,0.0,0.0,5543.4
47.01,0.0,356.7,,,,,0.0,0.0,5549.8
48.01,0.0,356.7,,,,,0.0,0.0,5551.6
49.01,0.0,356.7,,,,,0.0,0.0,5551.9
50.01,0.0,356.7,,,,,0.0,0.0,5554.1
51.01,50.01,356.7,,,,,100.0,0.01,5562.5
52.01,2.8,2547.9,,,,,5.59,0.01,5307.9
53.01,0.0,2547.9,,,,,0.0,0.0,5307.9
54.01,0.0,2548.3,,,,,0.0,0.0,5327.7
55.01,0.0,2548.3,,,,,0.0,0.0,5342.5
56.01,0.0,2548.3,,,,,0.0,0.0,5342.5
57.01,0.0,2548.3,,,,,0.0,0.0,5342.5
58.01,0.0,2548.7,,,,,0.0,0.0,5376.5
59.01,0.0,2548.7,,,,,0.0,0.0,5377.5
60.01,0.0,2548.7,,,,,0.0,0.0,5377.5
61.01,0.0,2548.7,,,,,0.0,0.0,5377.6
62.01,0.0,2548.7,,,,,0.0,0.0,5377.6
63.01,0.0,2548.7,,,,,0.0,0.0,5377.6
64.01,0.0,2548.7,,,,,0.0,0.0,5377.6
65.01,0.0,2548.7,,,,,0.0,0.0,5377.6
66.01,0.0,2548.7,,,,,0.0,0.0,5377.6
67.01,0.0,2548.7,,,,,0.0,0.0,5377.6
68.01,0.0,2548.7,,,,,0.0,0.0,5377.6
69.01,0.0,2548.7,,,,,0.0,0.0,5377.6
70.01,0.0,2548.7,,,,,0.0,0.0,5377.6
71.01,0.0,2548.7,,,,,0.0,0.0,5377.6
72.01,0.0,2548.7,,,,,0.0,0.0,5377.6
73.01,0.0,2548.7,,,,,0.0,0.0,5377.6
74.02,0.0,2548.7,,,,,0.0,0.0,5377.6
75.02,0.0,2548.7,,,,,0.0,0.0,5377.6
76.02,0.0,2548.7,,,,,0.0,0.0,5377.6
77.02,0.0,2548.7,,,,,0.0,0.0,5377.6
78.02,0.0,2548.7,,,,,0.0,0.0,5377.6
79.02,0.0,2548.7,,,,,0.0,0.0,5377.6
80.02,0.0,2548.7,,,,,0.0,0.0,5377.6
81.02,0.0,2548.7,,,,,0.0,0.0,5377.6
82.02,0.0,2548.7,,,,,0.0,0.0,5377.6
83.02,0.0,2548.7,,,,,0.0,0.0,5377.6
