t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2221.7
10.0,0.0,0.0,,,,,0.0,0.0,2221.7
11.0,0.0,0.0,,,,,0.0,0.0,2221.7
12.0,0.0,0.0,,,,,0.0,0.0,2221.7
13.0,0.0,0.0,,,,,0.0,0.0,2221.7
14.0,0.0,0.0,,,,,0.0,0.0,2221.7
15.0,0.0,0.0,,,,,0.0,0.0,2221.7
16.0,0.21,356.0,,,,,0.21,0.22,2363.9
17.0,0.0,356.0,,,,,0.0,0.0,2367.3
18.0,0.0,356.0,,,,,0.0,0.0,2713.0
19.0,0.0,356.0,,,,,0.0,0.0,2905.0
20.0,0.0,356.0,,,,,0.0,0.0,2830.8
21.0,0.0,356.0,,,,,0.0,0.0,2995.5
22.0,0.0,356.0,,,,,0.0,0.0,3029.3
23.0,0.0,356.0,,,,,0.0,0.0,2790.8
24.0,0.0,356.0,,,,,0.0,0.0,2790.8
25.0,0.0,356.0,,,,,0.0,0.0,2790.8
26.0,0.0,356.0,,,,,0.0,0.0,2790.8
27.0,0.0,356.0,,,,,0.0,0.0,2790.8
28.0,0.0,356.0,,,,,0.0,0.0,2790.8
29.0,0.0,356.0,,,,,0.0,0.0,2790.8
30.0,0.0,356.0,,,,,0.0,0.0,2790.8
31.0,0.0,356.0,,,,,0.0,0.0,2790.8
32.0,0.0,356.0,,,,,0.0,0.0,2790.8
33.0,0.0,356.0,,,,,0.0,0.0,2790.8
34.0,0.0,356.0,,,,,0.0,0.0,2790.8
35.01,0.0,356.0,,,,,0.0,0.0,2790.8
36.01,0.0,356.0,,,,,0.0,0.0,2790.8
37.01,0.0,356.0,,,,,0.0,0.0,2790.8
38.01,0.0,356.0,,,,,0.0,0.0,2790.8
39.01,0.0,356.0,,,,,0.0,0.0,2790.8
40.01,0.0,356.0,,,,,0.0,0.0,3487.9
41.01,0.0,356.0,,,,,0.0,0.0,4824.2
42.01,0.0,356.0,,,,,0.0,0.0,6162.5
43.01,0.0,356.0,,,,,0.0,0.0,7823.1
44.01,0.0,356.0,,,,,0.0,0.0,8329.6
45.01,0.0,356.0,,,,,0.0,0.0,9651.1
46.01,0.0,356.0,,,,,0.0,0.0,8952.7
47.01,0.0,356.0,,,,,0.0,0.0,8952.7
48.01,0.0,356.0,,,,,0.0,0.0,8952.7
49.01,0.0,356.0,,,,,0.0,0.0,10550.3
50.01,0.0,356.0,,,,,0.0,0.0,14203.6
51.01,0.03,356.7,,,,,0.02,0.04,8987.9
52.01,0.0,356.7,,,,,0.0,0.0,8987.9
53.01,0.0,356.7,,,,,0.0,0.0,9019.5
54.01,0.0,356.7,,,,,0.0,0.0,9019.5
55.01,0.0,356.7,,,,,0.0,0.0,9043.1
56.01,0.0,356.7,,,,,0.0,0.0,9050.6
57.01,0.0,356.7,,,,,0.0,0.0,9054.4
58.01,0.0,356.7,,,,,0.0,0.0,9058.8
59.01,0.0,356.7,,,,,0.0,0.0,9068.4
60.01,0.0,356.7,,,,,0.0,0.0,9069.3
61.01,0.0,356.7,,,,,0.0,0.0,9073.1
62.01,0.0,356.7,,,,,0.0,0.0,9069.1
63.01,0.0,356.7,,,,,0.0,0.0,9072.1
64.01,0.0,356.7,,,,,0.0,0.0,9075.4
65.01,0.0,356.7,,,,,0.0,0.0,9082.3
66.01,0.0,356.7,,,,,0.0,0.0,9089.9
67.01,0.0,356.7,,,,,0.0,0.0,9086.5
68.01,57.11,3638.7,,,,,14.21,100.0,9074.0
69.01,0.0,5577.7,,,,,0.0,0.0,8533.0
70.01,0.0,8881.7,,,,,0.0,0.0,8533.2
71.01,0.0,11389.6,,,,,0.0,0.0,8533.4
72.01,0.0,14477.7,,,,,0.0,0.0,8533.6
73.01,0.0,10203.4,,,,,0.0,0.0,8554.1
74.01,0.0,10203.4,,,,,0.0,0.0,3747.7
75.01,0.0,10203.4,,,,,0.0,0.0,3747.8
76.01,0.0,10203.4,,,,,0.0,0.0,3811.7
77.01,0.0,10203.4,,,,,0.0,0.0,3911.8
78.01,0.0,10203.4,,,,,0.0,0.0,3911.8
79.02,0.0,10203.4,,,,,0.0,0.0,3911.8
80.02,0.0,10203.4,,,,,0.0,0.0,3911.8
81.02,0.0,10203.4,,,,,0.0,0.0,3911.8
82.02,0.0,10203.4,,,,,0.0,0.0,3870.9
83.02,0.0,10203.4,,,,,0.0,0.0,3870.9
