t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2234.7
10.0,0.0,0.0,,,,,0.0,0.0,2234.7
11.0,0.0,0.0,,,,,0.0,0.0,2234.7
12.0,0.0,0.0,,,,,0.0,0.0,2234.7
13.0,0.0,0.0,,,,,0.0,0.0,2234.7
14.0,0.0,0.0,,,,,0.0,0.0,2234.7
15.0,0.0,1.7,,,,,0.0,0.0,2235.5
16.0,0.0,1.7,,,,,0.0,0.0,2235.5
17.0,0.0,1.7,,,,,0.0,0.0,2235.5
18.0,0.0,1.7,,,,,0.0,0.0,2235.5
19.0,0.0,1.7,,,,,0.0,0.0,2235.5
20.0,0.0,1.7,,,,,0.0,0.0,2235.5
21.0,0.0,1.7,,,,,0.0,0.0,2235.5
22.0,0.0,1.7,,,,,0.0,0.0,2235.5
23.0,0.21,356.0,,,,,0.21,0.21,2372.1
24.0,0.0,356.0,,,,,0.0,0.0,3199.2
25.0,0.0,356.0,,,,,0.0,0.0,4522.0
26.0,0.0,356.0,,,,,0.0,0.0,4859.8
27.0,0.0,356.0,,,,,0.0,0.0,5121.1
28.0,0.0,356.0,,,,,0.0,0.0,5410.5
29.0,0.0,356.0,,,,,0.0,0.0,9094.7
30.0,0.02,356.7,,,,,0.02,0.02,5540.3
31.0,0.0,356.7,,,,,0.0,0.0,5544.7
32.0,3.45,563.7,,,,,5.05,1.85,5467.7
33.0,0.0,4036.1,,,,,0.0,0.0,5393.5
34.01,0.0,6379.1,,,,,0.0,0.0,5437.6
35.01,0.0,8263.8,,,,,0.0,0.0,5393.8
36.01,0.0,10465.8,,,,,0.0,0.0,5494.9
37.01,0.0,6652.6,,,,,0.0,0.0,5451.3
38.01,0.0,6652.6,,,,,0.0,0.0,5451.6
39.01,0.0,6652.6,,,,,0.0,0.0,5451.7
40.01,0.0,6652.6,,,,,0.0,0.0,5451.7
41.01,0.0,6652.6,,,,,0.0,0.0,5451.7
42.01,0.0,6652.6,,,,,0.0,0.0,5451.7
43.01,0.0,6652.6,,,,,0.0,0.0,5451.7
44.01,0.0,6652.6,,,,,0.0,0.0,5451.7
45.01,0.0,6652.6,,,,,0.0,0.0,5451.7
46.01,0.0,6652.6,,,,,0.0,0.0,5451.7
47.01,0.0,6652.6,,,,,0.0,0.0,5451.7
48.01,0.0,6652.6,,,,,0.0,0.0,5451.7
49.01,0.0,6652.6,,,,,0.0,0.0,5451.7
50.01,0.0,6652.6,,,,,0.0,0.0,5451.7
51.01,0.0,6652.6,,,,,0.0,0.0,5451.7
52.01,0.0,6652.6,,,,,0.0,0.0,5451.7
53.01,0.0,6652.6,,,,,0.0,0.0,5451.7
54.01,0.0,6652.6,,,,,0.0,0.0,5451.7
55.01,0.0,6652.6,,,,,0.0,0.0,5451.7
56.01,0.0,6652.6,,,,,0.0,0.0,5451.7
57.01,0.0,6652.6,,,,,0.0,0.0,5451.7
58.01,0.0,6652.6,,,,,0.0,0.0,5451.7
59.01,0.0,6652.6,,,,,0.0,0.0,5451.7
60.01,0.0,6652.6,,,,,0.0,0.0,5451.7
61.01,0.0,6652.6,,,,,0.0,0.0,5451.7
62.01,0.0,6652.6,,,,,0.0,0.0,5451.7
63.01,0.0,6652.6,,,,,0.0,0.0,5451.7
64.01,0.0,6652.6,,,,,0.0,0.0,5451.7
65.01,0.0,6652.6,,,,,0.0,0.0,5451.7
66.01,0.0,6652.6,,,,,0.0,0.0,5451.7
67.02,0.0,6652.6,,,,,0.0,0.0,5451.7
68.02,0.0,6652.6,,,,,0.0,0.0,5451.7
69.02,0.0,6652.6,,,,,0.0,0.0,5451.7
70.02,0.0,6652.6,,,,,0.0,0.0,5451.7
71.02,0.0,6652.6,,,,,0.0,0.0,5451.7
72.02,0.0,6652.6,,,,,0.0,0.0,5451.7
73.02,0.0,6652.6,,,,,0.0,0.0,5451.7
74.02,0.0,6652.6,,,,,0.0,0.0,5451.7
75.02,0.0,6652.6,,,,,0.0,0.0,5451.7
76.02,0.0,6652.6,,,,,0.0,0.0,5451.7
77.02,0.0,6652.6,,,,,0.0,0.0,5451.7
78.02,0.0,6652.6,,,,,0.0,0.0,5451.7
79.02,0.0,6652.6,,,,,0.0,0.0,5451.7
80.02,0.0,6652.6,,,,,0.0,0.0,5451.7
81.02,0.0,6652.6,,,,,0.0,0.0,5451.7
82.02,0.0,6652.6,,,,,0.0,0.0,5451.7
