t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2203.9
15.0,0.0,0.0,,,,,0.0,0.0,2203.9
16.0,0.0,0.0,,,,,0.0,0.0,2203.9
17.0,0.0,0.0,,,,,0.0,0.0,2203.9
18.0,0.0,0.0,,,,,0.0,0.0,2203.9
19.0,0.0,3.4,,,,,0.0,0.0,2208.4
20.0,0.22,356.0,,,,,0.22,0.21,2345.4
21.0,0.0,356.0,,,,,0.0,0.0,2376.0
22.0,0.0,356.0,,,,,0.0,0.0,2865.5
23.0,0.0,356.0,,,,,0.0,0.0,3252.7
24.01,0.0,356.0,,,,,0.0,0.0,3288.3
25.01,0.0,356.0,,,,,0.0,0.0,3522.1
26.01,0.0,356.0,,,,,0.0,0.0,4224.1
27.01,0.0,356.0,,,,,0.0,0.0,5344.3
28.01,0.0,356.0,,,,,0.0,0.0,6877.0
29.02,0.0,356.0,,,,,0.0,0.0,8172.4
30.02,0.0,356.0,,,,,0.0,0.0,9817.7
31.02,0.0,356.0,,,,,0.0,0.0,9995.5
32.02,0.0,356.0,,,,,0.0,0.0,10204.7
33.02,0.0,356.0,,,,,0.0,0.0,10029.6
34.02,0.0,356.0,,,,,0.0,0.0,10251.4
35.02,0.0,356.0,,,,,0.0,0.0,10251.4
36.02,0.0,356.0,,,,,0.0,0.0,10251.4
37.02,0.0,356.0,,,,,0.0,0.0,10154.4
38.02,0.0,356.0,,,,,0.0,0.0,10251.5
39.02,0.0,356.0,,,,,0.0,0.0,10251.5
40.02,0.0,356.0,,,,,0.0,0.0,10251.5
41.02,0.0,356.0,,,,,0.0,0.0,10255.8
42.02,0.0,356.0,,,,,0.0,0.0,10258.3
43.02,0.0,356.0,,,,,0.0,0.0,9941.1
44.02,0.0,356.0,,,,,0.0,0.0,10280.3
45.02,0.0,356.0,,,,,0.0,0.0,10280.3
46.02,0.0,356.0,,,,,0.0,0.0,10280.3
47.02,0.0,356.0,,,,,0.0,0.0,10280.3
48.02,0.0,356.0,,,,,0.0,0.0,10280.3
49.02,0.0,356.0,,,,,0.0,0.0,10280.3
50.02,0.0,356.0,,,,,0.0,0.0,10280.3
51.02,0.0,356.0,,,,,0.0,0.0,10280.3
52.02,0.0,356.0,,,,,0.0,0.0,10280.3
53.02,0.0,356.0,,,,,0.0,0.0,10280.3
54.02,0.0,356.0,,,,,0.0,0.0,10280.3
55.02,0.0,356.0,,,,,0.0,0.0,10280.3
56.02,0.0,356.0,,,,,0.0,0.0,10280.3
57.02,0.0,356.0,,,,,0.0,0.0,9383.8
58.02,0.0,356.0,,,,,0.0,0.0,9776.8
59.03,0.0,356.0,,,,,0.0,0.0,10340.0
60.03,0.0,356.0,,,,,0.0,0.0,10353.5
61.03,0.0,356.0,,,,,0.0,0.0,10353.5
62.03,0.0,356.0,,,,,0.0,0.0,10336.0
63.03,0.0,356.0,,,,,0.0,0.0,10382.2
64.03,0.0,356.0,,,,,0.0,0.0,10354.3
65.03,0.0,356.0,,,,,0.0,0.0,10145.0
66.03,0.0,356.0,,,,,0.0,0.0,10397.4
67.03,0.0,356.0,,,,,0.0,0.0,9789.8
68.03,0.0,356.0,,,,,0.0,0.0,10241.4
69.03,0.0,356.0,,,,,0.0,0.0,10415.5
70.03,0.0,356.0,,,,,0.0,0.0,10415.5
71.03,0.0,356.0,,,,,0.0,0.0,10117.7
72.03,0.0,356.0,,,,,0.0,0.0,10429.9
73.03,0.0,356.0,,,,,0.0,0.0,10429.9
74.03,0.0,356.0,,,,,0.0,0.0,10429.9
75.03,0.0,356.0,,,,,0.0,0.0,10021.7
76.03,0.0,356.0,,,,,0.0,0.0,10404.2
77.03,0.0,356.0,,,,,0.0,0.0,10404.2
78.03,0.0,356.0,,,,,0.0,0.0,10460.6
79.03,0.0,356.0,,,,,0.0,0.0,10382.6
80.03,0.0,356.0,,,,,0.0,0.0,10534.0
81.03,0.0,356.0,,,,,0.0,0.0,10557.5
82.03,0.0,356.0,,,,,0.0,0.0,10557.5
83.03,0.0,356.0,,,,,0.0,0.0,10557.5
84.03,0.0,356.0,,,,,0.0,0.0,10571.8
