t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,host_mem_used_mib
0.0,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0
20.0,0.0,0.0,,,,,0.0,1114.0
21.0,0.0,0.0,,,,,0.0,1114.0
22.0,0.0,0.0,,,,,0.0,1114.0
23.0,0.0,0.0,,,,,0.0,1114.0
24.0,0.0,1.7,,,,,0.0,1128.9
25.0,0.0,1.7,,,,,0.0,1128.9
26.0,0.0,1.7,,,,,0.0,1128.9
27.0,0.11,161.9,,,,,0.21,1231.6
28.0,0.0,161.9,,,,,0.0,3277.4
29.0,0.0,161.9,,,,,0.0,3366.6
30.0,0.0,161.9,,,,,0.0,3268.4
31.0,0.0,161.9,,,,,0.0,3321.2
32.0,0.0,161.9,,,,,0.0,4242.2
33.0,0.0,161.9,,,,,0.0,4748.1
34.01,0.0,161.9,,,,,0.0,5251.6
35.01,0.0,161.9,,,,,0.0,5756.3
36.01,0.0,161.9,,,,,0.0,6272.9
37.01,0.0,161.9,,,,,0.0,6776.2
38.01,0.0,161.9,,,,,0.0,7283.6
39.01,0.0,178.0,,,,,0.01,3281.3
40.01,0.0,178.0,,,,,0.0,3281.3
41.01,0.0,178.0,,,,,0.0,3281.7
42.01,0.0,178.1,,,,,0.0,3282.4
43.01,0.0,178.1,,,,,0.0,3283.3
44.01,0.0,178.1,,,,,0.0,3304.7
45.01,0.0,178.1,,,,,0.01,3360.9
46.01,0.0,2344.3,,,,,0.0,2161.6
47.01,0.0,2344.3,,,,,0.0,2161.6
48.01,0.0,2344.7,,,,,0.0,2192.8
49.01,0.0,2344.7,,,,,0.0,2194.2
50.01,0.0,2344.7,,,,,0.0,2194.2
51.01,0.0,2344.7,,,,,0.0,2194.2
52.01,0.0,2344.7,,,,,0.0,2194.2
53.01,0.0,2344.7,,,,,0.0,2194.2
54.01,0.0,2344.7,,,,,0.0,2194.2
55.01,0.0,2344.7,,,,,0.0,2194.2
56.01,0.0,2344.7,,,,,0.0,2194.2
57.01,0.0,2344.7,,,,,0.0,2194.2
58.01,0.0,2344.7,,,,,0.0,2194.2
59.01,0.0,2344.7,,,,,0.0,2194.2
60.01,0.0,2344.7,,,,,0.0,2194.2
61.01,0.0,2344.7,,,,,0.0,2194.2
62.01,0.0,2344.7,,,,,0.0,2194.2
63.01,0.0,2344.7,,,,,0.0,2194.2
64.01,0.0,2344.7,,,,,0.0,2194.2
65.01,0.0,2344.7,,,,,0.0,2194.2
66.01,0.0,2344.7,,,,,0.0,2194.2
67.01,0.0,2344.7,,,,,0.0,2194.2
68.01,0.0,2344.7,,,,,0.0,2194.2
69.01,0.0,2344.7,,,,,0.0,2194.2
70.01,0.0,2344.7,,,,,0.0,2194.2
71.01,0.0,2344.7,,,,,0.0,2194.2
72.01,0.0,2344.7,,,,,0.0,2194.2
73.01,0.0,2344.7,,,,,0.0,2194.2
74.01,0.0,2344.7,,,,,0.0,2194.2
75.01,0.0,2344.7,,,,,0.0,2194.2
76.01,0.0,2344.7,,,,,0.0,2194.2
77.01,0.0,2344.7,,,,,0.0,2194.2
78.01,0.0,2344.7,,,,,0.0,2194.2
79.01,0.0,2344.7,,,,,0.0,2194.2
80.01,0.0,2344.7,,,,,0.0,2194.2
81.01,0.0,2344.7,,,,,0.0,2194.2
82.01,0.0,2344.7,,,,,0.0,2194.2
83.01,0.0,2344.7,,,,,0.0,2194.2
84.01,0.0,2344.7,,,,,0.0,2194.2
85.01,0.0,2344.7,,,,,0.0,2194.2
86.01,0.0,2344.7,,,,,0.0,2194.2
87.02,0.0,2344.7,,,,,0.0,2194.2
88.02,0.0,2344.7,,,,,0.0,2194.2
89.02,0.0,2344.7,,,,,0.0,2194.2
90.02,0.0,2344.7,,,,,0.0,2194.2
91.02,0.0,2344.7,,,,,0.0,2194.2
92.02,0.0,2344.7,,,,,0.0,2194.2
93.02,0.0,2344.7,,,,,0.0,2194.2
94.02,0.0,2344.7,,,,,0.0,2194.2
95.02,0.0,2344.7,,,,,0.0,2194.2
96.02,0.0,2344.7,,,,,0.0,2194.2
97.02,0.0,2344.7,,,,,0.0,2194.2
98.02,0.0,2344.7,,,,,0.0,2194.2
99.02,0.0,2344.7,,,,,0.0,2194.2
100.02,0.0,2344.7,,,,,0.0,2194.2
101.02,0.0,2344.7,,,,,0.0,2194.2
102.02,0.0,2344.7,,,,,0.0,2194.2
103.02,0.0,2344.7,,,,,0.0,2194.2
104.02,0.0,2344.7,,,,,0.0,2194.2
105.02,0.0,2344.7,,,,,0.0,2194.2
106.02,0.0,2344.7,,,,,0.0,2194.2
107.02,0.0,2344.7,,,,,0.0,2194.2
108.02,0.0,2344.7,,,,,0.0,2194.2
109.02,0.0,2344.7,,,,,0.0,2194.2
110.02,0.0,2344.7,,,,,0.0,2194.2
111.02,0.0,2344.7,,,,,0.0,2194.2
112.02,0.0,2344.7,,,,,0.0,2194.2
113.02,0.0,2344.7,,,,,0.0,2194.2
114.02,0.0,2344.7,,,,,0.0,2194.2
115.02,0.0,2344.7,,,,,0.0,2194.2
116.02,0.0,2344.7,,,,,0.0,2194.2
117.02,0.0,2344.7,,,,,0.0,2194.2
118.02,0.0,2344.7,,,,,0.0,2194.2
119.02,0.0,2344.7,,,,,0.0,2194.2
120.02,0.0,2344.7,,,,,0.0,2194.2
121.02,0.0,2344.7,,,,,0.0,2194.2
122.02,0.0,2344.7,,,,,0.0,2194.2
123.02,0.0,2344.7,,,,,0.0,2194.2
124.02,0.0,2344.7,,,,,0.0,2194.2
125.02,0.0,2344.7,,,,,0.0,2194.2
126.02,0.0,2344.7,,,,,0.0,2194.2
127.02,0.0,2344.7,,,,,0.0,2194.2
128.02,0.0,2344.7,,,,,0.0,2194.2
129.02,0.0,2344.7,,,,,0.0,2194.2
130.02,0.0,2344.7,,,,,0.0,2194.2
131.02,0.0,2344.7,,,,,0.0,2194.2
132.02,0.0,2344.7,,,,,0.0,2194.2
133.02,0.0,2344.7,,,,,0.0,2194.2
134.02,0.0,2344.7,,,,,0.0,2194.2
135.02,0.0,2344.7,,,,,0.0,2194.2
136.02,0.0,2344.7,,,,,0.0,2194.2
137.02,0.0,2344.7,,,,,0.0,2194.2
138.02,0.0,2344.7,,,,,0.0,2194.2
139.02,0.0,2344.7,,,,,0.0,2194.2
140.03,0.0,2344.7,,,,,0.0,2194.2
141.03,0.0,2344.7,,,,,0.0,2194.2
142.03,0.0,2344.7,,,,,0.0,2194.2
143.03,0.0,2344.7,,,,,0.0,2194.2
144.03,0.0,2344.7,,,,,0.0,2194.2
145.03,0.0,2344.7,,,,,0.0,2194.2
146.03,0.0,2344.7,,,,,0.0,2194.2
147.03,0.0,2344.7,,,,,0.0,2194.2
148.03,0.0,2344.7,,,,,0.0,2194.2
149.03,0.0,2344.7,,,,,0.0,2194.2
150.03,0.0,2344.7,,,,,0.0,2194.2
151.03,0.0,2344.7,,,,,0.0,2194.2
152.03,0.0,2344.7,,,,,0.0,2194.2
153.03,0.0,2344.7,,,,,0.0,2194.2
154.03,0.0,2344.7,,,,,0.0,2194.2
155.03,0.0,2344.7,,,,,0.0,2194.2
156.03,0.0,2344.7,,,,,0.0,2194.2
157.03,0.0,2344.7,,,,,0.0,2194.2
158.03,0.0,2344.7,,,,,0.0,2194.2
159.03,0.0,2344.7,,,,,0.0,2194.2
160.03,0.0,2344.7,,,,,0.0,2194.2
161.03,0.0,2344.7,,,,,0.0,2194.2
162.03,0.0,2344.7,,,,,0.0,2194.2
163.03,0.0,2344.7,,,,,0.0,1834.3
164.03,0.0,2344.7,,,,,0.0,2591.5
165.03,0.0,3601.4,,,,,0.0,2656.6
166.03,0.0,3695.9,,,,,0.0,2536.5
167.03,28.96,3741.3,,,,,57.92,2055.7
168.03,0.0,3741.3,,,,,0.0,2055.8
169.03,0.0,3741.3,,,,,0.0,2088.9
170.03,0.0,3741.3,,,,,0.0,2111.1
171.03,0.0,3741.3,,,,,0.0,2111.1
172.03,0.0,3741.3,,,,,0.0,2111.1
173.03,0.0,3741.3,,,,,0.0,2111.1
174.03,0.0,3741.3,,,,,0.0,2111.1
175.03,0.0,3741.3,,,,,0.0,2111.1
176.03,0.0,3741.3,,,,,0.0,2111.1
177.03,0.0,3741.3,,,,,0.0,2111.1
178.03,0.0,3741.3,,,,,0.0,2111.1
179.03,0.0,3741.3,,,,,0.0,2111.1
180.03,0.0,3741.3,,,,,0.0,2111.1
181.03,0.0,3741.3,,,,,0.0,2111.1
182.03,0.0,3741.3,,,,,0.0,2111.1
183.03,0.0,3741.3,,,,,0.0,2111.1
184.03,0.0,3741.3,,,,,0.0,2111.1
185.03,0.0,3741.3,,,,,0.0,2111.1
186.03,0.0,3741.3,,,,,0.0,2111.1
187.03,0.0,3741.3,,,,,0.0,2111.1
188.03,0.0,3741.3,,,,,0.0,2111.1
189.03,0.0,3741.3,,,,,0.0,2111.1
190.03,0.0,3741.3,,,,,0.0,2111.1
191.03,0.0,3741.3,,,,,0.0,2111.1
192.03,0.0,3741.3,,,,,0.0,2111.1
193.03,0.0,3741.3,,,,,0.0,2111.1
194.03,0.0,3741.3,,,,,0.0,2111.1
195.03,0.0,3741.3,,,,,0.0,2111.1
196.03,0.0,3741.3,,,,,0.0,2111.1
197.03,0.0,3741.3,,,,,0.0,2111.1
198.03,0.0,3741.3,,,,,0.0,2111.1
199.03,0.0,3741.3,,,,,0.0,2111.1
200.04,0.0,3741.3,,,,,0.0,2111.1
201.04,0.0,3741.3,,,,,0.0,2111.1
202.04,0.0,3741.3,,,,,0.0,2111.1
203.04,0.0,3741.3,,,,,0.0,2111.1
204.04,0.0,3741.3,,,,,0.0,2111.1
205.04,0.0,3741.3,,,,,0.0,2111.1
206.04,0.0,3741.3,,,,,0.0,2111.1
207.04,0.0,3741.3,,,,,0.0,2111.1
208.04,0.0,3741.3,,,,,0.0,2111.1
209.04,0.0,3741.3,,,,,0.0,2111.1
210.04,0.0,3741.3,,,,,0.0,2111.1
211.04,0.0,3741.3,,,,,0.0,2111.1
212.04,0.0,3741.3,,,,,0.0,2111.1
213.04,0.0,3741.3,,,,,0.0,2111.1
214.04,0.0,3741.3,,,,,0.0,2111.1
215.04,0.0,3741.3,,,,,0.0,2111.1
216.04,0.0,3741.3,,,,,0.0,2111.1
217.04,0.0,3741.3,,,,,0.0,2111.1
218.04,0.0,3741.3,,,,,0.0,2111.1
219.04,0.0,3741.3,,,,,0.0,2111.1
220.04,0.0,3741.3,,,,,0.0,2111.1
221.04,0.0,3741.3,,,,,0.0,2111.1
222.04,0.0,3741.3,,,,,0.0,2111.1
223.04,0.0,3741.3,,,,,0.0,2111.1
224.04,0.0,3741.3,,,,,0.0,2111.1
225.04,0.0,3741.3,,,,,0.0,2111.1
226.04,0.0,3741.3,,,,,0.0,2111.1
227.04,0.0,3741.3,,,,,0.0,2111.1
228.04,0.0,3741.3,,,,,0.0,2111.1
229.04,0.0,3741.3,,,,,0.0,2111.1
230.04,0.0,3741.3,,,,,0.0,2111.1
231.04,0.0,3741.3,,,,,0.0,2111.1
232.04,0.0,3741.3,,,,,0.0,2111.1
233.04,0.0,3741.3,,,,,0.0,2111.1
234.04,0.0,3741.3,,,,,0.0,2111.1
235.04,0.0,3741.3,,,,,0.0,2111.1
236.04,0.0,3741.3,,,,,0.0,2111.1
237.04,0.0,3741.3,,,,,0.0,2111.1
238.04,0.0,3741.3,,,,,0.0,2111.1
239.04,0.0,3741.3,,,,,0.0,2111.1
240.04,0.0,3741.3,,,,,0.0,2111.1
241.04,0.0,3741.3,,,,,0.0,2111.1
242.04,0.0,3741.3,,,,,0.0,2111.1
