t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,host_mem_used_mib
0.0,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0
9.0,0.0,0.0,,,,,0.0,1121.4
10.0,0.0,0.0,,,,,0.0,1121.4
11.0,0.0,0.0,,,,,0.0,1121.4
12.0,0.0,0.0,,,,,0.0,1121.4
13.0,0.0,0.0,,,,,0.0,1121.4
14.0,0.0,0.0,,,,,0.0,1121.4
15.0,0.0,0.0,,,,,0.0,1121.4
16.0,0.11,161.9,,,,,0.21,1147.2
17.0,0.0,161.9,,,,,0.0,3280.9
18.0,0.0,161.9,,,,,0.0,3323.3
19.0,0.0,161.9,,,,,0.0,3246.0
20.0,0.0,161.9,,,,,0.0,3724.5
21.0,0.0,178.0,,,,,0.01,3287.9
22.0,0.0,178.1,,,,,0.0,3310.8
23.0,0.0,178.1,,,,,0.0,3314.4
24.0,0.0,2384.0,,,,,0.01,2218.4
25.0,0.0,2344.7,,,,,0.0,2251.1
26.0,0.0,2344.7,,,,,0.0,2251.3
27.0,0.0,2344.7,,,,,0.0,2251.3
28.0,0.0,2344.7,,,,,0.0,1706.4
29.0,0.0,2344.7,,,,,0.0,2552.3
30.0,0.0,3598.3,,,,,0.0,2656.1
31.0,0.0,3695.9,,,,,0.0,2480.5
32.0,28.95,3741.3,,,,,57.9,2035.3
33.0,0.0,3741.3,,,,,0.0,2062.6
34.0,0.0,3741.3,,,,,0.0,2095.1
35.01,0.0,3741.3,,,,,0.0,2258.2
36.01,0.0,3741.3,,,,,0.0,3155.8
37.01,0.0,3765.6,,,,,0.0,3352.8
38.01,0.0,3818.4,,,,,0.0,3352.9
39.01,0.0,3931.4,,,,,0.0,2533.9
40.01,50.0,3931.4,,,,,100.0,2534.1
41.01,50.0,3955.9,,,,,100.0,2535.4
42.01,50.0,3912.7,,,,,100.0,2743.7
43.01,28.2,4003.5,,,,,56.4,2653.7
44.01,50.0,4028.1,,,,,100.0,2653.8
45.01,27.96,4052.6,,,,,55.92,2651.5
46.01,50.0,4052.6,,,,,100.0,2744.9
47.01,50.0,4035.5,,,,,100.0,2977.7
48.01,28.29,4012.8,,,,,56.58,2802.7
49.01,50.0,4037.3,,,,,100.0,2801.8
50.01,50.0,4061.9,,,,,100.0,2806.5
51.01,27.97,4084.7,,,,,55.94,2809.8
52.01,50.0,4035.5,,,,,100.0,2809.9
53.01,28.26,4037.3,,,,,56.53,2807.1
54.01,50.0,4037.3,,,,,100.0,2804.0
55.01,50.0,4061.9,,,,,100.0,2802.2
56.01,50.0,4060.1,,,,,100.0,2810.5
57.01,27.97,4035.5,,,,,55.94,2810.5
58.01,28.3,4037.3,,,,,56.61,2808.0
59.01,50.0,4061.9,,,,,100.0,2808.3
60.01,50.0,4061.9,,,,,100.0,2804.9
61.01,50.0,4060.1,,,,,100.0,2811.2
62.01,50.0,4012.7,,,,,100.0,2811.3
63.01,27.94,4012.8,,,,,55.89,2805.4
64.01,50.0,4037.3,,,,,100.0,2809.1
65.01,27.98,4086.4,,,,,55.96,2809.2
66.01,50.0,4060.1,,,,,100.0,2811.8
67.01,50.0,4012.7,,,,,100.0,2812.0
68.01,27.97,4037.3,,,,,55.94,2809.4
69.01,50.0,4037.3,,,,,100.0,2809.8
70.01,50.0,4084.7,,,,,100.0,2812.5
71.01,27.95,4060.1,,,,,55.91,2812.6
72.01,50.0,4012.7,,,,,100.0,2812.7
73.01,27.98,4037.3,,,,,55.96,2806.3
74.01,50.0,4061.9,,,,,100.0,2804.1
75.01,50.0,4084.7,,,,,100.0,2813.3
76.01,50.0,4035.5,,,,,100.0,2813.4
77.01,28.29,4012.8,,,,,56.58,2804.4
78.01,27.96,4037.3,,,,,55.93,2809.3
79.01,50.0,4061.9,,,,,100.0,2807.2
80.01,50.0,4084.7,,,,,100.0,2813.7
81.01,50.0,4035.5,,,,,100.0,2813.8
82.01,28.3,4012.8,,,,,56.59,2807.0
83.01,50.0,4037.3,,,,,100.0,2811.6
84.01,50.0,4061.9,,,,,100.0,2811.6
85.01,27.94,4084.7,,,,,55.87,2814.0
86.01,50.0,4035.5,,,,,100.0,2814.1
87.01,28.29,4037.3,,,,,56.58,2811.5
88.01,50.0,4037.3,,,,,100.0,2807.6
89.01,50.0,4061.9,,,,,100.0,2812.1
90.01,50.0,4060.1,,,,,100.0,2814.6
91.01,27.96,4035.5,,,,,55.93,2814.6
92.01,28.31,4037.3,,,,,56.62,2812.2
93.01,50.0,4037.3,,,,,100.0,2811.9
94.01,50.0,4061.9,,,,,100.0,2812.6
95.01,50.0,4060.1,,,,,100.0,2815.0
96.01,50.0,4012.7,,,,,100.0,2815.1
97.02,27.96,4012.8,,,,,55.93,2812.6
98.02,27.96,4061.9,,,,,55.93,2813.0
99.02,50.0,4061.9,,,,,100.0,2812.5
100.02,50.0,4060.1,,,,,100.0,2815.5
101.02,50.0,4012.7,,,,,100.0,2808.1
102.02,27.96,4037.3,,,,,55.92,2813.2
103.02,50.0,4037.3,,,,,100.0,2810.4
104.02,50.0,4084.6,,,,,100.0,2815.3
105.02,27.97,4060.1,,,,,55.94,2815.9
106.02,50.0,4012.7,,,,,100.0,2810.5
107.02,27.97,4037.3,,,,,55.94,2808.6
108.02,50.0,4061.9,,,,,100.0,2813.8
109.02,50.0,4084.7,,,,,100.0,2816.3
110.02,50.0,4035.5,,,,,100.0,2816.4
111.02,28.28,4012.8,,,,,56.56,2814.0
112.02,27.96,4037.3,,,,,55.91,2811.0
113.02,50.0,4061.9,,,,,100.0,2814.4
114.02,50.0,4084.7,,,,,100.0,2816.7
115.02,50.0,4035.5,,,,,100.0,2816.8
116.02,28.31,4012.8,,,,,56.63,2814.5
117.02,50.0,4037.3,,,,,100.0,2814.8
118.02,27.96,4061.9,,,,,55.92,2812.2
119.02,50.0,4084.7,,,,,100.0,2817.0
120.02,50.0,4035.5,,,,,100.0,2817.1
121.02,28.28,4012.8,,,,,56.56,2813.1
122.02,50.0,4037.3,,,,,100.0,2814.9
123.02,50.0,4061.9,,,,,100.0,2815.3
124.02,27.96,4084.7,,,,,55.92,2817.4
125.02,50.0,4035.5,,,,,100.0,2817.5
126.02,28.29,4037.3,,,,,56.58,2808.8
127.02,50.0,4037.3,,,,,100.0,2814.1
128.02,50.0,4061.9,,,,,100.0,2811.3
129.02,50.0,4060.1,,,,,100.0,2818.0
130.02,50.0,4012.7,,,,,100.0,2818.0
131.02,27.96,4012.8,,,,,55.93,2811.9
132.02,27.96,4061.9,,,,,55.92,2809.8
133.02,50.0,4061.9,,,,,100.0,2814.6
134.02,50.0,4060.1,,,,,100.0,2818.1
135.02,50.0,4012.7,,,,,100.0,2809.6
136.02,27.98,4037.3,,,,,55.97,2815.6
137.02,50.0,4037.3,,,,,100.0,2811.4
138.02,27.97,4109.1,,,,,55.93,2817.4
139.02,50.0,4060.1,,,,,100.0,2818.6
140.02,50.0,4012.7,,,,,100.0,2811.8
141.02,27.97,4037.3,,,,,55.94,2816.3
142.02,50.0,4061.9,,,,,100.0,2816.6
143.02,50.0,4084.7,,,,,100.0,2818.9
144.02,27.96,4060.1,,,,,55.92,2819.0
145.02,50.0,4012.8,,,,,100.0,2816.6
146.02,27.97,4037.3,,,,,55.93,2816.8
147.02,50.0,4061.9,,,,,100.0,2817.1
148.02,50.0,4084.7,,,,,100.0,2819.2
149.02,50.0,4035.5,,,,,100.0,2819.3
150.02,28.3,4012.8,,,,,56.59,2817.0
151.02,50.0,4037.3,,,,,100.0,2809.8
152.02,27.96,4061.9,,,,,55.93,2813.9
153.02,50.0,4084.7,,,,,100.0,2819.5
154.02,50.0,4035.5,,,,,100.0,2819.6
155.02,28.26,4012.8,,,,,56.53,2814.1
156.02,50.0,4037.3,,,,,100.0,2812.2
157.02,50.0,4061.9,,,,,100.0,2817.5
158.02,27.96,4084.7,,,,,55.93,2819.7
159.02,50.0,4035.5,,,,,100.0,2819.8
160.02,28.32,4037.3,,,,,56.64,2817.4
161.02,50.0,4037.3,,,,,100.0,2814.0
162.02,50.0,4061.9,,,,,100.0,2818.0
163.02,50.0,4060.1,,,,,100.0,2820.2
164.03,27.96,4035.5,,,,,55.93,2820.2
165.03,50.0,4012.8,,,,,100.0,2817.9
166.03,27.97,4061.9,,,,,55.94,2818.3
167.03,50.0,4061.9,,,,,100.0,2814.4
168.03,50.0,4060.1,,,,,100.0,2820.6
169.03,50.0,4012.7,,,,,100.0,2820.7
170.03,27.95,4012.8,,,,,55.91,2816.0
171.03,50.0,4037.3,,,,,100.0,2818.8
172.03,27.96,4109.1,,,,,55.92,2819.9
173.03,50.0,4060.1,,,,,100.0,2820.9
174.03,50.0,4012.7,,,,,100.0,2821.2
175.03,27.96,4037.3,,,,,55.93,2818.7
176.03,50.0,4037.3,,,,,100.0,2817.4
177.03,50.0,4084.7,,,,,100.0,2821.2
178.03,27.94,4060.1,,,,,55.88,2821.2
179.03,50.0,3988.2,,,,,100.0,2818.0
180.03,27.96,4037.3,,,,,55.92,2814.7
181.03,50.0,4061.9,,,,,100.0,2812.6
182.03,50.0,4084.7,,,,,100.0,2821.3
183.03,50.0,4035.5,,,,,100.0,2821.4
184.03,28.29,4012.8,,,,,56.58,2812.2
185.03,50.0,4012.8,,,,,100.0,2818.7
186.03,27.96,4061.9,,,,,55.92,2814.4
187.03,50.0,4084.7,,,,,100.0,2821.6
188.03,50.0,4035.5,,,,,100.0,2821.7
189.03,28.29,4012.8,,,,,56.58,2814.9
190.03,50.0,4037.3,,,,,100.0,2819.9
191.03,50.0,4061.9,,,,,100.0,2819.9
192.03,27.96,4084.7,,,,,55.92,2821.9
193.03,50.0,4035.5,,,,,100.0,2822.0
194.03,28.29,4037.3,,,,,56.58,2819.7
195.03,50.0,4037.3,,,,,100.0,2815.4
196.03,50.0,4061.9,,,,,100.0,2820.4
197.03,50.0,4060.1,,,,,100.0,2822.6
198.03,27.97,4035.5,,,,,55.93,2822.6
199.03,28.31,4037.3,,,,,56.62,2820.4
200.03,50.0,4061.9,,,,,100.0,2820.7
201.03,50.0,4061.9,,,,,100.0,2820.9
202.03,50.0,4060.1,,,,,100.0,2822.8
203.03,50.0,4012.7,,,,,100.0,2822.9
204.03,27.97,4012.8,,,,,55.95,2816.8
205.03,50.0,4037.3,,,,,100.0,2814.3
206.03,27.97,4061.9,,,,,55.94,2820.0
207.03,50.0,4060.1,,,,,100.0,2823.2
208.03,50.0,4012.7,,,,,100.0,2815.7
209.03,27.96,4037.3,,,,,55.93,2821.0
210.03,50.0,4037.3,,,,,100.0,2818.3
211.03,50.0,4084.7,,,,,100.0,2823.2
212.03,27.97,4060.1,,,,,55.94,2823.3
213.03,50.0,4012.7,,,,,100.0,2818.4
214.03,27.96,4037.3,,,,,55.93,2815.7
215.03,50.0,4061.9,,,,,100.0,2821.4
216.03,50.0,4084.7,,,,,100.0,2823.6
217.03,50.0,4035.5,,,,,100.0,2823.7
218.03,28.3,4012.8,,,,,56.6,2821.4
219.03,27.94,4037.3,,,,,55.87,2818.8
220.03,50.0,4061.9,,,,,100.0,2821.7
221.03,50.0,4084.7,,,,,100.0,2823.8
222.03,50.0,4035.5,,,,,100.0,2823.9
223.03,28.3,4012.8,,,,,56.6,2821.6
224.03,50.0,4037.3,,,,,100.0,2821.5
225.03,27.95,4061.9,,,,,55.91,2820.0
226.03,50.0,4084.7,,,,,100.0,2824.0
227.03,50.0,4035.5,,,,,100.0,2824.1
228.03,28.27,4037.3,,,,,56.54,2821.6
229.03,50.0,4037.3,,,,,100.0,2822.1
230.03,50.0,4061.9,,,,,100.0,2815.7
231.03,50.0,4060.1,,,,,100.0,2824.4
232.04,27.97,4035.5,,,,,55.94,2824.4
233.04,28.26,4037.3,,,,,56.53,2815.5
234.04,50.0,4037.3,,,,,100.0,2820.9
235.04,50.0,4061.9,,,,,100.0,2817.9
236.04,50.0,4060.1,,,,,100.0,2824.7
237.04,50.0,4012.7,,,,,100.0,2824.7
238.04,27.95,4012.8,,,,,55.9,2818.1
239.04,27.96,4061.9,,,,,55.92,2822.7
240.04,50.0,4061.9,,,,,100.0,2822.3
241.04,50.0,4060.1,,,,,100.0,2824.9
