t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,host_mem_used_mib
0.0,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0
9.0,0.0,0.0,,,,,0.0,1121.5
10.0,0.0,0.0,,,,,0.0,1121.5
11.0,0.0,0.0,,,,,0.0,1121.5
12.0,0.0,0.0,,,,,0.0,1121.5
13.0,0.0,0.0,,,,,0.0,1121.5
14.0,0.11,161.9,,,,,0.21,1145.3
15.0,0.0,161.9,,,,,0.0,2844.0
16.0,0.0,161.9,,,,,0.0,3254.8
17.0,0.0,161.9,,,,,0.0,3331.0
18.0,0.0,161.9,,,,,0.0,3301.9
19.0,0.0,161.9,,,,,0.0,7451.5
20.0,0.01,178.1,,,,,0.01,3290.8
21.0,0.0,178.1,,,,,0.0,3312.2
22.0,0.0,450.9,,,,,0.01,3222.9
23.0,0.0,2344.7,,,,,0.0,2198.2
24.0,0.0,2344.7,,,,,0.0,2208.2
25.0,0.0,2344.7,,,,,0.0,2208.2
26.0,0.0,2344.7,,,,,0.0,1485.4
27.0,0.0,2344.7,,,,,0.0,2312.9
28.0,0.0,3561.4,,,,,0.0,2657.4
29.0,0.0,3607.3,,,,,0.0,2657.6
30.0,0.0,3765.8,,,,,0.0,2661.7
31.0,28.94,3741.3,,,,,57.88,2063.5
32.01,0.0,3741.3,,,,,0.0,2063.5
33.01,0.0,3741.3,,,,,0.0,2119.5
34.01,0.0,3741.3,,,,,0.0,2851.4
35.01,0.0,3741.3,,,,,0.0,3359.4
36.01,0.0,3787.3,,,,,0.0,3359.4
37.01,0.0,3906.9,,,,,0.0,3396.4
38.01,27.98,3931.4,,,,,55.96,2534.9
39.01,50.0,3955.9,,,,,100.0,2535.4
40.01,50.0,3931.4,,,,,100.0,2611.1
41.01,50.0,4003.5,,,,,100.0,2779.9
42.01,27.99,4003.5,,,,,55.97,2655.0
43.01,50.0,4028.1,,,,,100.0,2651.9
44.01,27.96,4077.2,,,,,55.92,2656.2
45.01,50.0,4037.3,,,,,100.0,2899.2
46.01,50.0,4012.7,,,,,100.0,2802.9
47.01,27.96,4037.3,,,,,55.93,2801.0
48.01,50.0,4037.3,,,,,100.0,2805.5
49.01,50.0,4084.7,,,,,100.0,2811.0
50.01,27.98,4060.1,,,,,55.96,2811.1
51.01,50.0,4012.7,,,,,100.0,2806.6
52.01,27.96,4037.3,,,,,55.92,2804.7
53.01,50.0,4061.9,,,,,100.0,2808.5
54.01,50.0,4084.7,,,,,100.0,2811.5
55.01,50.0,4035.5,,,,,100.0,2811.6
56.01,28.29,4012.8,,,,,56.59,2809.0
57.01,27.96,4037.3,,,,,55.93,2806.4
58.01,50.0,4061.9,,,,,100.0,2809.4
59.01,50.0,4084.7,,,,,100.0,2812.1
60.01,50.0,4035.5,,,,,100.0,2812.2
61.01,28.29,4012.8,,,,,56.58,2809.7
62.01,50.0,4037.3,,,,,100.0,2809.7
63.01,50.0,4037.3,,,,,100.0,2808.0
64.01,27.98,4084.7,,,,,55.97,2812.8
65.01,50.0,4035.5,,,,,100.0,2812.9
66.01,28.29,4037.3,,,,,56.58,2810.2
67.01,50.0,4037.3,,,,,100.0,2810.4
68.01,50.0,4061.9,,,,,100.0,2811.1
69.01,50.0,4060.1,,,,,100.0,2813.6
70.01,27.97,4035.5,,,,,55.94,2813.6
71.01,28.32,4037.3,,,,,56.63,2811.1
72.01,50.0,4037.3,,,,,100.0,2811.0
73.01,50.0,4061.9,,,,,100.0,2808.2
74.01,50.0,4060.1,,,,,100.0,2814.4
75.01,50.0,4012.7,,,,,100.0,2814.5
76.01,27.96,4012.8,,,,,55.93,2808.5
77.01,27.97,4061.9,,,,,55.93,2806.2
78.01,50.0,4061.9,,,,,100.0,2811.2
79.01,50.0,4060.1,,,,,100.0,2814.9
80.01,50.0,4012.7,,,,,100.0,2807.4
81.01,27.97,4037.3,,,,,55.94,2812.3
82.01,50.0,4037.3,,,,,100.0,2808.7
83.01,27.94,4109.1,,,,,55.89,2813.9
84.01,50.0,4060.1,,,,,100.0,2815.2
85.01,50.0,4012.7,,,,,100.0,2809.2
86.01,27.98,4037.3,,,,,55.97,2812.7
87.01,50.0,4061.9,,,,,100.0,2813.0
88.01,50.0,4084.7,,,,,100.0,2815.5
89.01,50.0,4035.5,,,,,100.0,2815.6
90.01,28.31,4012.8,,,,,56.62,2813.1
91.01,27.96,4037.3,,,,,55.92,2809.9
92.01,50.0,4061.9,,,,,100.0,2813.5
93.01,50.0,4084.7,,,,,100.0,2815.9
94.01,50.0,4035.5,,,,,100.0,2816.0
95.01,28.28,4012.8,,,,,56.56,2813.6
96.02,50.0,4037.3,,,,,100.0,2813.7
97.02,27.98,4061.9,,,,,55.97,2811.5
98.02,50.0,4084.7,,,,,100.0,2816.5
99.02,50.0,4035.5,,,,,100.0,2816.6
100.02,28.3,4012.8,,,,,56.61,2812.4
101.02,50.0,4037.3,,,,,100.0,2809.7
102.02,50.0,4061.9,,,,,100.0,2814.3
103.02,27.94,4084.7,,,,,55.89,2816.9
104.02,50.0,4035.5,,,,,100.0,2817.0
105.02,28.27,4037.3,,,,,56.55,2814.4
106.02,50.0,4037.3,,,,,100.0,2811.6
107.02,50.0,4061.9,,,,,100.0,2814.8
108.02,50.0,4060.1,,,,,100.0,2817.5
109.02,50.0,4012.8,,,,,100.0,2817.5
110.02,28.3,4012.8,,,,,56.59,2810.4
111.02,27.98,4061.9,,,,,55.95,2815.3
112.02,50.0,4061.9,,,,,100.0,2811.8
113.02,50.0,4060.1,,,,,100.0,2817.9
114.02,50.0,4012.7,,,,,100.0,2818.1
115.02,27.98,4012.8,,,,,55.96,2813.7
116.02,50.0,4037.3,,,,,100.0,2815.7
117.02,27.93,4086.4,,,,,55.87,2815.9
118.02,50.0,4060.1,,,,,100.0,2818.2
119.02,50.0,4012.7,,,,,100.0,2818.4
120.02,27.95,4037.3,,,,,55.9,2815.7
121.02,50.0,4037.3,,,,,100.0,2815.5
122.02,50.0,4084.7,,,,,100.0,2818.4
123.02,27.95,4060.1,,,,,55.9,2818.5
124.02,50.0,4012.8,,,,,100.0,2808.4
125.02,27.97,4037.3,,,,,55.95,2812.3
126.02,50.0,4061.9,,,,,100.0,2809.9
127.02,50.0,4084.7,,,,,100.0,2819.0
128.02,50.0,4035.5,,,,,100.0,2819.1
129.02,28.3,4012.8,,,,,56.61,2811.2
130.02,50.0,4012.8,,,,,100.0,2815.7
131.02,27.98,4061.9,,,,,55.97,2812.2
132.02,50.0,4084.7,,,,,100.0,2819.1
133.02,50.0,4035.5,,,,,100.0,2819.2
134.02,28.29,4012.8,,,,,56.58,2812.8
135.02,50.0,4037.3,,,,,100.0,2816.8
136.02,50.0,4061.9,,,,,100.0,2817.1
137.02,27.97,4084.7,,,,,55.93,2819.6
138.02,50.0,4035.5,,,,,100.0,2819.7
139.02,28.29,4037.3,,,,,56.59,2817.1
140.02,50.0,4037.3,,,,,100.0,2813.2
141.02,50.0,4061.9,,,,,100.0,2817.6
142.02,50.0,4060.1,,,,,100.0,2820.1
143.02,27.98,4035.5,,,,,55.96,2820.1
144.02,50.0,4012.8,,,,,100.0,2817.7
145.02,27.99,4061.9,,,,,55.98,2818.0
146.02,50.0,4061.9,,,,,100.0,2818.0
147.02,50.0,4060.1,,,,,100.0,2820.3
148.02,50.0,4012.7,,,,,100.0,2820.4
149.02,27.96,4012.8,,,,,55.93,2817.9
150.02,50.0,4037.3,,,,,100.0,2813.6
151.02,27.97,4086.4,,,,,55.93,2818.6
152.02,50.0,4060.1,,,,,100.0,2820.7
153.02,50.0,4012.7,,,,,100.0,2813.5
154.02,27.96,4037.3,,,,,55.92,2811.3
155.02,50.0,4037.3,,,,,100.0,2815.7
156.02,50.0,4084.7,,,,,100.0,2820.9
157.02,27.95,4060.1,,,,,55.9,2821.0
158.03,50.0,4012.7,,,,,100.0,2817.0
159.03,27.97,4037.3,,,,,55.94,2813.6
160.03,50.0,4061.9,,,,,100.0,2818.7
161.03,50.0,4084.7,,,,,100.0,2821.1
162.03,50.0,4035.5,,,,,100.0,2821.2
163.03,28.28,4012.8,,,,,56.55,2818.8
164.03,27.96,4037.3,,,,,55.93,2816.4
165.03,50.0,4061.9,,,,,100.0,2819.2
166.03,50.0,4084.7,,,,,100.0,2821.4
167.03,50.0,4035.5,,,,,100.0,2821.5
168.03,28.31,4012.8,,,,,56.62,2819.1
169.03,50.0,4037.3,,,,,100.0,2819.2
170.03,50.0,4037.3,,,,,100.0,2815.3
171.03,27.97,4084.7,,,,,55.94,2821.7
172.03,50.0,4035.5,,,,,100.0,2821.8
173.03,28.28,4012.8,,,,,56.55,2818.9
174.03,50.0,4037.3,,,,,100.0,2819.5
175.03,50.0,4061.9,,,,,100.0,2812.8
176.03,50.0,4060.1,,,,,100.0,2822.3
177.03,27.96,4035.5,,,,,55.93,2822.3
178.03,28.28,4037.3,,,,,56.56,2813.2
179.03,50.0,4037.3,,,,,100.0,2817.5
180.03,50.0,4061.9,,,,,100.0,2815.2
181.03,50.0,4060.1,,,,,100.0,2822.2
182.03,50.0,4012.7,,,,,100.0,2822.3
183.03,27.96,4012.8,,,,,55.93,2816.1
184.03,27.97,4061.9,,,,,55.94,2820.2
185.03,50.0,4061.9,,,,,100.0,2817.9
186.03,50.0,4060.1,,,,,100.0,2822.7
187.03,50.0,4012.7,,,,,100.0,2815.9
188.03,27.99,4037.3,,,,,55.98,2820.2
189.03,50.0,4037.3,,,,,100.0,2815.1
190.03,27.94,4086.4,,,,,55.89,2820.9
191.03,50.0,4060.1,,,,,100.0,2823.0
192.03,50.0,4012.7,,,,,100.0,2816.2
193.03,27.94,4037.3,,,,,55.88,2820.6
194.03,50.0,4061.9,,,,,100.0,2820.8
195.03,50.0,4084.7,,,,,100.0,2823.4
196.03,50.0,4035.5,,,,,100.0,2823.5
197.03,28.28,4012.8,,,,,56.55,2820.8
198.03,27.99,4037.3,,,,,55.97,2821.1
199.03,50.0,4061.9,,,,,100.0,2821.4
200.03,50.0,4084.7,,,,,100.0,2823.6
201.03,50.0,4035.5,,,,,100.0,2823.7
202.03,28.28,4012.8,,,,,56.57,2821.3
203.03,50.0,4037.3,,,,,100.0,2813.8
204.03,27.96,4061.9,,,,,55.93,2817.7
205.03,50.0,4084.7,,,,,100.0,2824.0
206.03,50.0,4035.5,,,,,100.0,2824.1
207.03,28.27,4012.8,,,,,56.53,2818.4
208.03,50.0,4037.3,,,,,100.0,2815.0
209.03,50.0,4037.3,,,,,100.0,2820.3
210.03,27.98,4084.7,,,,,55.97,2824.1
211.03,50.0,4035.5,,,,,100.0,2824.2
212.03,28.31,4037.3,,,,,56.62,2821.9
213.03,50.0,4037.3,,,,,100.0,2817.4
214.03,50.0,4061.9,,,,,100.0,2822.3
215.03,50.0,4060.1,,,,,100.0,2824.4
216.03,27.99,4035.5,,,,,55.97,2824.4
217.03,50.0,4012.8,,,,,100.0,2822.2
218.04,27.96,4061.9,,,,,55.92,2822.3
219.04,50.0,4061.9,,,,,100.0,2818.2
220.04,50.0,4060.1,,,,,100.0,2824.9
221.04,50.0,4012.7,,,,,100.0,2825.1
222.04,27.94,4012.8,,,,,55.87,2819.9
223.04,50.0,4037.3,,,,,100.0,2822.9
224.04,27.97,4086.4,,,,,55.94,2823.1
225.04,50.0,4060.1,,,,,100.0,2825.2
226.04,50.0,4012.7,,,,,100.0,2825.3
227.04,27.96,4037.3,,,,,55.91,2822.7
228.04,50.0,4037.3,,,,,100.0,2821.1
229.04,50.0,4084.7,,,,,100.0,2825.5
230.04,27.97,4060.1,,,,,55.94,2825.6
231.04,50.0,3988.2,,,,,100.0,2822.6
232.04,27.99,4037.3,,,,,55.98,2818.3
233.04,50.0,4061.9,,,,,100.0,2823.2
234.04,50.0,4084.7,,,,,100.0,2825.5
235.04,50.0,4035.5,,,,,100.0,2825.6
236.04,28.32,4012.8,,,,,56.64,2816.8
237.04,50.0,4037.3,,,,,100.0,2823.1
238.04,27.94,4061.9,,,,,55.88,2818.8
239.04,50.0,4084.7,,,,,100.0,2825.8
240.04,50.0,4035.5,,,,,100.0,2825.9
241.04,28.28,4012.8,,,,,56.55,2818.9
