t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2225.0
10.0,0.0,0.0,,,,,0.0,0.0,2225.0
11.0,0.0,0.0,,,,,0.0,0.0,2225.0
12.0,0.0,0.0,,,,,0.0,0.0,2225.0
13.0,0.0,0.0,,,,,0.0,0.0,2225.0
14.0,0.0,0.0,,,,,0.0,0.0,2225.0
15.0,0.23,356.0,,,,,0.24,0.21,3019.1
16.0,0.0,356.0,,,,,0.0,0.0,3812.2
17.0,0.0,356.0,,,,,0.0,0.0,4768.1
18.0,0.0,356.0,,,,,0.0,0.0,5823.0
19.0,0.0,356.0,,,,,0.0,0.0,6795.8
20.0,0.0,356.0,,,,,0.0,0.0,7881.2
21.0,0.0,356.0,,,,,0.0,0.0,8860.3
22.0,0.0,356.0,,,,,0.0,0.0,9953.3
23.0,0.0,356.0,,,,,0.0,0.0,10940.7
24.0,0.0,356.0,,,,,0.0,0.0,12037.2
25.0,0.0,356.0,,,,,0.0,0.0,13029.6
26.0,0.0,356.0,,,,,0.0,0.0,14124.6
27.0,0.0,356.0,,,,,0.0,0.0,15108.4
28.0,0.0,356.0,,,,,0.0,0.0,16202.7
29.0,0.0,356.0,,,,,0.0,0.0,17715.1
30.0,0.0,356.0,,,,,0.0,0.0,17928.8
31.0,0.0,356.0,,,,,0.0,0.0,18295.5
32.0,0.0,356.0,,,,,0.0,0.0,18521.9
33.0,0.0,356.0,,,,,0.0,0.0,17531.5
34.01,0.0,356.0,,,,,0.0,0.0,17886.4
35.01,0.0,356.0,,,,,0.0,0.0,18237.1
36.01,0.0,356.0,,,,,0.0,0.0,18394.1
37.01,0.0,356.0,,,,,0.0,0.0,18385.7
38.01,0.0,356.0,,,,,0.0,0.0,17809.7
39.01,0.0,356.0,,,,,0.0,0.0,18158.6
40.01,0.0,356.0,,,,,0.0,0.0,18394.1
41.01,0.0,356.0,,,,,0.0,0.0,18956.9
42.01,0.0,356.0,,,,,0.0,0.0,17738.7
43.01,0.0,356.0,,,,,0.0,0.0,18091.4
44.01,0.0,356.0,,,,,0.0,0.0,18394.1
45.01,0.0,356.0,,,,,0.0,0.0,18823.8
46.01,0.0,356.0,,,,,0.0,0.0,17673.2
47.01,0.0,356.0,,,,,0.0,0.0,18030.0
48.01,0.0,356.0,,,,,0.0,0.0,18382.1
49.01,0.0,356.0,,,,,0.0,0.0,18691.2
50.01,0.0,356.0,,,,,0.0,0.0,17608.4
51.01,0.0,356.0,,,,,0.0,0.0,17963.6
52.01,0.0,356.0,,,,,0.0,0.0,18318.1
53.01,0.0,356.0,,,,,0.0,0.0,18552.9
54.01,0.0,356.0,,,,,0.0,0.0,17547.8
55.01,0.0,356.0,,,,,0.0,0.0,17907.7
56.01,0.0,356.0,,,,,0.0,0.0,18329.3
57.01,0.0,356.0,,,,,0.0,0.0,19364.3
58.01,0.0,356.0,,,,,0.0,0.0,19945.3
59.01,0.0,356.0,,,,,0.0,0.0,20567.4
60.01,0.0,356.0,,,,,0.0,0.0,20970.8
61.01,0.0,356.0,,,,,0.0,0.0,21483.8
62.01,0.0,356.0,,,,,0.0,0.0,22003.1
63.01,0.0,356.0,,,,,0.0,0.0,22554.9
64.01,0.0,356.0,,,,,0.0,0.0,23063.4
65.01,0.0,356.0,,,,,0.0,0.0,23563.9
66.01,0.0,356.0,,,,,0.0,0.0,24154.1
67.01,0.0,356.0,,,,,0.0,0.0,24841.8
68.01,0.0,356.0,,,,,0.0,0.0,25521.3
69.01,0.0,356.0,,,,,0.0,0.0,26230.0
70.01,0.0,356.0,,,,,0.0,0.0,26900.8
71.01,0.0,356.0,,,,,0.0,0.0,27412.1
72.01,0.0,356.0,,,,,0.0,0.0,28120.0
73.01,0.0,356.0,,,,,0.0,0.0,28316.2
74.01,0.0,356.0,,,,,0.0,0.0,29031.3
75.01,0.0,356.0,,,,,0.0,0.0,29053.5
76.01,0.0,356.0,,,,,0.0,0.0,28839.8
77.01,0.0,356.0,,,,,0.0,0.0,28644.4
78.01,0.0,356.0,,,,,0.0,0.0,28106.0
79.01,0.0,356.0,,,,,0.0,0.0,27656.5
80.01,0.0,356.0,,,,,0.0,0.0,27770.3
81.01,0.0,356.0,,,,,0.0,0.0,28012.4
82.01,0.0,356.0,,,,,0.0,0.0,28254.4
83.01,0.0,356.0,,,,,0.0,0.0,28642.6
84.01,0.0,356.0,,,,,0.0,0.0,28745.1
