t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,2192.9
16.0,0.0,0.0,,,,,0.0,0.0,2192.9
17.0,0.0,0.0,,,,,0.0,0.0,2192.9
18.0,0.0,0.0,,,,,0.0,0.0,2192.9
19.0,0.0,0.0,,,,,0.0,0.0,2192.9
20.0,0.0,0.0,,,,,0.0,0.0,2192.9
21.0,0.0,0.0,,,,,0.0,0.0,2192.9
22.0,0.22,356.0,,,,,0.21,0.22,2331.0
23.0,0.0,356.0,,,,,0.0,0.0,3500.3
24.0,0.0,356.0,,,,,0.0,0.0,3785.0
25.0,0.0,356.0,,,,,0.0,0.0,4939.1
26.0,0.0,356.0,,,,,0.0,0.0,5879.0
27.0,0.0,356.0,,,,,0.0,0.0,6946.4
28.0,0.0,356.0,,,,,0.0,0.0,7921.7
29.0,0.0,356.0,,,,,0.0,0.0,9011.3
30.0,0.0,356.0,,,,,0.0,0.0,9995.9
31.0,0.0,356.0,,,,,0.0,0.0,11095.7
32.0,0.0,356.0,,,,,0.0,0.0,12083.7
33.0,0.0,356.0,,,,,0.0,0.0,13187.3
34.0,0.0,356.0,,,,,0.0,0.0,14189.3
35.0,0.0,356.0,,,,,0.0,0.0,15301.0
36.0,0.0,356.0,,,,,0.0,0.0,16304.0
37.01,0.0,356.0,,,,,0.0,0.0,18192.8
38.01,0.0,356.0,,,,,0.0,0.0,18042.6
39.01,0.0,356.0,,,,,0.0,0.0,18361.0
40.01,0.0,356.0,,,,,0.0,0.0,18735.5
41.01,0.0,356.0,,,,,0.0,0.0,17592.0
42.01,0.0,356.0,,,,,0.0,0.0,17933.2
43.01,0.0,356.0,,,,,0.0,0.0,18268.5
44.01,0.0,356.0,,,,,0.0,0.0,18462.9
45.01,0.0,356.0,,,,,0.0,0.0,17466.2
46.01,0.0,356.0,,,,,0.0,0.0,17810.2
47.01,0.0,356.0,,,,,0.0,0.0,18148.2
48.01,0.0,356.0,,,,,0.0,0.0,18361.0
49.01,0.0,356.0,,,,,0.0,0.0,18962.6
50.01,0.0,356.0,,,,,0.0,0.0,17713.7
51.01,0.0,356.0,,,,,0.0,0.0,18068.8
52.01,0.0,356.0,,,,,0.0,0.0,18361.0
53.01,0.0,356.0,,,,,0.0,0.0,18800.2
54.01,0.0,356.0,,,,,0.0,0.0,17651.4
55.01,0.0,356.0,,,,,0.0,0.0,18009.7
56.01,0.0,356.0,,,,,0.0,0.0,18361.0
57.01,0.0,356.0,,,,,0.0,0.0,18729.5
58.01,0.0,356.0,,,,,0.0,0.0,17620.3
59.01,0.0,356.0,,,,,0.0,0.0,17982.3
60.01,0.0,356.0,,,,,0.0,0.0,18345.8
61.01,0.0,356.0,,,,,0.0,0.0,18648.7
62.01,0.0,356.0,,,,,0.0,0.0,17585.0
63.01,0.0,356.0,,,,,0.0,0.0,17942.5
64.01,0.0,356.0,,,,,0.0,0.0,18231.0
65.01,0.0,356.0,,,,,0.0,0.0,19141.8
66.01,0.0,356.0,,,,,0.0,0.0,19955.0
67.01,0.0,356.0,,,,,0.0,0.0,21021.8
68.01,0.0,356.0,,,,,0.0,0.0,21844.8
69.01,0.0,356.0,,,,,0.0,0.0,22511.5
70.01,0.0,356.0,,,,,0.0,0.0,23164.0
71.01,0.0,356.0,,,,,0.0,0.0,23789.4
72.01,0.0,356.0,,,,,0.0,0.0,25057.1
73.01,0.0,356.0,,,,,0.0,0.0,26387.9
74.01,0.0,356.0,,,,,0.0,0.0,27499.8
75.01,0.0,356.0,,,,,0.0,0.0,28341.3
76.01,0.0,356.0,,,,,0.0,0.0,28834.4
77.01,0.0,356.0,,,,,0.0,0.0,29737.2
78.01,0.0,356.0,,,,,0.0,0.0,30558.1
79.01,0.0,356.0,,,,,0.0,0.0,30955.0
80.01,0.0,356.0,,,,,0.0,0.0,30931.7
81.01,0.0,356.0,,,,,0.0,0.0,30702.9
82.01,0.0,356.0,,,,,0.0,0.0,31041.7
83.01,0.0,356.0,,,,,0.0,0.0,31626.2
84.01,0.0,356.0,,,,,0.0,0.0,31920.8
