t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2226.3
10.0,0.0,0.0,,,,,0.0,0.0,2226.3
11.0,0.0,0.0,,,,,0.0,0.0,2226.3
12.0,0.0,0.0,,,,,0.0,0.0,2226.3
13.0,0.0,0.0,,,,,0.0,0.0,2226.3
14.0,0.23,356.0,,,,,0.21,0.24,2355.7
15.0,0.0,356.0,,,,,0.0,0.0,3002.9
16.0,0.0,356.0,,,,,0.0,0.0,4272.2
17.0,0.0,356.0,,,,,0.0,0.0,4906.2
18.0,0.0,356.0,,,,,0.0,0.0,5033.8
19.0,0.0,356.0,,,,,0.0,0.0,5407.3
20.0,0.0,356.0,,,,,0.0,0.0,5652.4
21.0,0.0,356.0,,,,,0.0,0.0,6537.7
22.0,0.0,356.0,,,,,0.0,0.0,7054.8
23.0,0.0,356.0,,,,,0.0,0.0,7574.3
24.0,0.0,356.0,,,,,0.0,0.0,8029.9
25.0,0.0,356.0,,,,,0.0,0.0,8483.7
26.0,0.0,356.0,,,,,0.0,0.0,8934.5
27.01,0.0,356.0,,,,,0.0,0.0,9413.0
28.01,0.04,356.7,,,,,0.06,0.02,5522.8
29.01,0.67,2264.4,,,,,0.82,0.53,5549.6
30.01,0.0,2548.7,,,,,0.0,0.0,5405.5
31.01,0.0,2548.7,,,,,0.0,0.0,5407.4
32.01,0.0,2548.7,,,,,0.0,0.0,5407.4
33.01,0.0,2548.7,,,,,0.0,0.0,5407.5
34.01,0.0,2548.7,,,,,0.0,0.0,5407.5
35.01,0.0,2548.7,,,,,0.0,0.0,4899.8
36.01,0.0,3712.7,,,,,0.0,0.0,5544.2
37.01,0.0,3845.2,,,,,0.0,0.0,5544.6
38.01,0.0,4145.9,,,,,0.0,0.0,5876.5
39.01,36.75,4128.8,,,,,36.76,36.75,4787.7
40.01,0.0,4128.8,,,,,0.0,0.0,4788.3
41.01,0.0,4128.8,,,,,0.0,0.0,4791.1
42.01,0.0,4128.8,,,,,0.0,0.0,4980.6
43.01,0.0,4128.8,,,,,0.0,0.0,5315.2
44.01,0.0,4128.8,,,,,0.0,0.0,6779.6
45.01,0.0,4237.3,,,,,0.0,0.0,6807.6
46.01,0.0,4402.6,,,,,0.0,0.0,7208.4
47.01,73.27,4402.6,,,,,72.76,73.77,5780.2
48.01,76.71,4402.6,,,,,80.67,72.76,5780.5
49.01,100.0,4371.6,,,,,100.0,100.0,5903.6
50.01,0.38,4536.8,,,,,0.38,0.38,6404.1
51.01,42.0,4537.0,,,,,47.61,36.39,6389.6
52.01,81.95,4537.0,,,,,91.12,72.77,6393.6
53.01,80.1,4537.0,,,,,87.47,72.73,6393.4
54.01,79.36,4537.0,,,,,86.0,72.71,6520.1
55.01,37.78,4523.9,,,,,39.17,36.4,6986.0
56.01,37.56,4554.9,,,,,38.21,36.92,6863.2
57.01,74.28,4555.0,,,,,75.82,72.74,6856.2
58.01,80.97,4555.0,,,,,89.17,72.76,6851.7
59.01,81.04,4586.0,,,,,89.28,72.79,6868.5
60.01,77.18,4554.9,,,,,81.08,73.28,6858.7
61.01,75.72,4554.9,,,,,72.76,78.69,6862.1
62.01,80.38,4554.9,,,,,72.75,88.01,6863.6
63.01,83.26,4570.5,,,,,72.79,93.74,6866.3
64.01,41.57,4555.0,,,,,36.88,46.25,6855.3
65.01,75.07,4555.0,,,,,77.39,72.75,6858.9
66.01,100.0,4555.0,,,,,100.0,100.0,6864.5
67.01,73.93,4586.0,,,,,74.43,73.42,6869.0
68.01,38.07,4555.0,,,,,36.9,39.24,6856.7
69.01,100.0,4554.9,,,,,100.0,100.0,6861.0
70.01,83.76,4554.9,,,,,94.77,72.75,6862.7
71.01,83.59,4570.5,,,,,94.45,72.73,6867.3
72.01,41.22,4555.0,,,,,45.53,36.92,6865.9
73.01,75.33,4555.0,,,,,72.97,77.7,6861.9
74.01,82.77,4571.1,,,,,72.81,92.73,6865.6
75.01,100.0,4570.4,,,,,100.0,100.0,6867.2
76.01,40.87,4555.0,,,,,36.89,44.85,6866.2
77.01,74.84,4555.0,,,,,76.93,72.74,6865.7
78.01,77.6,4571.1,,,,,82.41,72.79,6859.0
79.01,100.0,4562.0,,,,,100.0,100.0,6866.6
80.01,41.72,4555.0,,,,,46.52,36.91,6856.1
81.01,74.06,4555.0,,,,,74.94,73.18,6857.7
82.01,78.15,4555.0,,,,,83.59,72.71,6860.5
