t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,2209.0
23.0,0.0,0.0,,,,,0.0,0.0,2209.0
24.0,0.0,0.0,,,,,0.0,0.0,2209.0
25.0,0.0,0.0,,,,,0.0,0.0,2209.0
26.0,0.0,0.0,,,,,0.0,0.0,2209.0
27.0,0.0,3.4,,,,,0.0,0.0,2219.4
28.0,0.21,356.0,,,,,0.21,0.21,2961.0
29.0,0.0,356.0,,,,,0.0,0.0,3824.1
30.0,0.0,356.0,,,,,0.0,0.0,4641.7
31.0,0.0,356.0,,,,,0.0,0.0,5939.5
32.0,0.0,356.0,,,,,0.0,0.0,6767.9
33.01,0.0,356.0,,,,,0.0,0.0,8082.0
34.01,0.0,356.0,,,,,0.0,0.0,8854.1
35.01,0.0,356.0,,,,,0.0,0.0,10249.3
36.01,0.0,356.0,,,,,0.0,0.0,10970.5
37.01,0.0,356.0,,,,,0.0,0.0,12406.9
38.01,0.0,356.0,,,,,0.0,0.0,13082.0
39.01,0.0,356.0,,,,,0.0,0.0,14333.8
40.01,0.0,356.0,,,,,0.0,0.0,15225.4
41.01,0.0,356.0,,,,,0.0,0.0,16241.4
42.01,0.0,356.0,,,,,0.0,0.0,18145.2
43.01,0.0,356.0,,,,,0.0,0.0,18214.9
44.01,0.0,356.0,,,,,0.0,0.0,18430.2
45.01,0.0,356.0,,,,,0.0,0.0,17519.0
46.01,0.0,356.0,,,,,0.0,0.0,17905.0
47.01,0.0,356.0,,,,,0.0,0.0,18282.3
48.01,0.0,356.0,,,,,0.0,0.0,18571.0
49.01,0.0,356.0,,,,,0.0,0.0,17574.4
50.01,0.0,356.0,,,,,0.0,0.0,17951.6
51.01,0.0,356.0,,,,,0.0,0.0,18326.3
52.01,0.0,356.0,,,,,0.0,0.0,18651.9
53.01,0.0,356.0,,,,,0.0,0.0,17620.7
54.01,0.0,356.0,,,,,0.0,0.0,17999.0
55.01,0.0,356.0,,,,,0.0,0.0,18376.2
56.01,0.0,356.0,,,,,0.0,0.0,18756.8
57.01,0.0,356.0,,,,,0.0,0.0,17668.4
58.01,0.0,356.0,,,,,0.0,0.0,18047.5
59.01,0.0,356.0,,,,,0.0,0.0,18380.6
60.01,0.0,356.0,,,,,0.0,0.0,18858.4
61.01,0.0,356.0,,,,,0.0,0.0,17715.1
62.01,0.0,356.0,,,,,0.0,0.0,18099.0
63.01,0.0,356.0,,,,,0.0,0.0,18380.6
64.01,0.0,356.0,,,,,0.0,0.0,18986.3
65.01,0.0,356.0,,,,,0.0,0.0,17780.3
66.01,0.0,356.0,,,,,0.0,0.0,18164.1
67.01,0.0,356.0,,,,,0.0,0.0,18380.6
68.01,0.0,356.0,,,,,0.0,0.0,18044.3
69.01,0.0,356.0,,,,,0.0,0.0,18680.5
70.01,0.0,356.0,,,,,0.0,0.0,19181.4
71.01,0.0,356.0,,,,,0.0,0.0,19682.4
72.01,0.0,356.0,,,,,0.0,0.0,20184.5
73.01,0.0,356.0,,,,,0.0,0.0,20685.6
74.01,0.0,356.0,,,,,0.0,0.0,21187.0
75.01,0.0,356.0,,,,,0.0,0.0,21688.0
76.01,0.0,356.0,,,,,0.0,0.0,22188.5
77.01,0.0,356.0,,,,,0.0,0.0,22688.5
78.01,0.0,356.0,,,,,0.0,0.0,23189.0
79.01,0.0,356.0,,,,,0.0,0.0,23689.0
80.01,0.0,356.0,,,,,0.0,0.0,24320.8
81.01,0.0,356.0,,,,,0.0,0.0,25010.8
82.01,0.0,356.0,,,,,0.0,0.0,25717.1
83.01,0.0,356.0,,,,,0.0,0.0,26407.8
84.01,0.0,356.0,,,,,0.0,0.0,27083.7
