t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2112.0
9.0,0.0,0.0,,,,,0.0,0.0,2112.0
10.0,0.0,0.0,,,,,0.0,0.0,2112.0
11.0,0.0,0.0,,,,,0.0,0.0,2112.0
12.0,0.0,0.0,,,,,0.0,0.0,2112.0
13.0,0.0,3.4,,,,,0.0,0.0,2308.6
14.0,0.0,3.4,,,,,0.0,0.0,3824.7
15.0,0.0,3.4,,,,,0.0,0.0,4889.1
16.0,0.0,3.4,,,,,0.0,0.0,4889.1
17.0,0.0,3.4,,,,,0.0,0.0,3852.7
18.0,0.0,1564.1,,,,,0.0,0.0,3790.4
19.0,0.0,1564.1,,,,,0.0,0.0,3790.8
20.0,0.0,1564.1,,,,,0.0,0.0,3790.8
21.0,0.0,1564.1,,,,,0.0,0.0,3790.8
22.0,0.0,1564.1,,,,,0.0,0.0,3790.8
23.0,0.0,1564.1,,,,,0.0,0.0,3790.8
24.0,0.0,1564.1,,,,,0.0,0.0,3790.8
25.0,0.0,1564.1,,,,,0.0,0.0,3790.8
26.0,0.0,1564.1,,,,,0.0,0.0,3790.8
27.0,0.0,1564.1,,,,,0.0,0.0,3790.8
28.0,0.0,1564.1,,,,,0.0,0.0,3790.8
29.0,0.0,1564.1,,,,,0.0,0.0,3790.8
30.0,0.0,1564.1,,,,,0.0,0.0,3790.8
31.0,0.0,1564.1,,,,,0.0,0.0,3790.8
32.01,0.0,1564.1,,,,,0.0,0.0,3790.8
33.01,0.0,1564.1,,,,,0.0,0.0,3790.8
34.01,0.0,1564.1,,,,,0.0,0.0,3790.8
35.01,0.0,1564.1,,,,,0.0,0.0,3790.8
36.01,0.0,1564.1,,,,,0.0,0.0,3790.8
37.01,0.0,1564.1,,,,,0.0,0.0,3790.8
38.01,0.0,1564.1,,,,,0.0,0.0,3790.8
39.01,0.0,1564.1,,,,,0.0,0.0,3790.8
40.01,0.0,1564.1,,,,,0.0,0.0,3790.8
41.01,0.0,1564.1,,,,,0.0,0.0,3790.8
42.01,0.0,1564.1,,,,,0.0,0.0,3790.8
43.01,0.0,1564.1,,,,,0.0,0.0,3790.8
44.01,0.0,1564.1,,,,,0.0,0.0,3790.8
45.01,0.0,1564.1,,,,,0.0,0.0,3790.8
46.01,0.0,1564.1,,,,,0.0,0.0,3790.8
47.01,0.0,1564.1,,,,,0.0,0.0,3790.8
48.01,0.0,1564.1,,,,,0.0,0.0,3790.8
49.01,0.0,1564.1,,,,,0.0,0.0,3790.8
50.01,0.0,1564.1,,,,,0.0,0.0,3790.8
51.01,0.0,1564.1,,,,,0.0,0.0,3790.8
52.01,0.0,1564.1,,,,,0.0,0.0,3790.8
53.01,0.0,1564.1,,,,,0.0,0.0,3790.8
54.01,0.0,1564.1,,,,,0.0,0.0,3790.8
55.01,0.0,1564.1,,,,,0.0,0.0,3790.8
56.01,0.0,1564.1,,,,,0.0,0.0,3790.8
57.01,0.0,1564.1,,,,,0.0,0.0,3790.8
58.01,0.0,1564.1,,,,,0.0,0.0,3790.8
59.01,0.0,1564.1,,,,,0.0,0.0,3790.8
60.01,0.0,1564.1,,,,,0.0,0.0,3790.8
61.01,0.0,1564.1,,,,,0.0,0.0,3790.8
62.01,0.0,1564.1,,,,,0.0,0.0,3790.8
63.01,0.0,1564.1,,,,,0.0,0.0,3790.8
64.01,0.0,1564.1,,,,,0.0,0.0,3790.8
65.01,0.0,1564.1,,,,,0.0,0.0,3790.8
66.01,0.0,1564.1,,,,,0.0,0.0,3790.8
67.01,0.0,1564.1,,,,,0.0,0.0,3790.8
68.01,0.0,1564.1,,,,,0.0,0.0,3790.8
69.01,0.0,1564.1,,,,,0.0,0.0,3790.8
70.01,0.0,1564.1,,,,,0.0,0.0,3790.8
71.01,0.0,1564.1,,,,,0.0,0.0,3790.8
72.01,0.0,1564.1,,,,,0.0,0.0,3790.8
73.01,0.0,1564.1,,,,,0.0,0.0,3790.8
74.01,0.0,1564.1,,,,,0.0,0.0,3790.8
75.01,0.0,1564.1,,,,,0.0,0.0,3790.8
76.01,0.0,1564.1,,,,,0.0,0.0,3790.8
77.01,0.0,1564.1,,,,,0.0,0.0,3790.8
78.01,0.0,1564.1,,,,,0.0,0.0,3790.8
79.01,0.0,1564.1,,,,,0.0,0.0,3790.8
80.01,0.0,1564.1,,,,,0.0,0.0,3790.8
81.01,0.0,1564.1,,,,,0.0,0.0,3790.8
82.01,0.0,1564.1,,,,,0.0,0.0,3790.8
