t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,1121.3
10.0,0.0,0.0,,,,,0.0,0.0,1121.3
11.0,0.0,0.0,,,,,0.0,0.0,1121.3
12.0,0.0,0.0,,,,,0.0,0.0,1121.3
13.0,0.0,0.0,,,,,0.0,0.0,1121.3
14.0,0.0,0.0,,,,,0.0,0.0,1121.3
15.0,0.0,0.0,,,,,0.0,0.0,1121.3
16.0,0.0,0.0,,,,,0.0,0.0,1121.3
17.0,0.11,161.9,,,,,0.21,0.0,2546.9
18.0,0.0,161.9,,,,,0.0,0.0,4055.8
19.0,0.0,868.1,,,,,0.01,0.0,3214.9
20.0,0.0,2248.4,,,,,0.0,0.0,2948.8
21.0,0.0,2248.6,,,,,0.0,0.0,2979.2
22.0,0.0,2248.6,,,,,0.0,0.0,2979.2
23.0,0.0,2248.6,,,,,0.0,0.0,3188.3
24.0,0.0,4313.7,,,,,0.0,0.0,3637.4
25.0,0.0,4389.9,,,,,0.0,0.0,3506.6
26.0,18.81,5770.2,,,,,37.62,0.0,3507.8
27.0,0.0,5770.2,,,,,0.0,0.0,3507.8
28.0,0.0,5770.2,,,,,0.0,0.0,3507.8
29.0,0.0,5787.1,,,,,0.0,0.0,3866.7
30.0,0.0,5848.5,,,,,0.0,0.0,3866.9
31.0,19.23,5869.4,,,,,38.46,0.0,3774.9
32.0,38.52,5179.0,,,,,77.04,0.0,3775.3
33.0,3.24,8668.3,,,,,6.48,0.0,3787.7
34.01,38.51,8668.6,,,,,77.02,0.0,3787.7
35.01,38.51,7978.2,,,,,77.03,0.0,3787.7
36.01,0.0,7978.2,,,,,0.0,0.0,4054.9
37.01,4.88,8736.1,,,,,9.77,0.0,3949.3
38.01,38.49,8736.3,,,,,76.98,0.0,3949.3
39.01,43.37,8736.1,,,,,86.74,0.0,3965.4
40.01,38.53,8736.3,,,,,77.06,0.0,3965.4
41.01,43.4,8736.1,,,,,86.8,0.0,3977.5
42.01,50.0,9426.2,,,,,100.0,0.0,3977.5
43.01,24.15,8736.3,,,,,48.3,0.0,3987.6
44.01,50.0,9426.2,,,,,100.0,0.0,3987.6
45.01,43.39,8736.1,,,,,86.78,0.0,4001.7
46.01,38.52,9426.2,,,,,77.04,0.0,4001.7
47.01,43.39,8736.3,,,,,86.77,0.0,4013.8
48.01,50.0,8736.1,,,,,100.0,0.0,4023.9
49.01,24.12,8736.3,,,,,48.24,0.0,4023.9
50.01,50.0,8736.1,,,,,100.0,0.0,4037.9
51.01,38.54,8736.3,,,,,77.08,0.0,4037.9
52.01,43.38,8736.1,,,,,86.76,0.0,4046.2
53.01,38.49,8736.3,,,,,76.98,0.0,4046.2
54.01,43.42,8736.1,,,,,86.83,0.0,4054.3
55.01,38.49,8736.3,,,,,76.98,0.0,4054.3
56.01,43.39,8736.1,,,,,86.78,0.0,4066.4
57.01,50.0,9426.2,,,,,100.0,0.0,4066.4
58.01,24.13,8736.3,,,,,48.27,0.0,4070.7
59.01,50.0,9426.2,,,,,100.0,0.0,4070.8
60.01,43.42,8736.3,,,,,86.84,0.0,4078.9
61.01,38.5,9426.2,,,,,77.0,0.0,4078.9
62.01,43.38,8736.3,,,,,86.75,0.0,4086.9
63.01,50.0,8736.1,,,,,100.0,0.0,4097.0
64.01,24.14,8736.3,,,,,48.28,0.0,4097.0
65.01,50.0,8736.1,,,,,100.0,0.0,4109.1
66.01,38.52,8736.3,,,,,77.04,0.0,4109.1
67.01,43.41,8736.1,,,,,86.81,0.0,4113.4
68.01,38.53,8736.3,,,,,77.07,0.0,4113.4
69.01,43.35,8736.1,,,,,86.7,0.0,4121.5
70.01,38.51,8736.3,,,,,77.02,0.0,4121.5
71.01,43.41,8736.3,,,,,86.82,0.0,4125.6
72.01,50.0,9426.2,,,,,100.0,0.0,4125.7
73.01,24.12,8736.3,,,,,48.24,0.0,4131.7
74.01,50.0,9426.2,,,,,100.0,0.0,4131.8
75.01,43.41,8736.3,,,,,86.81,0.0,4141.8
76.01,38.52,9426.2,,,,,77.04,0.0,4141.8
77.01,43.37,8736.3,,,,,86.74,0.0,4144.1
78.01,50.0,8736.1,,,,,100.0,0.0,4152.2
79.01,24.14,8736.3,,,,,48.27,0.0,4152.2
80.01,50.0,8736.1,,,,,100.0,0.0,4158.3
81.01,38.49,8736.3,,,,,76.99,0.0,4158.3
82.01,43.39,8736.1,,,,,86.77,0.0,4162.3
