t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,1121.3
10.0,0.0,0.0,,,,,0.0,0.0,1121.3
11.0,0.0,0.0,,,,,0.0,0.0,1121.3
12.0,0.0,0.0,,,,,0.0,0.0,1121.3
13.0,0.0,1.7,,,,,0.0,0.0,1235.4
14.0,0.0,1.7,,,,,0.0,0.0,1996.5
15.0,0.0,1.7,,,,,0.0,0.0,2509.0
16.0,0.0,1.7,,,,,0.0,0.0,2509.0
17.0,0.0,1.7,,,,,0.0,0.0,1520.1
18.0,0.11,161.9,,,,,0.21,0.0,2643.1
19.0,0.0,161.9,,,,,0.0,0.0,4046.7
20.0,0.0,1601.2,,,,,0.01,0.0,2910.7
21.0,0.0,2248.6,,,,,0.0,0.0,2926.3
22.0,0.0,2248.6,,,,,0.0,0.0,2941.4
23.0,0.0,2248.6,,,,,0.0,0.0,2941.4
24.0,0.0,2248.6,,,,,0.0,0.0,2941.4
25.0,0.0,2248.6,,,,,0.0,0.0,2941.4
26.0,0.0,2248.6,,,,,0.0,0.0,2941.4
27.0,0.0,2248.6,,,,,0.0,0.0,2941.4
28.0,0.0,2248.6,,,,,0.0,0.0,2941.4
29.01,0.0,2248.6,,,,,0.0,0.0,2941.4
30.01,0.0,2248.6,,,,,0.0,0.0,2941.4
31.01,0.0,2248.6,,,,,0.0,0.0,2941.4
32.01,0.0,2248.6,,,,,0.0,0.0,2941.4
33.01,0.0,2248.6,,,,,0.0,0.0,2941.4
34.01,0.0,2248.6,,,,,0.0,0.0,2941.4
35.01,0.0,2248.6,,,,,0.0,0.0,2941.4
36.01,0.0,2248.6,,,,,0.0,0.0,2941.4
37.01,0.0,2248.6,,,,,0.0,0.0,2941.4
38.01,0.0,2248.6,,,,,0.0,0.0,2941.4
39.01,0.0,2248.6,,,,,0.0,0.0,2941.4
40.01,0.0,2248.6,,,,,0.0,0.0,2941.4
41.01,0.0,2248.6,,,,,0.0,0.0,2941.4
42.01,0.0,2248.6,,,,,0.0,0.0,2941.4
43.01,0.0,2248.6,,,,,0.0,0.0,2941.4
44.01,0.0,2248.6,,,,,0.0,0.0,2941.4
45.01,0.0,2248.6,,,,,0.0,0.0,2941.4
46.01,0.0,2248.6,,,,,0.0,0.0,2941.4
47.01,0.0,2248.6,,,,,0.0,0.0,2941.4
48.01,0.0,2248.6,,,,,0.0,0.0,2941.4
49.01,0.0,2248.6,,,,,0.0,0.0,2941.4
50.01,0.0,2248.6,,,,,0.0,0.0,2941.4
51.01,0.0,2248.6,,,,,0.0,0.0,2941.4
52.01,0.0,2248.6,,,,,0.0,0.0,2941.4
53.01,0.0,2248.6,,,,,0.0,0.0,2941.4
54.01,0.0,2248.6,,,,,0.0,0.0,2941.4
55.01,0.0,2248.6,,,,,0.0,0.0,2941.4
56.01,0.0,2248.6,,,,,0.0,0.0,2941.4
57.01,0.0,2248.6,,,,,0.0,0.0,2941.4
58.01,0.0,2248.6,,,,,0.0,0.0,2941.4
59.01,0.0,2248.6,,,,,0.0,0.0,2941.4
60.01,0.0,2248.6,,,,,0.0,0.0,2941.4
61.01,0.0,2248.6,,,,,0.0,0.0,2941.4
62.01,0.0,2248.6,,,,,0.0,0.0,2941.4
63.01,0.0,2248.6,,,,,0.0,0.0,2941.4
64.01,0.0,2248.6,,,,,0.0,0.0,2941.4
65.01,0.0,2248.6,,,,,0.0,0.0,2941.4
66.01,0.0,2248.6,,,,,0.0,0.0,2941.4
67.01,0.0,2248.6,,,,,0.0,0.0,2941.4
68.01,0.0,2248.6,,,,,0.0,0.0,2941.4
69.01,0.0,2248.6,,,,,0.0,0.0,2941.4
70.01,0.0,2248.6,,,,,0.0,0.0,2941.4
71.01,0.0,2248.6,,,,,0.0,0.0,2941.4
72.01,0.0,2248.6,,,,,0.0,0.0,2941.4
73.01,0.0,2248.6,,,,,0.0,0.0,2941.4
74.01,0.0,2248.6,,,,,0.0,0.0,2941.4
75.01,0.0,2248.6,,,,,0.0,0.0,2941.4
76.01,0.0,2248.6,,,,,0.0,0.0,2941.4
77.01,0.0,2248.6,,,,,0.0,0.0,2941.4
78.01,0.0,2248.6,,,,,0.0,0.0,2941.4
79.01,0.0,2248.6,,,,,0.0,0.0,2941.4
80.01,0.0,2248.6,,,,,0.0,0.0,2941.4
81.01,0.0,2248.6,,,,,0.0,0.0,2941.4
82.02,0.0,2248.6,,,,,0.0,0.0,2941.4
