t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,2208.7
23.0,0.0,0.0,,,,,0.0,0.0,2208.7
24.0,0.0,0.0,,,,,0.0,0.0,2208.7
25.0,0.0,0.0,,,,,0.0,0.0,2208.7
26.0,0.0,0.0,,,,,0.0,0.0,2208.7
27.0,0.0,0.0,,,,,0.0,0.0,2208.7
28.0,0.0,3.4,,,,,0.0,0.0,2214.1
29.0,0.21,356.0,,,,,0.21,0.21,2687.4
30.0,0.0,356.0,,,,,0.0,0.0,3484.9
31.0,0.0,356.0,,,,,0.0,0.0,4925.0
32.0,0.0,356.0,,,,,0.0,0.0,5565.8
33.0,0.0,356.0,,,,,0.0,0.0,7024.0
34.0,0.0,356.0,,,,,0.0,0.0,7659.6
35.01,0.0,356.0,,,,,0.0,0.0,8891.3
36.01,0.0,356.0,,,,,0.0,0.0,9762.1
37.01,0.0,356.0,,,,,0.0,0.0,10994.3
38.01,0.0,356.0,,,,,0.0,0.0,11861.4
39.01,0.0,356.0,,,,,0.0,0.0,13094.4
40.01,0.0,356.0,,,,,0.0,0.0,13956.3
41.01,0.0,356.0,,,,,0.0,0.0,15185.1
42.01,0.0,356.0,,,,,0.0,0.0,16055.5
43.01,0.0,356.0,,,,,0.0,0.0,17537.2
44.01,0.0,356.0,,,,,0.0,0.0,17805.0
45.01,0.0,356.0,,,,,0.0,0.0,18176.0
46.01,0.0,356.0,,,,,0.0,0.0,18379.9
47.01,0.0,356.0,,,,,0.0,0.0,18301.4
48.01,0.0,356.0,,,,,0.0,0.0,17822.4
49.01,0.0,356.0,,,,,0.0,0.0,18191.9
50.01,0.0,356.0,,,,,0.0,0.0,18379.9
51.01,0.0,356.0,,,,,0.0,0.0,17981.6
52.01,0.0,356.0,,,,,0.0,0.0,17837.3
53.01,0.0,356.0,,,,,0.0,0.0,18207.9
54.01,0.0,356.0,,,,,0.0,0.0,18394.5
55.01,0.0,356.0,,,,,0.0,0.0,17604.9
56.01,0.0,356.0,,,,,0.0,0.0,17858.0
57.01,0.0,356.0,,,,,0.0,0.0,18232.4
58.01,0.0,356.0,,,,,0.0,0.0,18436.0
59.01,0.0,356.0,,,,,0.0,0.0,17516.4
60.01,0.0,356.0,,,,,0.0,0.0,17891.5
61.01,0.0,356.0,,,,,0.0,0.0,18266.4
62.01,0.0,356.0,,,,,0.0,0.0,18509.7
63.01,0.0,356.0,,,,,0.0,0.0,17557.3
64.01,0.0,356.0,,,,,0.0,0.0,17935.3
65.01,0.0,356.0,,,,,0.0,0.0,18312.1
66.01,0.0,356.0,,,,,0.0,0.0,18609.2
67.01,0.0,356.0,,,,,0.0,0.0,17595.0
68.01,0.0,356.0,,,,,0.0,0.0,17969.3
69.01,0.0,356.0,,,,,0.0,0.0,18342.5
70.01,0.0,356.0,,,,,0.0,0.0,18399.9
71.01,0.0,356.0,,,,,0.0,0.0,19020.4
72.01,0.0,356.0,,,,,0.0,0.0,19652.7
73.01,0.0,356.0,,,,,0.0,0.0,20023.4
74.01,0.0,356.0,,,,,0.0,0.0,20524.5
75.01,0.0,356.0,,,,,0.0,0.0,21025.8
76.01,0.0,356.0,,,,,0.0,0.0,21527.9
77.01,0.0,356.0,,,,,0.0,0.0,22028.0
78.01,0.0,356.0,,,,,0.0,0.0,22528.5
79.01,0.0,356.0,,,,,0.0,0.0,23028.5
80.01,0.0,356.0,,,,,0.0,0.0,23529.0
81.01,0.0,356.0,,,,,0.0,0.0,24108.0
82.01,0.0,356.0,,,,,0.0,0.0,24806.4
83.01,0.0,356.0,,,,,0.0,0.0,25476.2
84.01,0.0,356.0,,,,,0.0,0.0,26182.5
