t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2139.4
9.0,0.0,0.0,,,,,0.0,0.0,2139.4
10.0,0.0,0.0,,,,,0.0,0.0,2139.4
11.0,0.0,0.0,,,,,0.0,0.0,2139.4
12.0,0.0,0.0,,,,,0.0,0.0,2139.4
13.0,0.0,0.0,,,,,0.0,0.0,2139.4
14.0,0.0,0.0,,,,,0.0,0.0,2139.4
15.0,0.0,0.0,,,,,0.0,0.0,2139.4
16.0,0.0,0.0,,,,,0.0,0.0,2139.4
17.0,0.0,1.7,,,,,0.0,0.0,2140.3
18.0,0.0,1.7,,,,,0.0,0.0,2140.3
19.0,0.0,1.7,,,,,0.0,0.0,2140.3
20.0,0.0,1.7,,,,,0.0,0.0,2140.3
21.0,0.0,1.7,,,,,0.0,0.0,2140.3
22.0,0.0,1.7,,,,,0.0,0.0,2140.3
23.0,0.0,1.7,,,,,0.0,0.0,2140.3
24.0,0.0,1.7,,,,,0.0,0.0,2140.3
25.0,0.0,1.7,,,,,0.0,0.0,2140.3
26.0,0.0,1.7,,,,,0.0,0.0,2140.3
27.0,0.0,3.4,,,,,0.0,0.0,2221.6
28.0,0.0,3.4,,,,,0.0,0.0,2425.5
29.0,0.0,3.4,,,,,0.0,0.0,2382.7
30.0,0.21,356.0,,,,,0.21,0.21,2529.1
31.0,0.0,356.0,,,,,0.0,0.0,5051.4
32.0,0.0,356.0,,,,,0.0,0.0,8218.1
33.0,0.0,356.0,,,,,0.0,0.0,11407.1
34.0,0.0,356.0,,,,,0.0,0.0,14595.6
35.0,0.0,356.0,,,,,0.0,0.0,17784.3
36.0,0.0,356.0,,,,,0.0,0.0,20953.4
37.01,0.0,356.0,,,,,0.0,0.0,24150.0
38.01,0.0,356.0,,,,,0.0,0.0,27265.1
39.01,0.0,356.0,,,,,0.0,0.0,30383.8
40.01,0.0,356.0,,,,,0.0,0.0,31110.1
41.01,0.0,356.0,,,,,0.0,0.0,31107.0
42.01,0.0,356.0,,,,,0.0,0.0,31107.8
43.01,0.0,356.0,,,,,0.0,0.0,31110.5
44.01,0.0,356.0,,,,,0.0,0.0,30956.7
45.01,0.0,356.0,,,,,0.0,0.0,31069.6
46.01,0.0,356.0,,,,,0.0,0.0,31002.1
47.01,0.0,356.0,,,,,0.0,0.0,30231.0
48.01,0.0,356.0,,,,,0.0,0.0,30258.4
49.01,0.0,356.0,,,,,0.0,0.0,30540.2
50.01,0.0,356.0,,,,,0.0,0.0,30475.3
51.01,0.0,356.0,,,,,0.0,0.0,30139.7
52.01,0.0,356.0,,,,,0.0,0.0,30596.7
53.01,0.0,356.0,,,,,0.0,0.0,29752.9
54.01,0.0,356.0,,,,,0.0,0.0,30240.0
55.01,0.0,356.0,,,,,0.0,0.0,30609.8
56.01,0.0,356.0,,,,,0.0,0.0,29862.0
57.01,0.0,356.0,,,,,0.0,0.0,30348.8
58.01,0.0,356.0,,,,,0.0,0.0,30668.6
59.01,0.0,356.0,,,,,0.0,0.0,29961.5
60.01,0.0,356.0,,,,,0.0,0.0,30434.5
61.01,0.0,356.0,,,,,0.0,0.0,30603.5
62.01,0.0,356.0,,,,,0.0,0.0,29865.6
63.01,0.0,356.0,,,,,0.0,0.0,30349.9
64.01,0.0,356.0,,,,,0.0,0.0,30786.4
65.01,0.0,356.0,,,,,0.0,0.0,29924.5
66.01,0.0,356.0,,,,,0.0,0.0,30377.3
67.01,0.0,356.0,,,,,0.0,0.0,30798.1
68.01,0.0,356.0,,,,,0.0,0.0,29896.1
69.01,0.0,356.0,,,,,0.0,0.0,30274.6
70.01,0.0,356.0,,,,,0.0,0.0,30440.0
71.01,0.0,356.0,,,,,0.0,0.0,29916.4
72.02,0.0,356.0,,,,,0.0,0.0,29808.5
73.02,0.0,356.0,,,,,0.0,0.0,29912.8
74.02,0.0,356.0,,,,,0.0,0.0,29998.6
75.02,0.0,356.0,,,,,0.0,0.0,30082.2
76.02,0.0,356.0,,,,,0.0,0.0,30176.6
77.02,0.0,356.0,,,,,0.0,0.0,30205.6
78.02,0.0,356.0,,,,,0.0,0.0,30189.3
79.02,0.0,356.0,,,,,0.0,0.0,30301.6
80.02,0.0,356.0,,,,,0.0,0.0,30275.5
81.02,0.0,356.0,,,,,0.0,0.0,30586.7
82.02,0.0,356.0,,,,,0.0,0.0,31101.5
83.02,0.0,356.0,,,,,0.0,0.0,31314.0
84.02,0.0,356.0,,,,,0.0,0.0,30934.4
