t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2142.4
10.0,0.0,0.0,,,,,0.0,0.0,2142.4
11.0,0.0,0.0,,,,,0.0,0.0,2142.4
12.0,0.0,0.0,,,,,0.0,0.0,2142.4
13.0,0.0,1.7,,,,,0.0,0.0,2143.3
14.0,0.0,1.7,,,,,0.0,0.0,2143.3
15.0,0.0,1.7,,,,,0.0,0.0,2143.3
16.0,0.0,1.7,,,,,0.0,0.0,2143.3
17.0,0.0,1.7,,,,,0.0,0.0,2143.3
18.0,0.0,1.7,,,,,0.0,0.0,2143.3
19.0,0.0,1.7,,,,,0.0,0.0,2143.3
20.0,0.0,1.7,,,,,0.0,0.0,2143.3
21.0,0.0,3.4,,,,,0.0,0.0,2146.7
22.0,0.0,3.4,,,,,0.0,0.0,2221.2
23.0,0.0,3.4,,,,,0.0,0.0,2383.9
24.0,0.0,3.4,,,,,0.0,0.0,2385.7
25.0,0.21,356.0,,,,,0.21,0.21,2530.1
26.0,0.0,356.0,,,,,0.0,0.0,4257.0
27.0,0.0,356.0,,,,,0.0,0.0,7372.0
28.0,0.0,356.0,,,,,0.0,0.0,10555.8
29.0,0.0,356.0,,,,,0.0,0.0,13746.9
30.0,0.0,356.0,,,,,0.0,0.0,16917.1
31.0,0.0,356.0,,,,,0.0,0.0,20078.7
32.0,0.0,356.0,,,,,0.0,0.0,23271.8
33.01,0.0,356.0,,,,,0.0,0.0,26368.9
34.03,0.0,356.0,,,,,0.0,0.0,28134.1
35.03,0.0,356.0,,,,,0.0,0.0,28122.8
36.03,0.0,356.0,,,,,0.0,0.0,28126.0
37.03,0.0,356.0,,,,,0.0,0.0,28121.0
38.03,0.0,356.0,,,,,0.0,0.0,28130.5
39.03,0.0,356.0,,,,,0.0,0.0,28126.3
40.03,0.0,356.0,,,,,0.0,0.0,28121.6
41.03,0.0,356.0,,,,,0.0,0.0,28126.0
42.03,0.0,356.0,,,,,0.0,0.0,27884.0
43.03,0.0,356.0,,,,,0.0,0.0,28077.9
44.03,0.0,356.0,,,,,0.0,0.0,28126.5
45.03,0.0,356.0,,,,,0.0,0.0,27246.9
46.03,0.0,356.0,,,,,0.0,0.0,27515.9
47.03,0.0,356.0,,,,,0.0,0.0,27634.9
48.03,0.0,356.0,,,,,0.0,0.0,27860.7
49.03,0.0,356.0,,,,,0.0,0.0,28131.5
50.03,0.0,356.0,,,,,0.0,0.0,27704.2
51.03,0.0,356.0,,,,,0.0,0.0,27133.7
52.03,0.0,356.0,,,,,0.0,0.0,27433.3
53.03,0.0,356.0,,,,,0.0,0.0,27853.3
54.03,0.0,356.0,,,,,0.0,0.0,27059.5
55.03,0.0,356.0,,,,,0.0,0.0,27550.3
56.03,0.0,356.0,,,,,0.0,0.0,27190.6
57.03,0.0,356.0,,,,,0.0,0.0,27185.8
58.03,0.0,356.0,,,,,0.0,0.0,27603.1
59.03,0.0,356.0,,,,,0.0,0.0,26816.6
60.03,0.0,356.0,,,,,0.0,0.0,27298.2
61.03,0.0,356.0,,,,,0.0,0.0,27474.0
62.03,0.0,356.0,,,,,0.0,0.0,26715.8
63.04,0.0,356.0,,,,,0.0,0.0,27171.1
64.04,0.0,356.0,,,,,0.0,0.0,27474.0
65.04,0.0,356.0,,,,,0.0,0.0,26661.6
66.04,0.0,356.0,,,,,0.0,0.0,27153.0
67.04,0.0,356.0,,,,,0.0,0.0,27480.7
68.04,0.0,356.0,,,,,0.0,0.0,27593.1
69.04,0.0,356.0,,,,,0.0,0.0,27707.1
70.04,0.0,356.0,,,,,0.0,0.0,27820.5
71.04,0.0,356.0,,,,,0.0,0.0,27932.7
72.04,0.0,356.0,,,,,0.0,0.0,28029.2
73.04,0.0,356.0,,,,,0.0,0.0,28011.3
74.04,0.0,356.0,,,,,0.0,0.0,27928.4
75.04,0.0,356.0,,,,,0.0,0.0,27847.4
76.04,0.0,356.0,,,,,0.0,0.0,28048.7
77.04,0.0,356.0,,,,,0.0,0.0,28546.0
78.04,0.0,356.0,,,,,0.0,0.0,29048.1
79.04,0.0,356.0,,,,,0.0,0.0,29594.6
80.04,0.0,356.0,,,,,0.0,0.0,30059.3
81.04,0.0,356.0,,,,,0.0,0.0,30353.2
82.04,0.0,356.0,,,,,0.0,0.0,30803.3
83.04,0.0,356.0,,,,,0.0,0.0,31506.3
84.04,0.0,356.0,,,,,0.0,0.0,31691.0
