t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,2126.7
18.0,0.0,0.0,,,,,0.0,0.0,2126.7
19.0,0.0,0.0,,,,,0.0,0.0,2126.7
20.0,0.0,0.0,,,,,0.0,0.0,2126.7
21.0,0.0,0.0,,,,,0.0,0.0,2126.7
22.0,0.0,0.0,,,,,0.0,0.0,2126.7
23.0,0.0,3.4,,,,,0.0,0.0,2167.0
24.0,0.0,3.4,,,,,0.0,0.0,2226.0
25.0,0.0,3.4,,,,,0.0,0.0,2368.9
26.0,0.0,3.4,,,,,0.0,0.0,2369.0
27.0,0.21,356.0,,,,,0.21,0.21,2513.9
28.0,0.0,356.0,,,,,0.0,0.0,4986.9
29.0,0.0,356.0,,,,,0.0,0.0,8145.3
30.0,0.0,356.0,,,,,0.0,0.0,11316.8
31.0,0.0,356.0,,,,,0.0,0.0,14483.1
32.0,0.0,356.0,,,,,0.0,0.0,17652.0
33.0,0.0,356.0,,,,,0.0,0.0,20820.6
34.0,0.0,356.0,,,,,0.0,0.0,23971.6
35.01,0.0,356.0,,,,,0.0,0.0,26905.5
36.01,0.0,356.0,,,,,0.0,0.0,30026.1
37.01,0.0,356.0,,,,,0.0,0.0,30887.2
38.01,0.0,356.0,,,,,0.0,0.0,30887.0
39.01,0.0,356.0,,,,,0.0,0.0,30885.3
40.01,0.0,356.0,,,,,0.0,0.0,30882.4
41.01,0.0,356.0,,,,,0.0,0.0,30890.1
42.01,0.0,356.0,,,,,0.0,0.0,30742.6
43.01,0.0,356.0,,,,,0.0,0.0,30882.3
44.01,0.0,356.0,,,,,0.0,0.0,29936.8
45.01,0.0,356.0,,,,,0.0,0.0,30407.3
46.01,0.0,356.0,,,,,0.0,0.0,30798.5
47.01,0.0,356.0,,,,,0.0,0.0,29822.7
48.01,0.0,356.0,,,,,0.0,0.0,30305.8
49.01,0.0,356.0,,,,,0.0,0.0,30447.6
50.01,0.0,356.0,,,,,0.0,0.0,29936.1
51.01,0.0,356.0,,,,,0.0,0.0,30401.6
52.01,0.0,356.0,,,,,0.0,0.0,30220.7
53.01,0.0,356.0,,,,,0.0,0.0,30043.7
54.01,0.0,356.0,,,,,0.0,0.0,30440.6
55.01,0.0,356.0,,,,,0.0,0.0,29686.6
56.01,0.0,356.0,,,,,0.0,0.0,30181.6
57.01,0.0,356.0,,,,,0.0,0.0,30519.7
58.01,0.0,356.0,,,,,0.0,0.0,29627.7
59.01,0.0,356.0,,,,,0.0,0.0,29949.8
60.01,0.0,356.0,,,,,0.0,0.0,30222.2
61.01,0.0,356.0,,,,,0.0,0.0,29317.3
62.01,0.0,356.0,,,,,0.0,0.0,29778.6
63.01,0.0,356.0,,,,,0.0,0.0,30076.8
64.01,0.0,356.0,,,,,0.0,0.0,29185.9
65.01,0.0,356.0,,,,,0.0,0.0,29603.3
66.01,0.0,356.0,,,,,0.0,0.0,29947.6
67.01,0.0,356.0,,,,,0.0,0.0,29900.0
68.01,0.0,356.0,,,,,0.0,0.0,29788.6
69.01,0.0,356.0,,,,,0.0,0.0,29376.3
70.01,0.0,356.0,,,,,0.0,0.0,28893.7
71.01,0.0,356.0,,,,,0.0,0.0,28934.7
72.01,0.0,356.0,,,,,0.0,0.0,29064.4
73.01,0.0,356.0,,,,,0.0,0.0,29238.4
74.01,0.0,356.0,,,,,0.0,0.0,29359.3
75.01,0.0,356.0,,,,,0.0,0.0,29533.6
76.01,0.0,356.0,,,,,0.0,0.0,29706.5
77.01,0.0,356.0,,,,,0.0,0.0,29660.9
78.01,0.0,356.0,,,,,0.0,0.0,29688.9
79.01,0.0,356.0,,,,,0.0,0.0,29920.9
80.01,0.0,356.0,,,,,0.0,0.0,30248.1
81.01,0.0,356.0,,,,,0.0,0.0,30241.6
82.01,0.0,356.0,,,,,0.0,0.0,30637.9
83.01,0.0,356.0,,,,,0.0,0.0,31061.3
84.01,0.0,356.0,,,,,0.0,0.0,31228.8
