t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2133.0
9.0,0.0,0.0,,,,,0.0,0.0,2133.0
10.0,0.0,0.0,,,,,0.0,0.0,2133.0
11.0,0.0,0.0,,,,,0.0,0.0,2133.0
12.0,0.0,0.0,,,,,0.0,0.0,2133.0
13.0,0.0,3.4,,,,,0.0,0.0,2142.0
14.0,0.0,3.4,,,,,0.0,0.0,2237.6
15.0,0.0,3.4,,,,,0.0,0.0,2238.8
16.0,0.0,3.4,,,,,0.0,0.0,2475.3
17.0,0.0,3.4,,,,,0.0,0.0,2479.1
18.0,0.0,3.4,,,,,0.0,0.0,2479.1
19.0,0.0,3.4,,,,,0.0,0.0,2479.1
20.0,0.0,163.6,,,,,0.0,0.0,2526.0
21.0,0.0,163.6,,,,,0.0,0.0,3506.1
22.0,0.22,356.0,,,,,0.21,0.22,5604.4
23.0,0.0,356.0,,,,,0.0,0.0,8740.6
24.0,0.0,356.0,,,,,0.0,0.0,12007.7
25.0,0.0,356.0,,,,,0.0,0.0,11798.3
26.0,0.0,356.0,,,,,0.0,0.0,13017.8
27.0,0.0,356.0,,,,,0.0,0.0,9865.5
28.0,0.0,356.0,,,,,0.0,0.0,9499.6
29.0,0.0,356.0,,,,,0.0,0.0,9484.0
30.0,0.0,356.0,,,,,0.0,0.0,9831.9
31.0,0.0,356.0,,,,,0.0,0.0,10840.8
32.0,0.0,356.0,,,,,0.0,0.0,11334.5
33.0,0.0,356.0,,,,,0.0,0.0,11856.2
34.0,0.0,356.0,,,,,0.0,0.0,12374.2
35.0,0.0,356.0,,,,,0.0,0.0,12852.1
36.01,0.0,356.0,,,,,0.0,0.0,13234.8
37.01,0.0,356.0,,,,,0.0,0.0,13669.5
38.01,0.0,356.0,,,,,0.0,0.0,14526.9
39.01,0.0,356.0,,,,,0.0,0.0,15164.6
40.01,0.0,356.0,,,,,0.0,0.0,15855.0
41.01,0.0,356.0,,,,,0.0,0.0,16543.3
42.01,0.0,356.0,,,,,0.0,0.0,16666.8
43.01,0.01,356.3,,,,,0.01,0.01,9460.9
44.01,0.0,356.3,,,,,0.0,0.0,9884.0
45.01,0.0,356.3,,,,,0.0,0.0,13057.8
46.01,0.0,356.3,,,,,0.0,0.0,16369.8
47.01,0.0,356.3,,,,,0.0,0.0,19479.4
48.01,0.0,356.3,,,,,0.0,0.0,22691.1
49.01,0.0,356.3,,,,,0.0,0.0,18595.5
50.01,0.0,356.3,,,,,0.0,0.0,17779.4
51.01,0.0,356.3,,,,,0.0,0.0,16915.3
52.01,0.0,356.3,,,,,0.0,0.0,16902.4
53.01,0.0,356.3,,,,,0.0,0.0,23792.7
54.01,0.0,356.3,,,,,0.0,0.0,20138.3
55.01,0.01,356.3,,,,,0.01,0.01,7641.5
