t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,2136.9
18.0,0.0,0.0,,,,,0.0,0.0,2136.9
19.0,0.0,0.0,,,,,0.0,0.0,2136.9
20.0,0.0,0.0,,,,,0.0,0.0,2136.9
21.0,0.0,0.0,,,,,0.0,0.0,2136.9
22.0,0.0,0.0,,,,,0.0,0.0,2136.9
23.0,0.0,3.4,,,,,0.0,0.0,2139.0
24.0,0.0,3.4,,,,,0.0,0.0,2196.7
25.0,0.0,3.4,,,,,0.0,0.0,2237.4
26.0,0.0,3.4,,,,,0.0,0.0,2389.8
27.0,0.0,3.4,,,,,0.0,0.0,2490.4
28.0,0.0,323.9,,,,,0.0,0.0,2590.9
29.0,0.21,356.0,,,,,0.21,0.21,4122.2
30.0,0.0,356.0,,,,,0.0,0.0,7228.2
31.0,0.0,356.0,,,,,0.0,0.0,10389.7
32.0,0.0,356.0,,,,,0.0,0.0,13541.9
33.0,0.0,356.0,,,,,0.0,0.0,16721.0
34.0,0.0,356.0,,,,,0.0,0.0,19907.1
35.01,0.0,356.0,,,,,0.0,0.0,23093.6
36.01,0.0,356.0,,,,,0.0,0.0,26224.9
37.01,0.0,356.0,,,,,0.0,0.0,29041.5
38.01,0.0,356.0,,,,,0.0,0.0,30619.3
39.01,0.0,356.0,,,,,0.0,0.0,30609.6
40.01,0.0,356.0,,,,,0.0,0.0,30603.3
41.01,0.0,356.0,,,,,0.0,0.0,30607.0
42.01,0.0,356.0,,,,,0.0,0.0,30613.7
43.01,0.0,356.0,,,,,0.0,0.0,30604.8
44.01,0.0,356.0,,,,,0.0,0.0,30591.1
45.01,0.0,356.0,,,,,0.0,0.0,30594.1
46.01,0.0,356.0,,,,,0.0,0.0,29478.3
47.01,0.0,356.0,,,,,0.0,0.0,29772.9
48.01,0.0,356.0,,,,,0.0,0.0,30156.3
49.01,0.0,356.0,,,,,0.0,0.0,29371.8
50.01,0.0,356.0,,,,,0.0,0.0,29853.2
51.01,0.0,356.0,,,,,0.0,0.0,30233.6
52.01,0.0,356.0,,,,,0.0,0.0,29476.6
53.01,0.0,356.0,,,,,0.0,0.0,29962.9
54.01,0.0,356.0,,,,,0.0,0.0,30361.8
55.01,0.0,356.0,,,,,0.0,0.0,29590.5
56.01,0.0,356.0,,,,,0.0,0.0,30075.1
57.01,0.0,356.0,,,,,0.0,0.0,29876.2
58.01,0.0,356.0,,,,,0.0,0.0,29719.8
59.01,0.0,356.0,,,,,0.0,0.0,30138.3
60.01,0.0,356.0,,,,,0.0,0.0,29354.6
61.01,0.0,356.0,,,,,0.0,0.0,29844.3
62.01,0.0,356.0,,,,,0.0,0.0,30014.2
63.01,0.0,356.0,,,,,0.0,0.0,29239.2
64.01,0.0,356.0,,,,,0.0,0.0,29709.8
65.01,0.0,356.0,,,,,0.0,0.0,30053.8
66.01,0.0,356.0,,,,,0.0,0.0,29294.2
67.01,0.0,356.0,,,,,0.0,0.0,29750.3
68.01,0.0,356.0,,,,,0.0,0.0,30031.3
69.01,0.0,356.0,,,,,0.0,0.0,30264.4
70.01,0.0,356.0,,,,,0.0,0.0,29725.4
71.01,0.0,356.0,,,,,0.0,0.0,29259.0
72.01,0.0,356.0,,,,,0.0,0.0,29102.5
73.01,0.0,356.0,,,,,0.0,0.0,29201.7
74.01,0.0,356.0,,,,,0.0,0.0,29394.3
75.01,0.0,356.0,,,,,0.0,0.0,29496.4
76.01,0.0,356.0,,,,,0.0,0.0,29611.2
77.02,0.0,356.0,,,,,0.0,0.0,29741.1
78.02,0.0,356.0,,,,,0.0,0.0,29810.9
79.02,0.0,356.0,,,,,0.0,0.0,29933.1
80.02,0.0,356.0,,,,,0.0,0.0,30184.2
81.02,0.0,356.0,,,,,0.0,0.0,30594.1
82.02,0.0,356.0,,,,,0.0,0.0,30966.3
83.02,0.0,356.0,,,,,0.0,0.0,31386.3
84.02,0.0,356.0,,,,,0.0,0.0,31154.5
