t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2205.4
9.0,0.0,0.0,,,,,0.0,0.0,2205.4
10.0,0.0,0.0,,,,,0.0,0.0,2205.4
11.0,0.0,0.0,,,,,0.0,0.0,2205.4
12.0,0.0,0.0,,,,,0.0,0.0,2205.4
13.0,0.0,0.0,,,,,0.0,0.0,2205.4
14.0,0.0,3.4,,,,,0.0,0.0,2299.6
15.0,0.0,3.4,,,,,0.0,0.0,2447.8
16.0,0.0,3.4,,,,,0.0,0.0,2561.5
17.0,0.0,3.4,,,,,0.0,0.0,2561.6
18.0,0.21,356.0,,,,,0.21,0.21,3137.3
19.0,0.0,356.0,,,,,0.0,0.0,6236.7
20.0,0.0,356.0,,,,,0.0,0.0,9140.7
21.0,0.0,356.0,,,,,0.0,0.0,12299.2
22.0,0.0,356.0,,,,,0.0,0.0,15403.5
23.0,0.0,356.0,,,,,0.0,0.0,18561.7
24.0,0.0,356.0,,,,,0.0,0.0,21722.6
25.0,0.0,356.0,,,,,0.0,0.0,24893.7
26.0,0.0,356.0,,,,,0.0,0.0,28038.0
27.01,0.0,356.0,,,,,0.0,0.0,29266.9
28.01,0.0,356.0,,,,,0.0,0.0,29272.2
29.01,0.0,356.0,,,,,0.0,0.0,29282.7
30.01,0.0,356.0,,,,,0.0,0.0,29283.1
31.01,0.0,356.0,,,,,0.0,0.0,29279.8
32.01,0.0,356.0,,,,,0.0,0.0,29267.3
33.01,0.0,356.0,,,,,0.0,0.0,29266.8
34.01,0.0,356.0,,,,,0.0,0.0,29070.0
35.01,0.0,356.0,,,,,0.0,0.0,28578.6
36.01,0.0,356.0,,,,,0.0,0.0,28266.0
37.01,0.0,356.0,,,,,0.0,0.0,28895.4
38.01,0.0,356.0,,,,,0.0,0.0,29069.8
39.01,0.0,356.0,,,,,0.0,0.0,28269.9
40.01,0.0,356.0,,,,,0.0,0.0,28671.6
41.01,0.0,356.0,,,,,0.0,0.0,29031.0
42.01,0.0,356.0,,,,,0.0,0.0,29261.7
43.01,0.0,356.0,,,,,0.0,0.0,29273.9
44.01,0.0,356.0,,,,,0.0,0.0,28161.2
45.01,0.0,356.0,,,,,0.0,0.0,28374.7
46.01,0.0,356.0,,,,,0.0,0.0,28590.9
47.01,0.0,356.0,,,,,0.0,0.0,27889.2
48.01,0.0,356.0,,,,,0.0,0.0,28195.2
49.01,0.0,356.0,,,,,0.0,0.0,28591.1
50.01,0.0,356.0,,,,,0.0,0.0,27814.1
51.01,0.0,356.0,,,,,0.0,0.0,28284.6
52.01,0.0,356.0,,,,,0.0,0.0,28608.2
53.01,0.0,356.0,,,,,0.0,0.0,27915.4
54.01,0.0,356.0,,,,,0.0,0.0,28412.5
55.01,0.0,356.0,,,,,0.0,0.0,28490.5
56.01,0.0,356.0,,,,,0.0,0.0,27787.3
57.01,0.0,356.0,,,,,0.0,0.0,28275.5
58.01,0.0,356.0,,,,,0.0,0.0,28717.1
59.01,0.0,356.0,,,,,0.0,0.0,27993.4
60.01,0.0,356.0,,,,,0.0,0.0,28850.6
61.01,0.0,356.0,,,,,0.0,0.0,29033.6
62.01,0.0,356.0,,,,,0.0,0.0,28614.5
63.01,0.0,356.0,,,,,0.0,0.0,28269.1
64.01,0.0,356.0,,,,,0.0,0.0,27873.8
65.01,0.0,356.0,,,,,0.0,0.0,27248.7
66.01,0.0,356.0,,,,,0.0,0.0,26756.2
67.01,0.0,356.0,,,,,0.0,0.0,26111.8
68.01,0.0,356.0,,,,,0.0,0.0,25977.0
69.01,0.0,356.0,,,,,0.0,0.0,26024.2
70.01,0.0,356.0,,,,,0.0,0.0,26030.3
71.01,0.0,356.0,,,,,0.0,0.0,26386.9
72.01,0.0,356.0,,,,,0.0,0.0,26833.7
73.01,0.0,356.0,,,,,0.0,0.0,27247.3
74.01,0.0,356.0,,,,,0.0,0.0,27679.4
75.01,0.0,356.0,,,,,0.0,0.0,28138.7
76.01,0.0,356.0,,,,,0.0,0.0,28361.2
77.01,0.0,356.0,,,,,0.0,0.0,29040.1
78.01,0.0,356.0,,,,,0.0,0.0,29188.9
79.01,0.0,356.0,,,,,0.0,0.0,29337.5
80.01,0.0,356.0,,,,,0.0,0.0,29544.9
81.01,0.0,356.0,,,,,0.0,0.0,29733.4
82.02,0.0,356.0,,,,,0.0,0.0,29918.5
83.02,0.0,356.0,,,,,0.0,0.0,29863.6
84.02,0.0,356.0,,,,,0.0,0.0,29839.5
