t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2108.1
15.0,0.0,0.0,,,,,0.0,0.0,2108.1
16.0,0.0,0.0,,,,,0.0,0.0,2108.1
17.0,0.0,0.0,,,,,0.0,0.0,2108.1
18.0,0.0,0.0,,,,,0.0,0.0,2108.1
19.0,0.0,0.0,,,,,0.0,0.0,2108.1
20.0,0.0,3.4,,,,,0.0,0.0,2162.4
21.0,0.0,3.4,,,,,0.0,0.0,2207.0
22.0,0.0,3.4,,,,,0.0,0.0,2346.2
23.0,0.0,3.4,,,,,0.0,0.0,2460.0
24.0,0.0,323.9,,,,,0.0,0.0,2583.6
25.0,0.21,356.0,,,,,0.21,0.21,4188.7
26.0,0.0,356.0,,,,,0.0,0.0,7273.3
27.0,0.0,356.0,,,,,0.0,0.0,10403.9
28.0,0.0,356.0,,,,,0.0,0.0,13549.0
29.0,0.0,356.0,,,,,0.0,0.0,16693.6
30.0,0.0,356.0,,,,,0.0,0.0,19854.9
31.0,0.0,356.0,,,,,0.0,0.0,23001.2
32.0,0.0,356.0,,,,,0.0,0.0,26088.1
33.01,0.0,356.0,,,,,0.0,0.0,29211.7
34.01,0.0,356.0,,,,,0.0,0.0,30971.7
35.01,0.0,356.0,,,,,0.0,0.0,30965.5
36.01,0.0,356.0,,,,,0.0,0.0,30958.2
37.01,0.0,356.0,,,,,0.0,0.0,30958.0
38.01,0.0,356.0,,,,,0.0,0.0,30961.6
39.01,0.0,356.0,,,,,0.0,0.0,30831.5
40.01,0.0,356.0,,,,,0.0,0.0,30312.6
41.01,0.0,356.0,,,,,0.0,0.0,30568.4
42.01,0.0,356.0,,,,,0.0,0.0,30679.4
43.01,0.0,356.0,,,,,0.0,0.0,30320.2
44.01,0.0,356.0,,,,,0.0,0.0,30164.4
45.01,0.0,356.0,,,,,0.0,0.0,30584.1
46.01,0.0,356.0,,,,,0.0,0.0,30461.4
47.01,0.0,356.0,,,,,0.0,0.0,30255.8
48.01,0.0,356.0,,,,,0.0,0.0,30636.7
49.01,0.0,356.0,,,,,0.0,0.0,29872.5
50.01,0.0,356.0,,,,,0.0,0.0,30359.7
51.01,0.0,356.0,,,,,0.0,0.0,30569.3
52.01,0.0,356.0,,,,,0.0,0.0,29817.4
53.01,0.0,356.0,,,,,0.0,0.0,30315.5
54.01,0.0,356.0,,,,,0.0,0.0,30736.3
55.01,0.0,356.0,,,,,0.0,0.0,29959.5
56.01,0.0,356.0,,,,,0.0,0.0,30436.5
57.01,0.0,356.0,,,,,0.0,0.0,30256.5
58.01,0.0,356.0,,,,,0.0,0.0,29861.4
59.01,0.0,356.0,,,,,0.0,0.0,30331.6
60.01,0.0,356.0,,,,,0.0,0.0,30038.5
61.01,0.0,356.0,,,,,0.0,0.0,29937.8
62.01,0.0,356.0,,,,,0.0,0.0,30214.5
63.01,0.0,356.0,,,,,0.0,0.0,30045.9
64.01,0.0,356.0,,,,,0.0,0.0,30033.6
65.01,0.0,356.0,,,,,0.0,0.0,29907.0
66.01,0.0,356.0,,,,,0.0,0.0,29599.4
67.01,0.0,356.0,,,,,0.0,0.0,29241.6
68.01,0.0,356.0,,,,,0.0,0.0,29132.1
69.01,0.0,356.0,,,,,0.0,0.0,29000.4
70.01,0.0,356.0,,,,,0.0,0.0,28514.2
71.01,0.0,356.0,,,,,0.0,0.0,28078.2
72.01,0.0,356.0,,,,,0.0,0.0,27833.8
73.01,0.0,356.0,,,,,0.0,0.0,27657.1
74.01,0.0,356.0,,,,,0.0,0.0,27569.8
75.01,0.0,356.0,,,,,0.0,0.0,27736.9
76.01,0.0,356.0,,,,,0.0,0.0,28022.0
77.01,0.0,356.0,,,,,0.0,0.0,28311.0
78.01,0.0,356.0,,,,,0.0,0.0,28677.2
79.01,0.0,356.0,,,,,0.0,0.0,29005.2
80.01,0.0,356.0,,,,,0.0,0.0,29386.1
81.01,0.0,356.0,,,,,0.0,0.0,29833.1
82.01,0.0,356.0,,,,,0.0,0.0,29722.6
83.01,0.0,356.0,,,,,0.0,0.0,29596.4
84.02,0.0,356.0,,,,,0.0,0.0,29754.2
