t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,2131.9
15.0,0.0,0.0,,,,,0.0,0.0,2131.9
16.0,0.0,0.0,,,,,0.0,0.0,2131.9
17.0,0.0,0.0,,,,,0.0,0.0,2131.9
18.0,0.0,0.0,,,,,0.0,0.0,2131.9
19.0,0.0,3.4,,,,,0.0,0.0,2158.7
20.0,0.0,3.4,,,,,0.0,0.0,2221.0
21.0,0.0,3.4,,,,,0.0,0.0,2370.5
22.0,0.0,3.4,,,,,0.0,0.0,2484.3
23.0,0.0,3.4,,,,,0.0,0.0,2484.4
24.0,0.21,356.0,,,,,0.21,0.21,2795.2
25.0,0.0,356.0,,,,,0.0,0.0,5806.0
26.0,0.0,356.0,,,,,0.0,0.0,8935.5
27.0,0.0,356.0,,,,,0.0,0.0,12068.0
28.0,0.0,356.0,,,,,0.0,0.0,15170.9
29.0,0.0,356.0,,,,,0.0,0.0,18315.9
30.0,0.0,356.0,,,,,0.0,0.0,21469.9
31.0,0.0,356.0,,,,,0.0,0.0,24536.2
32.01,0.0,356.0,,,,,0.0,0.0,27068.6
33.01,0.0,356.0,,,,,0.0,0.0,30119.3
34.01,0.0,356.0,,,,,0.0,0.0,30761.8
35.01,0.0,356.0,,,,,0.0,0.0,30759.0
36.01,0.0,356.0,,,,,0.0,0.0,30756.6
37.01,0.0,356.0,,,,,0.0,0.0,30755.6
38.01,0.0,356.0,,,,,0.0,0.0,30752.2
39.01,0.0,356.0,,,,,0.0,0.0,30758.2
40.01,0.0,356.0,,,,,0.0,0.0,30718.5
41.01,0.0,356.0,,,,,0.0,0.0,29845.8
42.01,0.0,356.0,,,,,0.0,0.0,30178.8
43.01,0.0,356.0,,,,,0.0,0.0,29391.4
44.01,0.0,356.0,,,,,0.0,0.0,29853.9
45.01,0.0,356.0,,,,,0.0,0.0,30178.9
46.01,0.0,356.0,,,,,0.0,0.0,29439.7
47.01,0.0,356.0,,,,,0.0,0.0,29909.3
48.01,0.0,356.0,,,,,0.0,0.0,30223.5
49.01,0.0,356.0,,,,,0.0,0.0,29507.3
50.01,0.0,356.0,,,,,0.0,0.0,29981.2
51.01,0.0,356.0,,,,,0.0,0.0,30353.7
52.01,0.0,356.0,,,,,0.0,0.0,29592.1
53.01,0.0,356.0,,,,,0.0,0.0,30069.6
54.01,0.0,356.0,,,,,0.0,0.0,30483.1
55.01,0.0,356.0,,,,,0.0,0.0,29683.9
56.01,0.0,356.0,,,,,0.0,0.0,30151.8
57.01,0.0,356.0,,,,,0.0,0.0,29956.8
58.01,0.0,356.0,,,,,0.0,0.0,29554.1
59.01,0.0,356.0,,,,,0.0,0.0,30015.3
60.01,0.0,356.0,,,,,0.0,0.0,29828.2
61.01,0.0,356.0,,,,,0.0,0.0,29618.4
62.01,0.0,356.0,,,,,0.0,0.0,30046.2
63.01,0.0,356.0,,,,,0.0,0.0,29214.6
64.01,0.0,356.0,,,,,0.0,0.0,29681.6
65.01,0.0,356.0,,,,,0.0,0.0,30479.2
66.01,0.0,356.0,,,,,0.0,0.0,29813.5
67.01,0.0,356.0,,,,,0.0,0.0,29164.4
68.01,0.0,356.0,,,,,0.0,0.0,28529.7
69.01,0.0,356.0,,,,,0.0,0.0,28058.3
70.01,0.0,356.0,,,,,0.0,0.0,28301.0
71.01,0.0,356.0,,,,,0.0,0.0,28544.5
72.01,0.0,356.0,,,,,0.0,0.0,28782.0
73.01,0.0,356.0,,,,,0.0,0.0,29021.7
74.01,0.0,356.0,,,,,0.0,0.0,29152.6
75.01,0.0,356.0,,,,,0.0,0.0,29376.6
76.01,0.0,356.0,,,,,0.0,0.0,29774.8
77.01,0.0,356.0,,,,,0.0,0.0,30224.0
78.01,0.0,356.0,,,,,0.0,0.0,30671.0
79.01,0.0,356.0,,,,,0.0,0.0,31055.9
80.01,0.0,356.0,,,,,0.0,0.0,31393.0
81.01,0.0,356.0,,,,,0.0,0.0,31709.8
82.01,0.0,356.0,,,,,0.0,0.0,31796.1
83.01,0.0,356.0,,,,,0.0,0.0,31797.3
84.01,0.0,356.0,,,,,0.0,0.0,31813.5
