t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,2135.2
19.0,0.0,0.0,,,,,0.0,0.0,2135.2
20.0,0.0,0.0,,,,,0.0,0.0,2135.2
21.0,0.0,0.0,,,,,0.0,0.0,2135.2
22.0,0.0,0.0,,,,,0.0,0.0,2135.2
23.0,0.0,3.4,,,,,0.0,0.0,2148.1
24.0,0.0,3.4,,,,,0.0,0.0,2212.6
25.0,0.0,3.4,,,,,0.0,0.0,2408.6
26.0,0.0,3.4,,,,,0.0,0.0,2488.2
27.0,0.0,3.4,,,,,0.0,0.0,2488.2
28.0,0.21,356.0,,,,,0.21,0.21,2633.9
29.0,0.0,356.0,,,,,0.0,0.0,5147.9
30.0,0.0,356.0,,,,,0.0,0.0,8278.0
31.0,0.0,356.0,,,,,0.0,0.0,11426.6
32.0,0.0,356.0,,,,,0.0,0.0,14562.6
33.0,0.0,356.0,,,,,0.0,0.0,17681.4
34.0,0.0,356.0,,,,,0.0,0.0,20839.6
35.01,0.0,356.0,,,,,0.0,0.0,24000.7
36.01,0.0,356.0,,,,,0.0,0.0,27158.2
37.01,0.0,356.0,,,,,0.0,0.0,30026.8
38.01,0.0,356.0,,,,,0.0,0.0,30835.5
39.01,0.0,356.0,,,,,0.0,0.0,30828.7
40.01,0.0,356.0,,,,,0.0,0.0,30834.8
41.01,0.0,356.0,,,,,0.0,0.0,30883.6
42.01,0.0,356.0,,,,,0.0,0.0,30885.1
43.01,0.0,356.0,,,,,0.0,0.0,30889.3
44.01,0.0,356.0,,,,,0.0,0.0,30614.9
45.01,0.0,356.0,,,,,0.0,0.0,30389.6
46.01,0.0,356.0,,,,,0.0,0.0,30186.6
47.01,0.0,356.0,,,,,0.0,0.0,30593.5
48.01,0.0,356.0,,,,,0.0,0.0,29998.1
49.01,0.0,356.0,,,,,0.0,0.0,30289.7
50.01,0.0,356.0,,,,,0.0,0.0,30725.3
51.01,0.0,356.0,,,,,0.0,0.0,29916.0
52.01,0.0,356.0,,,,,0.0,0.0,30409.1
53.01,0.0,356.0,,,,,0.0,0.0,30129.0
54.01,0.0,356.0,,,,,0.0,0.0,30045.0
55.01,0.0,356.0,,,,,0.0,0.0,30494.2
56.01,0.0,356.0,,,,,0.0,0.0,30338.2
57.01,0.0,356.0,,,,,0.0,0.0,30180.2
58.01,0.0,356.0,,,,,0.0,0.0,30595.6
59.01,0.0,356.0,,,,,0.0,0.0,29830.8
60.01,0.0,356.0,,,,,0.0,0.0,30322.8
61.01,0.0,356.0,,,,,0.0,0.0,30740.3
62.01,0.0,356.0,,,,,0.0,0.0,29966.6
63.01,0.0,356.0,,,,,0.0,0.0,30463.5
64.01,0.0,356.0,,,,,0.0,0.0,30248.6
65.01,0.0,356.0,,,,,0.0,0.0,30114.3
66.01,0.0,356.0,,,,,0.0,0.0,30450.5
67.01,0.0,356.0,,,,,0.0,0.0,30020.5
68.01,0.0,356.0,,,,,0.0,0.0,29900.5
69.01,0.0,356.0,,,,,0.0,0.0,30556.3
70.01,0.0,356.0,,,,,0.0,0.0,29860.7
71.01,0.0,356.0,,,,,0.0,0.0,29223.1
72.01,0.0,356.0,,,,,0.0,0.0,28602.4
73.01,0.0,356.0,,,,,0.0,0.0,28003.3
74.01,0.0,356.0,,,,,0.0,0.0,28079.3
75.01,0.0,356.0,,,,,0.0,0.0,28322.1
76.01,0.0,356.0,,,,,0.0,0.0,28563.2
77.01,0.0,356.0,,,,,0.0,0.0,28805.2
78.01,0.0,356.0,,,,,0.0,0.0,28968.8
79.01,0.0,356.0,,,,,0.0,0.0,29188.6
80.01,0.0,356.0,,,,,0.0,0.0,29535.6
81.01,0.0,356.0,,,,,0.0,0.0,29947.5
82.01,0.0,356.0,,,,,0.0,0.0,30393.5
83.01,0.0,356.0,,,,,0.0,0.0,30804.4
84.01,0.0,356.0,,,,,0.0,0.0,31242.3
