t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,1120.4
10.0,0.0,0.0,,,,,0.0,0.0,1120.4
11.0,0.0,0.0,,,,,0.0,0.0,1120.4
12.0,0.0,0.0,,,,,0.0,0.0,1120.4
13.0,0.0,1.7,,,,,0.0,0.0,1134.9
14.0,0.0,1.7,,,,,0.0,0.0,1134.9
15.0,0.11,161.9,,,,,0.21,0.0,2531.2
16.0,0.0,161.9,,,,,0.0,0.0,4054.4
17.0,0.0,1188.7,,,,,0.01,0.0,2946.7
18.0,0.0,2248.4,,,,,0.0,0.0,2947.7
19.0,0.0,2248.4,,,,,0.0,0.0,2947.7
20.0,0.0,2248.4,,,,,0.0,0.0,2962.9
21.0,0.0,2248.4,,,,,0.0,0.0,2966.5
22.0,0.0,2248.4,,,,,0.0,0.0,2966.5
23.0,0.0,2248.4,,,,,0.0,0.0,2966.5
24.0,0.0,2248.4,,,,,0.0,0.0,2966.5
25.0,0.0,2248.4,,,,,0.0,0.0,2966.5
26.0,0.0,2248.4,,,,,0.0,0.0,2966.5
27.0,0.0,2248.4,,,,,0.0,0.0,2966.5
28.0,0.0,2248.4,,,,,0.0,0.0,2966.5
29.0,0.0,2248.4,,,,,0.0,0.0,2966.5
30.01,0.0,2248.4,,,,,0.0,0.0,2966.5
31.01,0.0,2248.4,,,,,0.0,0.0,2966.5
32.01,0.0,2248.4,,,,,0.0,0.0,2966.5
33.01,0.0,2248.4,,,,,0.0,0.0,2966.5
34.01,0.0,2248.4,,,,,0.0,0.0,2966.5
35.01,0.0,2248.4,,,,,0.0,0.0,2966.5
36.01,0.0,2248.4,,,,,0.0,0.0,2966.5
37.01,0.0,2248.4,,,,,0.0,0.0,2966.5
38.01,0.0,2248.4,,,,,0.0,0.0,2966.5
39.01,0.0,2248.4,,,,,0.0,0.0,2966.5
40.01,0.0,2248.4,,,,,0.0,0.0,2966.5
41.01,0.0,2248.4,,,,,0.0,0.0,2966.5
42.01,0.0,2248.4,,,,,0.0,0.0,2966.5
43.01,0.0,2248.4,,,,,0.0,0.0,2966.5
44.01,0.0,2248.4,,,,,0.0,0.0,2966.5
45.01,0.0,2248.4,,,,,0.0,0.0,2966.5
46.01,0.0,2248.4,,,,,0.0,0.0,2966.5
47.01,0.0,2248.4,,,,,0.0,0.0,2966.5
48.01,0.0,2248.4,,,,,0.0,0.0,2966.5
49.01,0.0,2248.4,,,,,0.0,0.0,2966.5
50.01,0.0,2248.4,,,,,0.0,0.0,2966.5
51.01,0.0,2248.4,,,,,0.0,0.0,2966.5
52.01,0.0,2248.4,,,,,0.0,0.0,2966.5
53.01,0.0,2248.4,,,,,0.0,0.0,2966.5
54.01,0.0,2248.4,,,,,0.0,0.0,2966.5
55.01,0.0,2248.4,,,,,0.0,0.0,2966.5
56.01,0.0,2248.4,,,,,0.0,0.0,2966.5
57.01,0.0,2248.4,,,,,0.0,0.0,2966.5
58.01,0.0,2248.4,,,,,0.0,0.0,2966.5
59.01,0.0,2248.4,,,,,0.0,0.0,2966.5
60.01,0.0,2248.4,,,,,0.0,0.0,2966.5
61.01,0.0,2248.4,,,,,0.0,0.0,2966.5
62.01,0.0,2248.4,,,,,0.0,0.0,2966.5
63.01,0.0,2248.4,,,,,0.0,0.0,2966.5
64.01,0.0,2248.4,,,,,0.0,0.0,2966.5
65.01,0.0,2248.4,,,,,0.0,0.0,2966.5
66.01,0.0,2248.4,,,,,0.0,0.0,2966.5
67.01,0.0,2248.4,,,,,0.0,0.0,2966.5
68.01,0.0,2248.4,,,,,0.0,0.0,2966.5
69.01,0.0,2248.4,,,,,0.0,0.0,2966.5
70.01,0.0,2248.4,,,,,0.0,0.0,2966.5
71.01,0.0,2248.4,,,,,0.0,0.0,2966.5
72.01,0.0,2248.4,,,,,0.0,0.0,2966.5
73.01,0.0,2248.4,,,,,0.0,0.0,2966.5
74.01,0.0,2248.4,,,,,0.0,0.0,2966.5
75.01,0.0,2248.4,,,,,0.0,0.0,2966.5
76.01,0.0,2248.4,,,,,0.0,0.0,2966.5
77.01,0.0,2248.4,,,,,0.0,0.0,2966.5
78.01,0.0,2248.4,,,,,0.0,0.0,2966.5
79.01,0.0,2248.4,,,,,0.0,0.0,2966.5
80.01,0.0,2248.4,,,,,0.0,0.0,2966.5
81.01,0.0,2248.4,,,,,0.0,0.0,2966.5
82.01,0.0,2248.4,,,,,0.0,0.0,2966.5
