t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,1121.5
10.0,0.0,0.0,,,,,0.0,0.0,1121.5
11.0,0.0,0.0,,,,,0.0,0.0,1121.5
12.0,0.0,0.0,,,,,0.0,0.0,1121.5
13.0,0.0,0.0,,,,,0.0,0.0,1121.5
14.0,0.0,0.0,,,,,0.0,0.0,1121.5
15.0,0.11,161.9,,,,,0.21,0.0,2012.7
16.0,0.0,161.9,,,,,0.0,0.0,2942.5
17.0,0.0,178.0,,,,,0.01,0.0,3116.5
18.0,0.0,2620.5,,,,,0.0,0.0,2949.1
19.0,0.0,2248.8,,,,,0.0,0.0,2968.1
20.0,0.0,2248.8,,,,,0.0,0.0,2969.1
21.0,0.0,2248.8,,,,,0.0,0.0,2969.1
22.0,0.0,2248.8,,,,,0.0,0.0,2969.1
23.0,0.0,2248.8,,,,,0.0,0.0,2969.1
24.0,0.0,2248.8,,,,,0.0,0.0,2969.1
25.0,0.0,2248.8,,,,,0.0,0.0,2969.1
26.0,0.0,2248.8,,,,,0.0,0.0,2969.1
27.0,0.0,2248.8,,,,,0.0,0.0,2969.1
28.0,0.0,2248.8,,,,,0.0,0.0,2969.1
29.0,0.0,2248.8,,,,,0.0,0.0,2969.1
30.0,0.0,2248.8,,,,,0.0,0.0,2969.1
31.0,0.0,2248.8,,,,,0.0,0.0,2969.1
32.01,0.0,2248.8,,,,,0.0,0.0,2969.1
33.01,0.0,2248.8,,,,,0.0,0.0,2969.1
34.01,0.0,2248.8,,,,,0.0,0.0,2969.1
35.01,0.0,2248.8,,,,,0.0,0.0,2969.1
36.01,0.0,2248.8,,,,,0.0,0.0,2969.1
37.01,0.0,2248.8,,,,,0.0,0.0,2969.1
38.01,0.0,2248.8,,,,,0.0,0.0,2969.1
39.01,0.0,2248.8,,,,,0.0,0.0,2969.1
40.01,0.0,2248.8,,,,,0.0,0.0,2969.1
41.01,0.0,2248.8,,,,,0.0,0.0,2969.1
42.01,0.0,2248.8,,,,,0.0,0.0,2969.1
43.01,0.0,2248.8,,,,,0.0,0.0,2969.1
44.01,0.0,2248.8,,,,,0.0,0.0,2969.1
45.01,0.0,2248.8,,,,,0.0,0.0,2969.1
46.01,0.0,2248.8,,,,,0.0,0.0,2969.1
47.01,0.0,2248.8,,,,,0.0,0.0,2969.1
48.01,0.0,2248.8,,,,,0.0,0.0,2969.1
49.01,0.0,2248.8,,,,,0.0,0.0,2969.1
50.01,0.0,2248.8,,,,,0.0,0.0,2969.1
51.01,0.0,2248.8,,,,,0.0,0.0,2969.1
52.01,0.0,2248.8,,,,,0.0,0.0,2969.1
53.01,0.0,2248.8,,,,,0.0,0.0,2969.1
54.01,0.0,2248.8,,,,,0.0,0.0,2969.1
55.01,0.0,2248.8,,,,,0.0,0.0,2969.1
56.01,0.0,2248.8,,,,,0.0,0.0,2969.1
57.01,0.0,2248.8,,,,,0.0,0.0,2969.1
58.01,0.0,2248.8,,,,,0.0,0.0,2969.1
59.01,0.0,2248.8,,,,,0.0,0.0,2969.1
60.01,0.0,2248.8,,,,,0.0,0.0,2969.1
61.01,0.0,2248.8,,,,,0.0,0.0,2969.1
62.01,0.0,2248.8,,,,,0.0,0.0,2969.1
63.01,0.0,2248.8,,,,,0.0,0.0,2969.1
64.01,0.0,2248.8,,,,,0.0,0.0,2969.1
65.01,0.0,2248.8,,,,,0.0,0.0,2969.1
66.01,0.0,2248.8,,,,,0.0,0.0,2969.1
67.01,0.0,2248.8,,,,,0.0,0.0,2969.1
68.01,0.0,2248.8,,,,,0.0,0.0,2969.1
69.01,0.0,2248.8,,,,,0.0,0.0,2969.1
70.01,0.0,2248.8,,,,,0.0,0.0,2969.1
71.01,0.0,2248.8,,,,,0.0,0.0,2969.1
72.01,0.0,2248.8,,,,,0.0,0.0,2969.1
73.01,0.0,2248.8,,,,,0.0,0.0,2969.1
74.01,0.0,2248.8,,,,,0.0,0.0,2969.1
75.01,0.0,2248.8,,,,,0.0,0.0,2969.1
76.01,0.0,2248.8,,,,,0.0,0.0,2969.1
77.01,0.0,2248.8,,,,,0.0,0.0,2969.1
78.01,0.0,2248.8,,,,,0.0,0.0,2969.1
79.01,0.0,2248.8,,,,,0.0,0.0,2969.1
80.01,0.0,2248.8,,,,,0.0,0.0,2969.1
81.01,0.0,2248.8,,,,,0.0,0.0,2969.1
82.01,0.0,2248.8,,,,,0.0,0.0,2969.1
