t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,2221.4
22.0,0.0,0.0,,,,,0.0,0.0,2221.4
23.0,0.0,0.0,,,,,0.0,0.0,2221.4
24.0,0.0,0.0,,,,,0.0,0.0,2221.4
25.0,0.0,0.0,,,,,0.0,0.0,2221.4
26.0,0.0,3.4,,,,,0.0,0.0,2520.0
27.0,0.0,3.4,,,,,0.0,0.0,3252.2
28.0,0.0,3.4,,,,,0.0,0.0,4047.8
29.0,0.0,3.4,,,,,0.0,0.0,4843.5
30.0,0.0,3.4,,,,,0.0,0.0,5641.5
31.0,0.0,3.4,,,,,0.0,0.0,6439.9
32.0,0.0,3.4,,,,,0.0,0.0,7238.3
33.0,0.0,3.4,,,,,0.0,0.0,8036.9
34.0,0.0,3.4,,,,,0.0,0.0,8761.6
35.0,0.0,3.4,,,,,0.0,0.0,8761.7
36.01,0.0,3.4,,,,,0.0,0.0,8761.7
37.01,0.0,3.4,,,,,0.0,0.0,8761.7
38.01,0.0,3.4,,,,,0.0,0.0,8761.7
39.01,0.0,3.4,,,,,0.0,0.0,8761.7
40.01,0.0,3.4,,,,,0.0,0.0,8761.7
41.01,0.0,3.4,,,,,0.0,0.0,8761.7
42.01,0.0,3.4,,,,,0.0,0.0,8798.0
43.01,0.0,3.4,,,,,0.0,0.0,7021.4
44.01,0.0,3.4,,,,,0.0,0.0,5498.5
45.01,0.0,3.4,,,,,0.0,0.0,3005.2
46.01,0.21,356.0,,,,,0.21,0.21,4251.2
47.01,0.0,356.0,,,,,0.0,0.0,7355.7
48.01,0.0,356.0,,,,,0.0,0.0,9274.8
49.01,0.0,356.0,,,,,0.0,0.0,9276.6
50.01,0.0,356.0,,,,,0.0,0.0,9201.6
51.01,0.0,356.0,,,,,0.0,0.0,9282.8
52.01,0.0,356.0,,,,,0.0,0.0,9209.9
53.01,0.0,356.0,,,,,0.0,0.0,12680.7
54.01,0.0,356.1,,,,,0.0,0.0,10762.6
55.01,0.0,356.1,,,,,0.0,0.0,12931.8
56.01,0.01,356.3,,,,,0.01,0.01,7555.2
57.01,0.0,3796.7,,,,,0.0,0.0,5425.3
58.01,0.0,5668.7,,,,,0.0,0.0,5211.1
59.01,0.0,7588.7,,,,,0.0,0.0,5346.6
60.01,0.0,9269.1,,,,,0.0,0.0,5540.9
61.01,0.0,11429.1,,,,,0.0,0.0,5256.9
62.01,0.0,13413.5,,,,,0.0,0.0,5231.6
63.01,0.0,11653.5,,,,,0.0,0.0,5308.4
64.01,0.0,12549.5,,,,,0.0,0.0,5310.5
65.01,0.0,10149.5,,,,,0.0,0.0,5216.3
66.01,0.0,10149.6,,,,,0.0,0.0,5233.9
67.01,0.0,10149.6,,,,,0.0,0.0,5233.9
68.01,0.0,10149.6,,,,,0.0,0.0,5233.9
69.01,0.0,10149.6,,,,,0.0,0.0,5233.9
70.01,0.0,10149.6,,,,,0.0,0.0,5233.9
71.02,0.0,10149.6,,,,,0.0,0.0,5233.9
72.02,0.0,10149.6,,,,,0.0,0.0,5233.9
73.02,0.0,10149.6,,,,,0.0,0.0,5233.9
74.02,0.0,10149.6,,,,,0.0,0.0,5233.9
75.02,0.0,10149.6,,,,,0.0,0.0,5233.9
76.02,0.0,10149.6,,,,,0.0,0.0,5233.9
77.02,0.0,10149.6,,,,,0.0,0.0,5233.9
78.02,0.0,10149.6,,,,,0.0,0.0,5233.9
79.02,0.0,10149.6,,,,,0.0,0.0,5233.9
80.02,0.0,10149.6,,,,,0.0,0.0,5233.9
81.02,0.0,10149.6,,,,,0.0,0.0,5233.9
82.02,0.0,10149.6,,,,,0.0,0.0,5233.9
83.02,0.0,10149.6,,,,,0.0,0.0,5233.9
