t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,2121.6
18.0,0.0,0.0,,,,,0.0,0.0,2121.6
19.0,0.0,0.0,,,,,0.0,0.0,2121.6
20.0,0.0,0.0,,,,,0.0,0.0,2121.6
21.0,0.0,0.0,,,,,0.0,0.0,2121.6
22.0,0.0,0.0,,,,,0.0,0.0,2121.6
23.0,0.0,0.0,,,,,0.0,0.0,2121.6
24.0,0.0,0.0,,,,,0.0,0.0,2121.6
25.0,0.0,3.4,,,,,0.0,0.0,3344.9
26.0,0.0,3.4,,,,,0.0,0.0,4899.1
27.0,0.0,3.4,,,,,0.0,0.0,4899.4
28.0,0.0,3.4,,,,,0.0,0.0,5004.5
29.0,0.0,1563.7,,,,,0.0,0.0,3717.0
30.0,0.0,1563.7,,,,,0.0,0.0,4351.1
31.0,5.39,2352.7,,,,,5.39,5.4,4437.5
32.0,0.0,2352.7,,,,,0.0,0.0,4461.8
33.0,0.0,2352.7,,,,,0.0,0.0,4461.8
34.0,0.0,2352.7,,,,,0.0,0.0,4461.8
35.0,0.0,2352.7,,,,,0.0,0.0,4461.8
36.01,0.0,2352.7,,,,,0.0,0.0,4461.9
37.01,0.0,2352.7,,,,,0.0,0.0,4461.9
38.01,0.0,2352.7,,,,,0.0,0.0,4462.0
39.01,0.0,2352.7,,,,,0.0,0.0,4462.0
40.01,0.0,2352.7,,,,,0.0,0.0,5088.8
41.01,0.0,2352.7,,,,,0.0,0.0,5667.3
42.01,0.0,2352.7,,,,,0.0,0.0,7379.2
43.01,0.0,2352.7,,,,,0.0,0.0,9954.1
44.01,0.0,2352.7,,,,,0.0,0.0,11498.0
45.01,0.0,2352.7,,,,,0.0,0.0,12643.6
46.01,0.0,2352.7,,,,,0.0,0.0,13583.2
47.01,0.0,2352.7,,,,,0.0,0.0,14092.3
48.01,0.0,2352.7,,,,,0.0,0.0,14543.5
49.01,0.0,2352.7,,,,,0.0,0.0,14733.0
50.01,0.0,15539.1,,,,,0.0,0.0,14733.1
51.01,0.0,15728.3,,,,,0.0,0.0,14733.2
52.01,0.0,15794.0,,,,,0.0,0.0,14733.2
53.01,0.0,15794.0,,,,,0.0,0.0,14733.2
54.01,0.0,15794.0,,,,,0.0,0.0,14733.2
55.01,0.0,15794.0,,,,,0.0,0.0,14733.3
56.01,0.0,15794.0,,,,,0.0,0.0,14733.3
57.01,0.0,16076.6,,,,,0.0,0.0,14733.3
58.01,0.0,16671.4,,,,,0.0,0.0,15269.2
59.01,0.0,16823.5,,,,,0.0,0.0,11999.9
60.01,46.53,16900.0,,,,,46.53,46.53,12050.6
61.01,0.0,16900.0,,,,,0.0,0.0,12192.8
62.01,0.0,16900.0,,,,,0.0,0.0,12592.9
63.01,0.0,16900.0,,,,,0.0,0.0,12594.0
64.01,0.0,16900.0,,,,,0.0,0.0,12595.2
65.01,0.0,16900.0,,,,,0.0,0.0,12597.4
66.01,0.0,16900.0,,,,,0.0,0.0,12597.4
67.01,0.0,16900.0,,,,,0.0,0.0,12597.4
68.01,0.0,16900.0,,,,,0.0,0.0,12597.4
69.01,0.0,16900.0,,,,,0.0,0.0,12601.9
70.01,0.0,16900.0,,,,,0.0,0.0,12804.6
71.01,0.0,16900.0,,,,,0.0,0.0,12807.9
72.01,0.0,16900.0,,,,,0.0,0.0,12808.6
73.01,0.0,16900.0,,,,,0.0,0.0,12808.7
74.01,0.0,16900.0,,,,,0.0,0.0,12808.7
75.01,0.0,16900.0,,,,,0.0,0.0,12808.7
76.01,0.0,16900.0,,,,,0.0,0.0,12808.7
77.01,0.0,16900.0,,,,,0.0,0.0,12808.7
78.01,0.0,16900.0,,,,,0.0,0.0,12808.7
79.01,0.0,16900.0,,,,,0.0,0.0,12808.7
80.01,0.0,16900.0,,,,,0.0,0.0,12808.7
81.01,0.0,16900.0,,,,,0.0,0.0,12808.7
82.01,0.0,16900.0,,,,,0.0,0.0,12808.7
