t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,2109.2
20.0,0.0,0.0,,,,,0.0,0.0,2109.2
21.0,0.0,0.0,,,,,0.0,0.0,2109.2
22.0,0.0,0.0,,,,,0.0,0.0,2109.2
23.0,0.0,0.0,,,,,0.0,0.0,2109.2
24.0,0.0,0.0,,,,,0.0,0.0,2109.2
25.0,0.0,0.0,,,,,0.0,0.0,2109.2
26.0,0.0,3.4,,,,,0.0,0.0,2584.4
27.0,0.0,3.4,,,,,0.0,0.0,4154.0
28.0,0.0,3.4,,,,,0.0,0.0,4885.8
29.0,0.0,3.4,,,,,0.0,0.0,4885.8
30.0,0.0,1364.8,,,,,0.0,0.0,3891.3
31.0,0.0,1563.7,,,,,0.0,0.0,3759.4
32.0,0.0,2076.4,,,,,0.0,0.0,4567.4
33.0,5.39,2352.7,,,,,5.39,5.4,4482.9
34.0,0.0,2352.7,,,,,0.0,0.0,4483.2
35.0,0.0,2352.7,,,,,0.0,0.0,4483.2
36.01,0.0,2352.7,,,,,0.0,0.0,4483.2
37.01,0.0,2352.7,,,,,0.0,0.0,4483.2
38.01,0.0,2352.7,,,,,0.0,0.0,4483.4
39.01,0.0,2352.7,,,,,0.0,0.0,4483.4
40.01,0.0,2352.7,,,,,0.0,0.0,4483.4
41.01,0.0,2352.7,,,,,0.0,0.0,5111.4
42.01,0.0,2352.7,,,,,0.0,0.0,5654.0
43.01,0.0,2352.7,,,,,0.0,0.0,7240.5
44.01,0.0,2352.7,,,,,0.0,0.0,9915.7
45.01,0.0,2352.7,,,,,0.0,0.0,11520.6
46.01,0.0,2352.7,,,,,0.0,0.0,12730.0
47.01,0.0,2352.7,,,,,0.0,0.0,13608.1
48.01,0.0,2352.7,,,,,0.0,0.0,14128.1
49.01,0.0,2352.7,,,,,0.0,0.0,14595.8
50.01,0.0,2352.7,,,,,0.0,0.0,14778.2
51.01,0.0,15539.0,,,,,0.0,0.0,14778.2
52.01,0.0,15751.7,,,,,0.0,0.0,14778.2
53.01,0.0,15794.1,,,,,0.0,0.0,14778.3
54.01,0.0,15794.1,,,,,0.0,0.0,14778.4
55.01,0.0,15794.1,,,,,0.0,0.0,14778.4
56.01,0.0,15794.1,,,,,0.0,0.0,14778.4
57.01,0.0,15794.1,,,,,0.0,0.0,14778.4
58.01,0.0,15794.1,,,,,0.0,0.0,14778.4
59.01,0.0,16545.3,,,,,0.0,0.0,15110.4
60.01,0.0,16826.5,,,,,0.0,0.0,12037.6
61.01,46.56,16903.0,,,,,46.56,46.57,12087.3
62.01,0.0,16903.0,,,,,0.0,0.0,12273.5
63.01,0.0,16903.0,,,,,0.0,0.0,12375.7
64.01,0.0,16903.0,,,,,0.0,0.0,12375.7
65.01,0.0,16903.0,,,,,0.0,0.0,12376.8
66.01,0.0,16903.0,,,,,0.0,0.0,12379.0
67.01,0.0,16903.0,,,,,0.0,0.0,12379.0
68.01,0.0,16903.0,,,,,0.0,0.0,12379.0
69.01,0.0,16903.0,,,,,0.0,0.0,12379.0
70.01,0.0,16903.0,,,,,0.0,0.0,12381.3
71.01,0.0,16903.0,,,,,0.0,0.0,12597.4
72.01,0.0,16903.0,,,,,0.0,0.0,12601.3
73.01,0.0,16903.0,,,,,0.0,0.0,12601.3
74.01,0.0,16903.0,,,,,0.0,0.0,12601.3
75.01,0.0,16903.0,,,,,0.0,0.0,12601.3
76.01,0.0,16903.0,,,,,0.0,0.0,12601.3
77.01,0.0,16903.0,,,,,0.0,0.0,12601.3
78.01,0.0,16903.0,,,,,0.0,0.0,12601.3
79.01,0.0,16903.0,,,,,0.0,0.0,12601.3
80.01,0.0,16903.0,,,,,0.0,0.0,12601.3
81.01,0.0,16903.0,,,,,0.0,0.0,12601.3
82.01,0.0,16903.0,,,,,0.0,0.0,12601.3
