t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,2103.0
20.0,0.0,0.0,,,,,0.0,0.0,2103.0
21.0,0.0,0.0,,,,,0.0,0.0,2103.0
22.0,0.0,0.0,,,,,0.0,0.0,2103.0
23.0,0.0,0.0,,,,,0.0,0.0,2103.0
24.0,0.0,0.0,,,,,0.0,0.0,2103.0
25.0,0.0,3.4,,,,,0.0,0.0,3150.2
26.0,0.0,3.4,,,,,0.0,0.0,4723.7
27.0,0.0,3.4,,,,,0.0,0.0,4879.4
28.0,0.0,3.4,,,,,0.0,0.0,5239.5
29.0,0.0,1563.7,,,,,0.0,0.0,3698.8
30.0,0.0,1563.7,,,,,0.0,0.0,3727.4
31.0,0.0,1563.7,,,,,0.0,0.0,3727.4
32.0,0.0,1563.7,,,,,0.0,0.0,3727.4
33.0,0.0,1563.7,,,,,0.0,0.0,3727.4
34.0,0.0,1563.7,,,,,0.0,0.0,3727.4
35.0,0.0,1563.7,,,,,0.0,0.0,3727.4
36.01,0.0,1563.7,,,,,0.0,0.0,3727.4
37.01,0.0,1563.7,,,,,0.0,0.0,3727.4
38.01,0.0,1563.7,,,,,0.0,0.0,3727.4
39.01,0.0,1563.7,,,,,0.0,0.0,3727.4
40.01,0.0,1563.7,,,,,0.0,0.0,3727.4
41.01,0.0,1563.7,,,,,0.0,0.0,3727.4
42.01,0.0,1563.7,,,,,0.0,0.0,3727.4
43.01,0.0,1563.7,,,,,0.0,0.0,3727.4
44.01,0.0,1563.7,,,,,0.0,0.0,3727.4
45.01,0.0,1563.7,,,,,0.0,0.0,3727.4
46.01,0.0,1563.7,,,,,0.0,0.0,3727.4
47.01,0.0,1563.7,,,,,0.0,0.0,3727.4
48.01,0.0,1563.7,,,,,0.0,0.0,3727.4
49.01,0.0,1563.7,,,,,0.0,0.0,3727.4
50.01,0.0,1563.7,,,,,0.0,0.0,3727.4
51.01,0.0,1563.7,,,,,0.0,0.0,3727.4
52.01,0.0,1563.7,,,,,0.0,0.0,3727.4
53.01,0.0,1563.7,,,,,0.0,0.0,3727.4
54.01,0.0,1563.7,,,,,0.0,0.0,3727.4
55.01,0.0,1563.7,,,,,0.0,0.0,3727.4
56.01,0.0,1563.7,,,,,0.0,0.0,3727.4
57.01,0.0,1563.7,,,,,0.0,0.0,3727.4
58.01,0.0,1563.7,,,,,0.0,0.0,3727.4
59.01,0.0,1563.7,,,,,0.0,0.0,3727.4
60.01,0.0,1563.7,,,,,0.0,0.0,3727.4
61.01,0.0,1563.7,,,,,0.0,0.0,3727.4
62.01,0.0,1563.7,,,,,0.0,0.0,3727.4
63.01,0.0,1563.7,,,,,0.0,0.0,3727.4
64.01,0.0,1563.7,,,,,0.0,0.0,3727.4
65.01,0.0,1563.7,,,,,0.0,0.0,3727.4
66.01,0.0,1563.7,,,,,0.0,0.0,3727.4
67.01,0.0,1563.7,,,,,0.0,0.0,3727.4
68.01,0.0,1563.7,,,,,0.0,0.0,3727.4
69.01,0.0,1563.7,,,,,0.0,0.0,3727.4
70.01,0.0,1563.7,,,,,0.0,0.0,3727.4
71.01,0.0,1563.7,,,,,0.0,0.0,3727.4
72.01,0.0,1563.7,,,,,0.0,0.0,3727.4
73.01,0.0,1563.7,,,,,0.0,0.0,3727.4
74.01,0.0,1563.7,,,,,0.0,0.0,3727.4
75.01,0.0,1563.7,,,,,0.0,0.0,3727.4
76.01,0.0,1563.7,,,,,0.0,0.0,3727.4
77.01,0.0,1563.7,,,,,0.0,0.0,3727.4
78.01,0.0,1563.7,,,,,0.0,0.0,3727.4
79.01,0.0,1563.7,,,,,0.0,0.0,3727.4
80.01,0.0,1563.7,,,,,0.0,0.0,3727.4
81.01,0.0,1563.7,,,,,0.0,0.0,3727.4
82.01,0.0,1563.7,,,,,0.0,0.0,3727.4
