t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,2102.8
20.0,0.0,0.0,,,,,0.0,0.0,2102.8
21.0,0.0,0.0,,,,,0.0,0.0,2102.8
22.0,0.0,0.0,,,,,0.0,0.0,2102.8
23.0,0.0,0.0,,,,,0.0,0.0,2102.8
24.0,0.0,0.0,,,,,0.0,0.0,2102.8
25.0,0.0,0.0,,,,,0.0,0.0,2102.8
26.0,0.0,0.0,,,,,0.0,0.0,2102.8
27.0,0.0,3.4,,,,,0.0,0.0,3323.6
28.0,0.0,3.4,,,,,0.0,0.0,4876.8
29.0,0.0,3.4,,,,,0.0,0.0,4879.4
30.0,0.0,3.4,,,,,0.0,0.0,4956.3
31.0,0.0,1563.8,,,,,0.0,0.0,3716.6
32.0,0.0,1563.8,,,,,0.0,0.0,3758.9
33.0,0.0,1563.8,,,,,0.0,0.0,3758.9
34.0,0.0,1563.8,,,,,0.0,0.0,3758.9
35.0,0.0,1563.8,,,,,0.0,0.0,3758.9
36.01,0.0,1563.8,,,,,0.0,0.0,3758.9
37.01,0.0,1563.8,,,,,0.0,0.0,3758.9
38.01,0.0,1563.8,,,,,0.0,0.0,3758.9
39.01,0.0,1563.8,,,,,0.0,0.0,3758.9
40.01,0.0,1563.8,,,,,0.0,0.0,3758.9
41.01,0.0,1563.8,,,,,0.0,0.0,3758.9
42.01,0.0,1563.8,,,,,0.0,0.0,3758.9
43.01,0.0,1563.8,,,,,0.0,0.0,3758.9
44.01,0.0,1563.8,,,,,0.0,0.0,3758.9
45.01,0.0,1563.8,,,,,0.0,0.0,3758.9
46.01,0.0,1563.8,,,,,0.0,0.0,3758.9
47.01,0.0,1563.8,,,,,0.0,0.0,3758.9
48.01,0.0,1563.8,,,,,0.0,0.0,3758.9
49.01,0.0,1563.8,,,,,0.0,0.0,3758.9
50.01,0.0,1563.8,,,,,0.0,0.0,3758.9
51.01,0.0,1563.8,,,,,0.0,0.0,3758.9
52.01,0.0,1563.8,,,,,0.0,0.0,3758.9
53.01,0.0,1563.8,,,,,0.0,0.0,3758.9
54.01,0.0,1563.8,,,,,0.0,0.0,3758.9
55.01,0.0,1563.8,,,,,0.0,0.0,3758.9
56.01,0.0,1563.8,,,,,0.0,0.0,3758.9
57.01,0.0,1563.8,,,,,0.0,0.0,3758.9
58.01,0.0,1563.8,,,,,0.0,0.0,3758.9
59.01,0.0,1563.8,,,,,0.0,0.0,3758.9
60.01,0.0,1563.8,,,,,0.0,0.0,3758.9
61.01,0.0,1563.8,,,,,0.0,0.0,3758.9
62.01,0.0,1563.8,,,,,0.0,0.0,3758.9
63.01,0.0,1563.8,,,,,0.0,0.0,3758.9
64.01,0.0,1563.8,,,,,0.0,0.0,3758.9
65.01,0.0,1563.8,,,,,0.0,0.0,3758.9
66.01,0.0,1563.8,,,,,0.0,0.0,3758.9
67.01,0.0,1563.8,,,,,0.0,0.0,3758.9
68.01,0.0,1563.8,,,,,0.0,0.0,3758.9
69.01,0.0,1563.8,,,,,0.0,0.0,3758.9
70.01,0.0,1563.8,,,,,0.0,0.0,3758.9
71.01,0.0,1563.8,,,,,0.0,0.0,3758.9
72.01,0.0,1563.8,,,,,0.0,0.0,3758.9
73.01,0.0,1563.8,,,,,0.0,0.0,3758.9
74.01,0.0,1563.8,,,,,0.0,0.0,3758.9
75.01,0.0,1563.8,,,,,0.0,0.0,3758.9
76.01,0.0,1563.8,,,,,0.0,0.0,3758.9
77.01,0.0,1563.8,,,,,0.0,0.0,3758.9
78.01,0.0,1563.8,,,,,0.0,0.0,3758.9
79.01,0.0,1563.8,,,,,0.0,0.0,3758.9
80.01,0.0,1563.8,,,,,0.0,0.0,3758.9
81.01,0.0,1563.8,,,,,0.0,0.0,3758.9
82.01,0.0,1563.8,,,,,0.0,0.0,3758.9
