t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2121.2
9.0,0.0,0.0,,,,,0.0,0.0,2121.2
10.0,0.0,0.0,,,,,0.0,0.0,2121.2
11.0,0.0,0.0,,,,,0.0,0.0,2121.2
12.0,0.0,0.0,,,,,0.0,0.0,2121.2
13.0,0.0,1.7,,,,,0.0,0.0,2121.9
14.0,0.0,1.7,,,,,0.0,0.0,2121.9
15.0,0.0,1.7,,,,,0.0,0.0,2121.9
16.0,0.0,1.7,,,,,0.0,0.0,2121.9
17.0,0.0,1.7,,,,,0.0,0.0,2121.9
18.0,0.0,1.7,,,,,0.0,0.0,2121.9
19.0,0.0,1.7,,,,,0.0,0.0,2121.9
20.0,0.0,3.4,,,,,0.0,0.0,2498.5
21.0,0.0,3.4,,,,,0.0,0.0,4073.5
22.0,0.0,3.4,,,,,0.0,0.0,4898.4
23.0,0.0,3.4,,,,,0.0,0.0,4898.4
24.0,0.0,1247.6,,,,,0.0,0.0,3982.1
25.0,0.0,1565.6,,,,,0.0,0.0,3807.6
26.0,0.0,1565.6,,,,,0.0,0.0,3808.0
27.0,0.0,1565.6,,,,,0.0,0.0,3808.0
28.0,0.0,1565.6,,,,,0.0,0.0,3808.0
29.0,0.0,1565.6,,,,,0.0,0.0,3808.0
30.0,0.0,1565.6,,,,,0.0,0.0,3808.0
31.0,0.0,1565.6,,,,,0.0,0.0,3808.0
32.0,0.0,1565.6,,,,,0.0,0.0,3808.0
33.0,0.0,1565.6,,,,,0.0,0.0,3808.0
34.0,0.0,1565.6,,,,,0.0,0.0,3808.0
35.0,0.0,1565.6,,,,,0.0,0.0,3808.0
36.0,0.0,1565.6,,,,,0.0,0.0,3808.0
37.0,0.0,1565.6,,,,,0.0,0.0,3808.0
38.01,0.0,1565.6,,,,,0.0,0.0,3808.0
39.01,0.0,1565.6,,,,,0.0,0.0,3808.0
40.01,0.0,1565.6,,,,,0.0,0.0,3808.0
41.01,0.0,1565.6,,,,,0.0,0.0,3808.0
42.01,0.0,1565.6,,,,,0.0,0.0,3808.0
43.01,0.0,1565.6,,,,,0.0,0.0,3808.0
44.01,0.0,1565.6,,,,,0.0,0.0,3808.0
45.01,0.0,1565.6,,,,,0.0,0.0,3808.0
46.01,0.0,1565.6,,,,,0.0,0.0,3808.0
47.01,0.0,1565.6,,,,,0.0,0.0,3808.0
48.01,0.0,1565.6,,,,,0.0,0.0,3808.0
49.01,0.0,1565.6,,,,,0.0,0.0,3808.0
50.01,0.0,1565.6,,,,,0.0,0.0,3808.0
51.01,0.0,1565.6,,,,,0.0,0.0,3808.0
52.01,0.0,1565.6,,,,,0.0,0.0,3808.0
53.01,0.0,1565.6,,,,,0.0,0.0,3808.0
54.01,0.0,1565.6,,,,,0.0,0.0,3808.0
55.01,0.0,1565.6,,,,,0.0,0.0,3808.0
56.01,0.0,1565.6,,,,,0.0,0.0,3808.0
57.01,0.0,1565.6,,,,,0.0,0.0,3808.0
58.01,0.0,1565.6,,,,,0.0,0.0,3808.0
59.01,0.0,1565.6,,,,,0.0,0.0,3808.0
60.01,0.0,1565.6,,,,,0.0,0.0,3808.0
61.01,0.0,1565.6,,,,,0.0,0.0,3808.0
62.01,0.0,1565.6,,,,,0.0,0.0,3808.0
63.01,0.0,1565.6,,,,,0.0,0.0,3808.0
64.01,0.0,1565.6,,,,,0.0,0.0,3808.0
65.01,0.0,1565.6,,,,,0.0,0.0,3808.0
66.01,0.0,1565.6,,,,,0.0,0.0,3808.0
67.01,0.0,1565.6,,,,,0.0,0.0,3808.0
68.01,0.0,1565.6,,,,,0.0,0.0,3808.0
69.01,0.0,1565.6,,,,,0.0,0.0,3808.0
70.01,0.0,1565.6,,,,,0.0,0.0,3808.0
71.01,0.0,1565.6,,,,,0.0,0.0,3808.0
72.01,0.0,1565.6,,,,,0.0,0.0,3808.0
73.01,0.0,1565.6,,,,,0.0,0.0,3808.0
74.01,0.0,1565.6,,,,,0.0,0.0,3808.0
75.01,0.0,1565.6,,,,,0.0,0.0,3808.0
76.01,0.0,1565.6,,,,,0.0,0.0,3808.0
77.01,0.0,1565.6,,,,,0.0,0.0,3808.0
78.01,0.0,1565.6,,,,,0.0,0.0,3808.0
79.02,0.0,1565.6,,,,,0.0,0.0,3808.0
80.02,0.0,1565.6,,,,,0.0,0.0,3808.0
81.02,0.0,1565.6,,,,,0.0,0.0,3808.0
82.02,0.0,1565.6,,,,,0.0,0.0,3808.0
