t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,2109.8
20.0,0.0,0.0,,,,,0.0,0.0,2109.8
21.0,0.0,0.0,,,,,0.0,0.0,2109.8
22.0,0.0,0.0,,,,,0.0,0.0,2109.8
23.0,0.0,0.0,,,,,0.0,0.0,2109.8
24.0,0.0,0.0,,,,,0.0,0.0,2109.8
25.0,0.0,3.4,,,,,0.0,0.0,3044.0
26.0,0.0,3.4,,,,,0.0,0.0,4613.9
27.0,0.0,3.4,,,,,0.0,0.0,4886.3
28.0,0.0,3.4,,,,,0.0,0.0,5246.4
29.0,0.0,1563.7,,,,,0.0,0.0,3683.3
30.0,0.0,1563.7,,,,,0.0,0.0,3715.3
31.0,0.0,1563.7,,,,,0.0,0.0,5170.3
32.0,0.0,2767.7,,,,,0.0,0.0,5370.7
33.0,15.22,3093.7,,,,,15.2,15.23,5089.4
34.0,0.0,3093.7,,,,,0.0,0.0,5093.0
35.01,0.0,3093.7,,,,,0.0,0.0,5093.0
36.01,0.0,3093.7,,,,,0.0,0.0,5093.0
37.01,0.0,3093.7,,,,,0.0,0.0,5093.0
38.01,0.0,3093.7,,,,,0.0,0.0,5093.2
39.01,0.0,3093.7,,,,,0.0,0.0,5093.2
40.01,0.0,3093.7,,,,,0.0,0.0,5093.2
41.01,0.0,3093.7,,,,,0.0,0.0,5093.2
42.01,0.0,3093.7,,,,,0.0,0.0,5093.2
43.01,0.0,3093.7,,,,,0.0,0.0,5093.2
44.01,0.0,3093.7,,,,,0.0,0.0,5093.2
45.01,0.0,3093.7,,,,,0.0,0.0,5093.2
46.01,0.0,3093.7,,,,,0.0,0.0,5093.2
47.01,0.0,3093.7,,,,,0.0,0.0,5093.2
48.01,0.0,3093.7,,,,,0.0,0.0,5093.2
49.01,0.0,3093.7,,,,,0.0,0.0,5093.2
50.01,0.0,3093.7,,,,,0.0,0.0,5093.2
51.01,0.0,3093.7,,,,,0.0,0.0,5093.2
52.01,0.0,3093.7,,,,,0.0,0.0,5093.2
53.01,0.0,3093.7,,,,,0.0,0.0,5093.2
54.01,0.0,3093.7,,,,,0.0,0.0,5093.2
55.01,0.0,3093.7,,,,,0.0,0.0,5093.2
56.01,0.0,3093.7,,,,,0.0,0.0,5093.2
57.01,0.0,3093.7,,,,,0.0,0.0,5093.2
58.01,0.0,3093.7,,,,,0.0,0.0,5093.2
59.01,0.0,3093.7,,,,,0.0,0.0,5093.2
60.01,0.0,3093.7,,,,,0.0,0.0,5093.2
61.01,0.0,3093.7,,,,,0.0,0.0,5093.2
62.01,0.0,3093.7,,,,,0.0,0.0,5093.2
63.01,0.0,3093.7,,,,,0.0,0.0,5093.2
64.01,0.0,3093.7,,,,,0.0,0.0,5093.2
65.01,0.0,3093.7,,,,,0.0,0.0,5093.2
66.01,0.0,3093.7,,,,,0.0,0.0,5093.2
67.01,0.0,3093.7,,,,,0.0,0.0,5093.2
68.01,0.0,3093.7,,,,,0.0,0.0,5093.2
69.01,0.0,3093.7,,,,,0.0,0.0,5093.2
70.01,0.0,3093.7,,,,,0.0,0.0,5093.2
71.01,0.0,3093.7,,,,,0.0,0.0,5093.2
72.01,0.0,3093.7,,,,,0.0,0.0,5093.2
73.01,0.0,3093.7,,,,,0.0,0.0,5093.2
74.01,0.0,3093.7,,,,,0.0,0.0,5093.2
75.01,0.0,3093.7,,,,,0.0,0.0,5093.2
76.01,0.0,3093.7,,,,,0.0,0.0,5093.2
77.01,0.0,3093.7,,,,,0.0,0.0,5093.2
78.01,0.0,3093.7,,,,,0.0,0.0,5093.2
79.01,0.0,3093.7,,,,,0.0,0.0,5093.2
80.01,0.0,3093.7,,,,,0.0,0.0,5093.2
81.01,0.0,3093.7,,,,,0.0,0.0,5093.2
82.01,0.0,3093.7,,,,,0.0,0.0,5093.2
