t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,2130.6
19.0,0.0,0.0,,,,,0.0,0.0,2130.6
20.0,0.0,0.0,,,,,0.0,0.0,2130.6
21.0,0.0,0.0,,,,,0.0,0.0,2130.6
22.0,0.0,0.0,,,,,0.0,0.0,2130.6
23.0,0.0,0.0,,,,,0.0,0.0,2130.6
24.0,0.0,3.4,,,,,0.0,0.0,2161.6
25.0,0.0,3.4,,,,,0.0,0.0,2222.0
26.0,0.0,3.4,,,,,0.0,0.0,2369.6
27.0,0.0,3.4,,,,,0.0,0.0,2483.4
28.0,0.0,3.4,,,,,0.0,0.0,2483.4
29.0,0.21,356.0,,,,,0.21,0.21,2634.1
30.0,0.0,356.0,,,,,0.0,0.0,5464.9
31.0,0.0,356.0,,,,,0.0,0.0,8620.4
32.0,0.0,356.0,,,,,0.0,0.0,11779.1
33.0,0.0,356.0,,,,,0.0,0.0,14966.5
34.0,0.0,356.0,,,,,0.0,0.0,18149.5
35.0,0.0,356.0,,,,,0.0,0.0,21324.2
36.0,0.0,356.0,,,,,0.0,0.0,24491.4
37.0,0.0,356.0,,,,,0.0,0.0,27676.4
38.03,0.0,356.0,,,,,0.0,0.0,30567.4
39.04,0.0,356.0,,,,,0.0,0.0,30949.1
40.06,0.0,356.0,,,,,0.0,0.0,30947.7
41.06,0.0,356.0,,,,,0.0,0.0,30941.8
42.06,0.0,356.0,,,,,0.0,0.0,30941.5
43.08,0.0,356.0,,,,,0.0,0.0,30922.2
44.08,0.0,356.0,,,,,0.0,0.0,30921.6
45.08,0.0,356.0,,,,,0.0,0.0,30915.3
46.08,0.0,356.0,,,,,0.0,0.0,30500.6
47.08,0.0,356.0,,,,,0.0,0.0,30587.4
48.08,0.0,356.0,,,,,0.0,0.0,29747.9
49.08,0.0,356.0,,,,,0.0,0.0,30147.9
50.08,0.0,356.0,,,,,0.0,0.0,29947.3
51.08,0.0,356.0,,,,,0.0,0.0,30207.7
52.08,0.0,356.0,,,,,0.0,0.0,29993.1
53.08,0.0,356.0,,,,,0.0,0.0,29756.7
54.08,0.0,356.0,,,,,0.0,0.0,30158.6
55.08,0.0,356.0,,,,,0.0,0.0,30417.8
56.09,0.0,356.0,,,,,0.0,0.0,29641.8
57.09,0.0,356.0,,,,,0.0,0.0,30040.1
58.09,0.0,356.0,,,,,0.0,0.0,30385.8
59.09,0.0,356.0,,,,,0.0,0.0,30125.5
60.09,0.0,356.0,,,,,0.0,0.0,29924.7
61.09,0.0,356.0,,,,,0.0,0.0,30285.3
62.09,0.0,356.0,,,,,0.0,0.0,30039.0
63.09,0.0,356.0,,,,,0.0,0.0,30395.4
64.09,0.0,356.0,,,,,0.0,0.0,29700.7
65.09,0.0,356.0,,,,,0.0,0.0,29924.6
66.09,0.0,356.0,,,,,0.0,0.0,30132.2
67.09,0.0,356.0,,,,,0.0,0.0,29836.2
68.09,0.0,356.0,,,,,0.0,0.0,30283.0
69.09,0.0,356.0,,,,,0.0,0.0,29898.1
70.09,0.0,356.0,,,,,0.0,0.0,30411.8
71.09,0.0,356.0,,,,,0.0,0.0,30785.5
72.09,0.0,356.0,,,,,0.0,0.0,30568.5
73.09,0.0,356.0,,,,,0.0,0.0,30179.1
74.09,0.0,356.0,,,,,0.0,0.0,30376.2
75.09,0.0,356.0,,,,,0.0,0.0,30619.2
76.09,0.0,356.0,,,,,0.0,0.0,30861.9
77.09,0.0,356.0,,,,,0.0,0.0,30843.6
78.09,0.0,356.0,,,,,0.0,0.0,30804.0
79.09,0.0,356.0,,,,,0.0,0.0,30871.3
80.09,0.0,356.0,,,,,0.0,0.0,30841.4
81.09,0.0,356.0,,,,,0.0,0.0,30837.1
82.09,0.0,356.0,,,,,0.0,0.0,30810.6
83.09,0.0,356.0,,,,,0.0,0.0,31491.3
84.09,0.0,356.0,,,,,0.0,0.0,31679.7
