t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2214.1
10.0,0.0,0.0,,,,,0.0,0.0,2214.1
11.0,0.0,0.0,,,,,0.0,0.0,2214.1
12.0,0.0,0.0,,,,,0.0,0.0,2214.1
13.0,0.0,0.0,,,,,0.0,0.0,2214.1
14.01,0.0,0.0,,,,,0.0,0.0,2214.1
15.01,0.21,356.0,,,,,0.21,0.21,2356.2
16.01,0.0,356.0,,,,,0.0,0.0,3530.6
17.01,0.0,356.0,,,,,0.0,0.0,4762.2
18.01,0.0,356.0,,,,,0.0,0.0,4904.8
19.01,0.0,356.0,,,,,0.0,0.0,5303.9
20.01,0.0,356.0,,,,,0.0,0.0,5470.5
21.01,0.0,356.0,,,,,0.0,0.0,9428.9
22.01,0.04,356.7,,,,,0.02,0.06,5526.8
23.01,0.0,356.7,,,,,0.0,0.0,5526.9
24.01,5.57,860.2,,,,,6.29,4.84,5456.4
25.01,0.0,2548.7,,,,,0.0,0.0,5390.4
26.01,0.0,2548.7,,,,,0.0,0.0,5402.3
27.01,0.0,2548.7,,,,,0.0,0.0,5402.3
28.01,0.0,2548.7,,,,,0.0,0.0,5402.4
29.01,0.0,2548.7,,,,,0.0,0.0,5402.4
30.01,0.0,2548.7,,,,,0.0,0.0,4654.8
31.01,0.0,3126.0,,,,,0.0,0.0,5489.6
32.01,0.0,3830.9,,,,,0.0,0.0,5490.0
33.01,0.0,4133.2,,,,,0.0,0.0,5825.5
34.01,36.77,4128.8,,,,,36.77,36.77,4733.0
35.01,0.0,4128.8,,,,,0.0,0.0,4734.1
36.01,0.0,4128.8,,,,,0.0,0.0,4736.9
37.01,0.0,4128.8,,,,,0.0,0.0,4918.0
38.01,0.0,4128.8,,,,,0.0,0.0,5395.5
39.01,0.0,4128.8,,,,,0.0,0.0,6724.5
40.01,0.0,4244.5,,,,,0.0,0.0,6735.6
41.01,0.0,4402.6,,,,,0.0,0.0,7186.4
42.01,76.37,4402.6,,,,,80.01,72.73,5722.0
43.01,81.87,4418.7,,,,,90.97,72.76,5726.3
44.01,81.18,4402.6,,,,,89.59,72.78,5785.1
45.01,40.12,4371.6,,,,,43.86,36.39,5785.1
46.01,0.0,4371.6,,,,,0.0,0.0,5785.1
47.01,0.0,4371.6,,,,,0.0,0.0,5785.1
48.02,0.0,4371.6,,,,,0.0,0.0,5785.1
49.02,0.0,4371.6,,,,,0.0,0.0,5785.1
50.02,0.0,4371.6,,,,,0.0,0.0,5785.1
51.02,0.0,4371.6,,,,,0.0,0.0,5785.1
52.02,0.0,4371.6,,,,,0.0,0.0,5785.1
53.02,0.0,4371.6,,,,,0.0,0.0,5785.1
54.02,0.0,4371.6,,,,,0.0,0.0,5785.2
55.02,0.0,4371.6,,,,,0.0,0.0,5785.2
56.02,0.0,4371.6,,,,,0.0,0.0,5785.2
57.02,0.0,4371.6,,,,,0.0,0.0,5785.2
58.02,0.0,4371.6,,,,,0.0,0.0,5785.2
59.02,0.0,4371.6,,,,,0.0,0.0,5785.2
60.02,0.0,4371.6,,,,,0.0,0.0,5785.2
61.02,0.0,4371.6,,,,,0.0,0.0,5785.2
62.02,0.0,4371.6,,,,,0.0,0.0,5785.2
63.02,0.0,4371.6,,,,,0.0,0.0,5785.2
64.02,0.0,4371.6,,,,,0.0,0.0,5785.2
65.02,0.0,4371.6,,,,,0.0,0.0,5785.2
66.02,0.0,4371.6,,,,,0.0,0.0,5785.2
67.02,0.0,4371.6,,,,,0.0,0.0,5785.2
68.02,0.0,4371.6,,,,,0.0,0.0,5785.2
69.02,0.0,4371.6,,,,,0.0,0.0,5785.2
70.02,0.0,4371.6,,,,,0.0,0.0,5785.2
71.02,0.0,4371.6,,,,,0.0,0.0,5785.2
72.02,0.0,4371.6,,,,,0.0,0.0,5785.2
73.02,0.0,4371.6,,,,,0.0,0.0,5785.2
74.02,0.0,4371.6,,,,,0.0,0.0,5785.2
75.02,0.0,4371.6,,,,,0.0,0.0,5785.2
76.02,0.0,4371.6,,,,,0.0,0.0,5785.2
77.02,0.0,4371.6,,,,,0.0,0.0,5785.2
78.02,0.0,4371.6,,,,,0.0,0.0,5785.2
79.02,0.0,4371.6,,,,,0.0,0.0,5785.2
80.02,0.0,4371.6,,,,,0.0,0.0,5785.2
81.02,0.0,4371.6,,,,,0.0,0.0,5785.2
82.02,0.0,4371.6,,,,,0.0,0.0,5785.2
