t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,0.0
23.0,0.0,0.0,,,,,0.0,0.0,2207.3
24.0,0.0,0.0,,,,,0.0,0.0,2207.3
25.0,0.0,0.0,,,,,0.0,0.0,2207.3
26.0,0.0,0.0,,,,,0.0,0.0,2207.3
27.0,0.0,0.0,,,,,0.0,0.0,2207.3
28.0,0.21,356.0,,,,,0.21,0.21,2347.8
29.0,0.0,356.0,,,,,0.0,0.0,4611.7
30.0,0.0,356.0,,,,,0.0,0.0,4251.0
31.0,0.0,356.0,,,,,0.0,0.0,5357.1
32.0,0.0,356.0,,,,,0.0,0.0,6360.0
33.01,0.0,356.0,,,,,0.0,0.0,7465.4
34.01,0.0,356.0,,,,,0.0,0.0,8467.8
35.01,0.0,356.0,,,,,0.0,0.0,9578.4
36.01,0.0,356.0,,,,,0.0,0.0,10592.5
37.01,0.0,356.0,,,,,0.0,0.0,11688.8
38.01,0.0,356.0,,,,,0.0,0.0,12645.7
39.01,0.0,356.0,,,,,0.0,0.0,13803.6
40.01,0.0,356.0,,,,,0.0,0.0,14735.2
41.01,0.0,356.0,,,,,0.0,0.0,15916.2
42.01,0.0,356.0,,,,,0.0,0.0,16694.7
43.01,0.0,356.0,,,,,0.0,0.0,18378.2
44.01,0.0,356.0,,,,,0.0,0.0,17612.9
45.01,0.0,356.0,,,,,0.0,0.0,17987.1
46.01,0.0,356.0,,,,,0.0,0.0,18360.5
47.01,0.0,356.0,,,,,0.0,0.0,18717.7
48.01,0.0,356.0,,,,,0.0,0.0,17645.0
49.01,0.0,356.0,,,,,0.0,0.0,18018.9
50.01,0.0,356.0,,,,,0.0,0.0,18374.9
51.01,0.0,356.0,,,,,0.0,0.0,18788.9
52.01,0.0,356.0,,,,,0.0,0.0,17684.8
53.01,0.0,356.0,,,,,0.0,0.0,18060.9
54.01,0.0,356.0,,,,,0.0,0.0,18374.9
55.01,0.0,356.0,,,,,0.0,0.0,18885.4
56.01,0.0,356.0,,,,,0.0,0.0,17734.0
57.01,0.0,356.0,,,,,0.0,0.0,18112.3
58.01,0.0,356.0,,,,,0.0,0.0,18374.9
59.01,0.0,356.0,,,,,0.0,0.0,18979.3
60.01,0.0,356.0,,,,,0.0,0.0,17773.1
61.01,0.0,356.0,,,,,0.0,0.0,18147.3
62.01,0.0,356.0,,,,,0.0,0.0,18374.9
63.01,0.0,356.0,,,,,0.0,0.0,18426.1
64.01,0.0,356.0,,,,,0.0,0.0,17815.2
65.01,0.0,356.0,,,,,0.0,0.0,18192.5
66.01,0.0,356.0,,,,,0.0,0.0,18403.3
67.01,0.0,356.0,,,,,0.0,0.0,17832.7
68.01,0.0,356.0,,,,,0.0,0.0,17861.3
69.01,0.0,356.0,,,,,0.0,0.0,18211.0
70.01,0.0,356.0,,,,,0.0,0.0,18888.6
71.01,0.0,356.0,,,,,0.0,0.0,19390.0
72.01,0.0,356.0,,,,,0.0,0.0,19891.6
73.01,0.0,356.0,,,,,0.0,0.0,20502.9
74.01,0.0,356.0,,,,,0.0,0.0,20894.6
75.01,0.0,356.0,,,,,0.0,0.0,21395.6
76.01,0.0,356.0,,,,,0.0,0.0,21897.2
77.01,0.0,356.0,,,,,0.0,0.0,22397.2
78.01,0.0,356.0,,,,,0.0,0.0,22897.6
79.01,0.0,356.0,,,,,0.0,0.0,23397.2
80.01,0.0,356.0,,,,,0.0,0.0,23912.9
81.01,0.0,356.0,,,,,0.0,0.0,24619.7
82.01,0.0,356.0,,,,,0.0,0.0,25321.8
83.01,0.0,356.0,,,,,0.0,0.0,25986.5
84.01,0.0,356.0,,,,,0.0,0.0,26693.5
