t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,2226.1
10.0,0.0,0.0,,,,,0.0,0.0,2226.1
11.0,0.0,0.0,,,,,0.0,0.0,2226.1
12.0,0.0,0.0,,,,,0.0,0.0,2226.1
13.0,0.0,0.0,,,,,0.0,0.0,2226.1
14.0,0.23,356.0,,,,,0.24,0.21,2405.2
15.0,0.0,356.0,,,,,0.0,0.0,3695.6
16.0,0.0,356.0,,,,,0.0,0.0,4608.4
17.0,0.0,356.0,,,,,0.0,0.0,5574.9
18.0,0.0,356.0,,,,,0.0,0.0,6667.2
19.0,0.0,356.0,,,,,0.0,0.0,7658.7
20.0,0.0,356.0,,,,,0.0,0.0,8775.1
21.0,0.0,356.0,,,,,0.0,0.0,9805.6
22.0,0.0,356.0,,,,,0.0,0.0,10906.7
23.0,0.0,356.0,,,,,0.0,0.0,11856.0
24.0,0.0,356.0,,,,,0.0,0.0,13051.1
25.0,0.0,356.0,,,,,0.0,0.0,13851.2
26.0,0.0,356.0,,,,,0.0,0.0,15197.6
27.0,0.0,356.0,,,,,0.0,0.0,15944.6
28.0,0.0,356.0,,,,,0.0,0.0,17368.8
29.0,0.0,356.0,,,,,0.0,0.0,17718.5
30.0,0.0,356.0,,,,,0.0,0.0,18093.9
31.0,0.0,356.0,,,,,0.0,0.0,18399.3
32.0,0.0,356.0,,,,,0.0,0.0,18900.8
33.0,0.0,356.0,,,,,0.0,0.0,17730.3
34.0,0.0,356.0,,,,,0.0,0.0,18094.1
35.01,0.0,356.0,,,,,0.0,0.0,18399.3
36.01,0.0,356.0,,,,,0.0,0.0,18882.3
37.01,0.0,356.0,,,,,0.0,0.0,17723.6
38.01,0.0,356.0,,,,,0.0,0.0,18094.6
39.01,0.0,356.0,,,,,0.0,0.0,18399.3
40.01,0.0,356.0,,,,,0.0,0.0,18891.6
41.01,0.0,356.0,,,,,0.0,0.0,17730.1
42.01,0.0,356.0,,,,,0.0,0.0,18095.2
43.01,0.0,356.0,,,,,0.0,0.0,18399.3
44.01,0.0,356.0,,,,,0.0,0.0,18898.1
45.01,0.0,356.0,,,,,0.0,0.0,17729.4
46.01,0.0,356.0,,,,,0.0,0.0,18102.3
47.01,0.0,356.0,,,,,0.0,0.0,18399.3
48.01,0.0,356.0,,,,,0.0,0.0,18924.4
49.01,0.0,356.0,,,,,0.0,0.0,17750.4
50.01,0.0,356.0,,,,,0.0,0.0,18120.3
51.01,0.0,356.0,,,,,0.0,0.0,18399.3
52.01,0.0,356.0,,,,,0.0,0.0,18962.9
53.01,0.0,356.0,,,,,0.0,0.0,17758.5
54.01,0.0,356.0,,,,,0.0,0.0,18123.5
55.01,0.0,356.0,,,,,0.0,0.0,18267.7
56.01,0.0,356.0,,,,,0.0,0.0,18975.7
57.01,0.0,356.0,,,,,0.0,0.0,19408.4
58.01,0.0,356.0,,,,,0.0,0.0,19919.7
59.01,0.0,356.0,,,,,0.0,0.0,20371.6
60.01,0.0,356.0,,,,,0.0,0.0,20873.0
61.01,0.0,356.0,,,,,0.0,0.0,21374.5
62.01,0.0,356.0,,,,,0.0,0.0,21875.0
63.01,0.0,356.0,,,,,0.0,0.0,22375.0
64.01,0.0,356.0,,,,,0.0,0.0,22871.5
65.01,0.0,356.0,,,,,0.0,0.0,23371.0
66.01,0.0,356.0,,,,,0.0,0.0,23916.0
67.01,0.0,356.0,,,,,0.0,0.0,24621.9
68.01,0.0,356.0,,,,,0.0,0.0,25295.0
69.01,0.0,356.0,,,,,0.0,0.0,25988.6
70.01,0.0,356.0,,,,,0.0,0.0,26695.0
71.01,0.0,356.0,,,,,0.0,0.0,27380.5
72.01,0.0,356.0,,,,,0.0,0.0,27854.0
73.01,0.0,356.0,,,,,0.0,0.0,28026.8
74.01,0.0,356.0,,,,,0.0,0.0,28612.2
75.01,0.0,356.0,,,,,0.0,0.0,28977.6
76.01,0.0,356.0,,,,,0.0,0.0,29052.9
77.01,0.0,356.0,,,,,0.0,0.0,29222.3
78.01,0.0,356.0,,,,,0.0,0.0,29368.6
79.01,0.0,356.0,,,,,0.0,0.0,29923.9
80.01,0.0,356.0,,,,,0.0,0.0,30172.9
81.01,0.0,356.0,,,,,0.0,0.0,30237.8
82.01,0.0,356.0,,,,,0.0,0.0,30364.3
83.01,0.0,356.0,,,,,0.0,0.0,30336.3
84.01,0.0,356.0,,,,,0.0,0.0,30508.4
