t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,2140.7
9.0,0.0,0.0,,,,,0.0,0.0,2140.7
10.0,0.0,0.0,,,,,0.0,0.0,2140.7
11.0,0.0,0.0,,,,,0.0,0.0,2140.7
12.0,0.0,0.0,,,,,0.0,0.0,2140.7
13.0,0.0,0.0,,,,,0.0,0.0,2140.7
14.0,0.0,0.0,,,,,0.0,0.0,2140.7
15.0,0.0,3.4,,,,,0.0,0.0,2192.9
16.0,0.0,3.4,,,,,0.0,0.0,2244.8
17.0,0.0,3.4,,,,,0.0,0.0,2383.2
18.0,0.0,3.4,,,,,0.0,0.0,2383.2
19.0,0.21,356.0,,,,,0.21,0.21,2559.9
20.0,0.0,356.0,,,,,0.0,0.0,5578.9
21.0,0.0,356.0,,,,,0.0,0.0,8763.4
22.0,0.0,356.0,,,,,0.0,0.0,11929.7
23.0,0.0,356.0,,,,,0.0,0.0,15117.3
24.0,0.0,356.0,,,,,0.0,0.0,18283.8
25.0,0.0,356.0,,,,,0.0,0.0,21472.7
26.0,0.0,356.0,,,,,0.0,0.0,24468.1
27.0,0.0,356.0,,,,,0.0,0.0,27558.0
28.0,0.0,356.0,,,,,0.0,0.0,30635.1
29.0,0.0,356.0,,,,,0.0,0.0,31039.3
30.0,0.0,356.0,,,,,0.0,0.0,31037.9
31.0,0.0,356.0,,,,,0.0,0.0,31038.9
32.0,0.0,356.0,,,,,0.0,0.0,31032.9
33.0,0.0,356.0,,,,,0.0,0.0,31039.9
34.0,0.0,356.0,,,,,0.0,0.0,30909.8
35.0,0.0,356.0,,,,,0.0,0.0,30196.8
36.01,0.0,356.0,,,,,0.0,0.0,30561.4
37.01,0.0,356.0,,,,,0.0,0.0,29841.3
38.01,0.0,356.0,,,,,0.0,0.0,30121.1
39.01,0.0,356.0,,,,,0.0,0.0,30448.6
40.01,0.0,356.0,,,,,0.0,0.0,29775.4
41.01,0.0,356.0,,,,,0.0,0.0,30278.1
42.01,0.0,356.0,,,,,0.0,0.0,30774.1
43.01,0.0,356.0,,,,,0.0,0.0,29938.6
44.01,0.0,356.0,,,,,0.0,0.0,30411.1
45.01,0.0,356.0,,,,,0.0,0.0,29596.4
46.01,0.0,356.0,,,,,0.0,0.0,30031.3
47.01,0.0,356.0,,,,,0.0,0.0,30279.7
48.01,0.0,356.0,,,,,0.0,0.0,29480.8
49.01,0.0,356.0,,,,,0.0,0.0,29981.2
50.01,0.0,356.0,,,,,0.0,0.0,30313.6
51.01,0.0,356.0,,,,,0.0,0.0,29597.5
52.01,0.0,356.0,,,,,0.0,0.0,30074.2
53.01,0.0,356.0,,,,,0.0,0.0,30435.4
54.01,0.0,356.0,,,,,0.0,0.0,29640.3
55.01,0.0,356.0,,,,,0.0,0.0,30106.6
56.01,0.0,356.0,,,,,0.0,0.0,30475.2
57.01,0.0,356.0,,,,,0.0,0.0,29661.2
58.01,0.0,356.0,,,,,0.0,0.0,30073.1
59.01,0.0,356.0,,,,,0.0,0.0,30723.0
60.01,0.0,356.0,,,,,0.0,0.0,30772.1
61.01,0.0,356.0,,,,,0.0,0.0,30738.5
62.01,0.0,356.0,,,,,0.0,0.0,30763.7
63.01,0.0,356.0,,,,,0.0,0.0,30832.9
64.01,0.0,356.0,,,,,0.0,0.0,30821.5
65.01,0.0,356.0,,,,,0.0,0.0,30763.2
66.01,0.0,356.0,,,,,0.0,0.0,30864.3
67.01,0.0,356.0,,,,,0.0,0.0,30890.0
68.01,0.0,356.0,,,,,0.0,0.0,30856.4
69.01,0.0,356.0,,,,,0.0,0.0,30877.1
70.01,0.0,356.0,,,,,0.0,0.0,31045.5
71.01,0.0,356.0,,,,,0.0,0.0,31222.2
72.01,0.0,356.0,,,,,0.0,0.0,30688.8
73.01,0.0,356.0,,,,,0.0,0.0,31121.5
74.01,0.0,356.0,,,,,0.0,0.0,31436.5
75.01,0.0,356.0,,,,,0.0,0.0,31622.6
76.01,0.0,356.0,,,,,0.0,0.0,31716.1
77.01,0.0,356.0,,,,,0.0,0.0,31446.7
78.01,0.0,356.0,,,,,0.0,0.0,31464.4
79.01,0.0,356.0,,,,,0.0,0.0,31487.9
80.01,0.0,356.0,,,,,0.0,0.0,31612.8
81.01,0.0,356.0,,,,,0.0,0.0,31607.7
82.01,0.0,356.0,,,,,0.0,0.0,31579.0
83.01,0.0,356.0,,,,,0.0,0.0,31568.8
84.01,0.0,356.0,,,,,0.0,0.0,31572.0
